ForecastID,Confirmed,Deaths
0,127365,2191
1,5332,37
2,202216,5101
3,61783,812
4,718478,13171
5,57635,1955
6,52937,4468
7,17516,606
8,626838,11339
9,272398,5703
10,8684,74
11,32377,371
12,238544,8267
13,95096,3310
14,66781,1135
15,43434,456
16,49157,941
17,149015,4990
18,4551,132
19,108774,3761
20,128932,9075
21,113758,6768
22,76626,1870
23,83599,2507
24,86937,1559
25,7566,106
26,34641,400
27,69550,1328
28,7298,433
29,192226,15960
30,25486,782
31,435347,32957
32,168702,2733
33,12042,144
34,124270,4146
35,59464,819
36,26926,464
37,139396,7677
38,22004,1050
39,119968,2756
40,13851,168
41,156254,1785
42,636747,12988
43,52507,412
44,1630,58
45,121465,2596
46,75150,1921
47,10397,219
48,76358,1128
49,3885,37
50,129075,2213
51,5426,37
52,202891,5148
53,62524,824
54,723233,13319
55,57951,1962
56,53052,4471
57,17599,607
58,630771,11449
59,274725,5752
60,8924,77
61,32632,377
62,240597,8295
63,95881,3323
64,68372,1148
65,43832,462
66,49849,949
67,149669,5016
68,4574,132
69,109341,3768
70,129305,9091
71,114415,6775
72,77503,1874
73,84077,2525
74,88499,1567
75,7710,107
76,34948,405
77,69996,1353
78,7322,434
79,192738,15976
80,25632,787
81,436109,32965
82,170402,2754
83,12343,145
84,125463,4204
85,60177,832
86,27128,468
87,140154,7683
88,22162,1052
89,120933,2800
90,14156,170
91,157739,1814
92,641744,13169
93,52937,415
94,1638,58
95,122514,2615
96,75728,1933
97,10553,221
98,77109,1135
99,3921,37
100,130686,2238
101,5508,37
102,203436,5189
103,63161,837
104,728451,13450
105,58231,1973
106,53075,4472
107,17709,609
108,634443,11541
109,277047,5830
110,9198,81
111,32902,384
112,242719,8316
113,96772,3334
114,69362,1156
115,44449,465
116,50495,955
117,150418,5047
118,4606,132
119,109964,3775
120,129614,9105
121,115101,6788
122,78450,1880
123,84669,2540
124,90100,1580
125,7866,108
126,35197,407
127,70526,1368
128,7342,435
129,192946,15993
130,25783,792
131,436872,32966
132,172217,2772
133,12652,146
134,126616,4264
135,61042,841
136,27359,473
137,140981,7703
138,22228,1054
139,122094,2838
140,14625,172
141,159109,1838
142,646297,13361
143,53407,417
144,1645,58
145,123446,2633
146,76312,1939
147,10721,223
148,77976,1147
149,3955,37
150,132417,2269
151,5559,38
152,204052,5220
153,63740,852
154,733479,13533
155,58523,1985
156,53140,4472
157,17786,611
158,637607,11656
159,278964,5915
160,9431,84
161,33195,388
162,244613,8332
163,97687,3343
164,70134,1163
165,44962,467
166,51106,960
167,150811,5064
168,4642,132
169,110559,3787
170,129926,9120
171,115748,6802
172,79369,1883
173,85342,2549
174,91576,1590
175,8003,110
176,35477,408
177,71076,1376
178,7366,436
179,193272,16009
180,25919,796
181,437724,32981
182,174090,2791
183,12964,147
184,127661,4302
185,61871,850
186,27587,480
187,141729,7726
188,22242,1056
189,123176,2869
190,14937,174
191,160483,1858
192,650579,13443
193,53826,418
194,1653,58
195,124400,2649
196,76833,1947
197,10885,230
198,78696,1150
199,3983,37
200,133780,2287
201,5600,38
202,204524,5234
203,64214,864
204,738451,13596
205,58761,1990
206,53203,4473
207,17904,612
208,640027,11690
209,280614,5955
210,9610,87
211,33444,390
212,246468,8348
213,98472,3351
214,70679,1168
215,45182,468
216,51667,964
217,152013,5090
218,4668,132
219,111134,3797
220,130279,9135
221,116442,6818
222,80159,1888
223,85839,2562
224,92893,1600
225,8117,111
226,35777,410
227,71533,1379
228,7387,437
229,193633,16027
230,26033,800
231,438670,32982
232,175395,2801
233,13203,148
234,128578,4293
235,62658,853
236,27823,485
237,142392,7728
238,22335,1059
239,124069,2882
240,15192,175
241,161997,1877
242,654358,13576
243,54185,419
244,1662,58
245,125356,2661
246,77241,1956
247,11032,233
248,79059,1154
249,4019,37
250,135148,2304
251,5645,38
252,204921,5245
253,64659,876
254,743473,13670
255,59005,1994
256,53219,4475
257,17983,614
258,642367,11770
259,282166,5991
260,9787,91
261,33670,393
262,248007,8367
263,99343,3361
264,71127,1175
265,45926,470
266,52208,969
267,152413,5114
268,4687,132
269,111674,3809
270,130676,9149
271,117119,6823
272,80817,1894
273,86306,2591
274,93979,1614
275,8201,112
276,36048,413
277,71888,1385
278,7412,438
279,193903,16044
280,26152,805
281,439481,33002
282,176682,2810
283,13374,149
284,129454,4288
285,63257,854
286,28030,488
287,143049,7739
288,22534,1063
289,124947,2898
290,15457,175
291,163331,1897
292,658184,13608
293,54517,421
294,1669,58
295,126213,2674
296,77598,1962
297,11170,234
298,79503,1160
299,4053,37
300,136164,2320
301,5696,39
302,205414,5280
303,65227,890
304,748593,13787
305,59254,2006
306,53290,4478
307,18104,616
308,645118,11915
309,283926,6065
310,9965,95
311,33928,400
312,249684,8396
313,100026,3373
314,72172,1185
315,46106,473
316,52827,976
317,153299,5143
318,4709,132
319,112219,3823
320,131086,9163
321,117824,6839
322,81439,1898
323,86920,2626
324,95064,1623
325,8298,114
326,36309,417
327,72193,1401
328,7435,439
329,194290,16065
330,26282,809
331,440254,33009
332,177869,2835
333,13530,150
334,130409,4315
335,63866,865
336,28248,493
337,143678,7765
338,22645,1067
339,125793,2918
340,15601,176
341,164750,1922
342,662144,13725
343,54858,425
344,1677,58
345,127165,2689
346,78020,1973
347,11294,239
348,79951,1165
349,4084,37
350,137354,2332
351,5762,39
352,205932,5341
353,65801,903
354,753689,13932
355,59549,2018
356,53312,4482
357,18190,618
358,648695,12061
359,286031,6128
360,10159,98
361,34193,409
362,251427,8431
363,100856,3386
364,73655,1198
365,46928,477
366,53507,984
367,154029,5175
368,4731,132
369,112798,3835
370,131462,9178
371,118497,6853
372,82137,1905
373,87480,2653
374,96270,1636
375,8418,116
376,36603,420
377,72529,1423
378,7461,441
379,194648,16085
