Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-09-02 04:30:23,32.3182,-86.9023,127616,2200,48028.0,77388.0,1.0,2602.716397606862,958920.0,,1.7239217652958876,84000001,USA,19557.08381388832,
Alaska,US,2020-09-02 04:30:23,61.3707,-152.4044,5297,39,2246.0,3012.0,2.0,724.0839592916362,374255.0,,0.7362658108363225,84000002,USA,51159.53222289812,
Arizona,US,2020-09-02 04:30:23,33.7298,-111.4312,202342,5044,30841.0,166457.0,4.0,2779.9129984034275,1208990.0,,2.4928092042186,84000004,USA,16609.93276699726,
Arkansas,US,2020-09-02 04:30:23,34.9697,-92.3731,61497,814,55647.0,5036.0,5.0,2037.8062988848847,731025.0,,1.3236418036652196,84000005,USA,24223.74017663175,
California,US,2020-09-02 04:30:23,36.1162,-119.6816,715617,13150,,702467.0,6.0,1811.1281665929046,11470696.0,,1.8375751274774084,84000006,USA,29030.753344351182,
Colorado,US,2020-09-02 04:30:23,39.0598,-105.3111,57775,1946,5953.0,49856.0,8.0,1002.9110554816195,1009970.0,,3.3694052462990216,84000008,USA,17538.050016531404,
Connecticut,US,2020-09-02 04:30:23,41.5978,-72.7554,53006,4466,8967.0,39573.0,9.0,1486.7246311447016,1192338.0,,8.425461268535638,84000009,USA,33442.97387559543,
Delaware,US,2020-09-02 04:30:23,39.3185,-75.5071,17535,605,9419.0,7511.0,10.0,1800.7443281945111,238423.0,,3.450242372398061,84000010,USA,24484.680066217275,
Florida,US,2020-09-02 04:30:23,27.7663,-81.6868,631040,11374,,619666.0,12.0,2938.1121484074406,4675866.0,,1.8024213995943208,84000012,USA,21770.75731954442,
Georgia,US,2020-09-02 04:30:23,33.0406,-83.6431,272697,5733,,266964.0,13.0,2568.391595587743,2368498.0,,2.102333359002849,84000013,USA,22307.654126618112,
Hawaii,US,2020-09-02 04:30:23,21.0943,-157.4983,8653,74,2578.0,6001.0,15.0,611.1428151697329,198182.0,,0.8551947301513926,84000015,USA,13997.169235637119,
Idaho,US,2020-09-02 04:30:23,44.2405,-114.4788,32353,367,14963.0,17023.0,16.0,1810.3986144880007,257689.0,,1.1343615738880477,84000016,USA,14419.676956350215,
Illinois,US,2020-09-02 04:30:23,40.3495,-88.9861,238216,8273,,229943.0,17.0,1879.887665711187,4088824.0,,3.4728985458575408,84000017,USA,32267.059327937164,
Indiana,US,2020-09-02 04:30:23,39.8494,-86.2583,94891,3312,72391.0,19188.0,18.0,1409.505543417408,1083765.0,,3.4903204729637163,84000018,USA,16098.18397173354,
Iowa,US,2020-09-02 04:30:23,42.0115,-93.2105,65847,1125,47437.0,17285.0,19.0,2087.0218410368075,623547.0,,1.708506082281653,84000019,USA,19763.333301638315,
Kansas,US,2020-09-02 04:30:23,38.5266,-96.7265,42962,456,1673.0,40833.0,20.0,1474.6779784122134,413249.0,,1.0614031004143196,84000020,USA,14184.842416574387,
Kentucky,US,2020-09-02 04:30:23,37.6681,-84.6701,49185,948,10417.0,37820.0,21.0,1100.9086833347023,830421.0,,1.9274168953949369,84000021,USA,18587.32722829088,
