ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
3,Arkansas,04-12-2020,1280,27,367.0,1253.0,49.43942261,19722.0,130.0,2.109375,761.7533537,10.15625,,
53,Arkansas,04-13-2020,1410,29,391.0,1381.0,54.46061396810462,20804.0,130.0,2.0567375886524824,803.5451155974812,9.21985815602837,0.07407407407407407,0.1015625
103,Arkansas,04-14-2020,1498,32,427.0,1466.0,57.85957427,21131.0,130.0,2.136181575,816.1753431,8.67823765,0.10344827586206896,0.062411347517730496
153,Arkansas,04-15-2020,1569,33,489.0,1536.0,60.601917245358976,21834.0,130.0,2.103250478011472,843.3284009784372,8.2855321861058,0.03125,0.04739652870493992
203,Arkansas,04-16-2020,1620,37,548.0,1583.0,62.57176923994999,22675.0,85.0,2.2839506172839505,875.811646614732,5.246913580246914,0.12121212121212122,0.032504780114722756
253,Arkansas,04-17-2020,1695,37,593.0,1658.0,65.46861040846619,23494.0,83.0,2.182890855457228,907.445152174929,4.896755162241887,0.0,0.046296296296296294
303,Arkansas,04-18-2020,1744,38,703.0,1706.0,67.36121330523011,24141.0,291.0,2.178899082568808,932.4352353219957,16.68577981651376,0.02702702702702703,0.028908554572271386
353,Arkansas,04-19-2020,1781,39,721.0,1742.0,68.79032161503143,24209.0,291.0,2.18978102189781,935.0617046481168,16.339135317237506,0.02631578947368421,0.02121559633027523
403,Arkansas,04-20-2020,1973,41,749.0,1932.0,76.20623500643292,26553.0,291.0,2.078053725291434,1025.5976473014766,14.749113025848965,0.05128205128205128,0.10780460415496912
453,Arkansas,04-21-2020,1990,42,809.0,1948.0,76.86285233796326,27441.0,291.0,2.110552763819096,1059.8962467367085,14.623115577889447,0.024390243902439025,0.008616320324379118
503,Arkansas,04-22-2020,2276,42,863.0,2234.0,87.90947332723837,29713.0,291.0,1.845342706502636,1147.6512218682926,12.785588752196837,0.0,0.14371859296482412
553,Arkansas,04-23-2020,2599,45,902.0,2554.0,100.3852026263148,31590.0,291.0,1.7314351673720665,1220.1495001790247,11.196614082339359,0.07142857142857142,0.14191564147627417
603,Arkansas,04-24-2020,2810,47,929.0,2763.0,108.53498244707373,35578.0,291.0,1.6725978647686832,1374.1842012462594,10.355871886120996,0.044444444444444446,0.08118507118122355
653,Arkansas,04-25-2020,2911,48,964.0,2863.0,112.43606188734225,38053.0,291.0,1.6489178976296806,1469.7799598072945,9.996564754379936,0.02127659574468085,0.03594306049822064
703,Arkansas,04-26-2020,3001,51,985.0,2950.0,115.91227128956169,39469.0,291.0,1.6994335221592802,1524.4723210688805,9.696767744085305,0.0625,0.03091721058055651
753,Arkansas,04-27-2020,3069,51,987.0,3018.0,118.53874061568304,40457.0,109.0,1.66177908113392,1562.6333753954666,3.551645487129358,0.0,0.022659113628790403
803,Arkansas,04-28-2020,3127,57,1146.0,3070.0,120.77896445266892,40671.0,,1.8228333866325552,1570.8990288629666,,0.11764705882352941,0.018898664059954384
853,Arkansas,04-29-2020,3193,57,1249.0,3136.0,123.32818468096315,45449.0,389.0,1.7851550266207328,1755.4471235719054,12.182900093955526,0.0,0.02110649184521906
903,Arkansas,04-30-2020,3281,61,1305.0,1915.0,126.72714498535551,48379.0,402.0,1.859189271563548,1868.6170518886047,12.252362084730265,0.07017543859649122,0.027560288130284997
953,Arkansas,05-01-2020,3337,64,1973.0,1300.0,128.89011972451428,49676.0,414.0,1.917890320647288,1918.7130918294788,12.406353011687145,0.04918032786885246,0.01706796708320634
1003,Arkansas,05-02-2020,3372,72,1987.0,1313.0,130.2419789364885,51582.0,414.0,2.1352313167259784,1992.3314820587038,12.277580071174375,0.125,0.010488462691039856
1053,Arkansas,05-03-2020,3437,76,1999.0,1362.0,132.7525746158692,52890.0,427.0,2.2112307244690137,2042.8523920376267,12.423625254582484,0.05555555555555555,0.019276393831553974
1103,Arkansas,05-04-2020,3491,80,2016.0,1395.0,134.83830025720087,54442.0,438.0,2.2916069894013176,2102.797691951455,12.546548266972215,0.05263157894736842,0.01571137620017457
1153,Arkansas,05-05-2020,3525,83,2041.0,1401.0,136.15153492026155,54635.0,453.0,2.354609929078014,2110.25222989177,12.851063829787234,0.0375,0.0097393297049556
1203,Arkansas,05-06-2020,3611,87,2109.0,1415.0,139.4732461268268,59003.0,453.0,2.409304901689284,2278.9642595461537,12.545001384657994,0.04819277108433735,0.024397163120567375
1253,Arkansas,05-07-2020,3703,87,2123.0,1493.0,143.02670462687334,59995.0,462.0,2.3494463948150157,2317.279812068395,12.476370510396974,0.0,0.025477707006369428
1303,Arkansas,05-08-2020,3747,88,2159.0,1500.0,144.7261847790695,63994.0,466.0,2.348545503069122,2471.7393831736786,12.436615959434215,0.011494252873563218,0.0118822576289495
1353,Arkansas,05-09-2020,3747,88,2968.0,691.0,144.7261847790695,65528.0,471.0,2.348545503069122,2530.9894412070635,12.570056044835873,0.0,0.0
1403,Arkansas,05-10-2020,4012,91,2968.0,953.0,154.96169024116008,65528.0,471.0,2.268195413758724,2530.9894412070635,11.73978065802592,0.03409090909090909,0.07072324526287697
1453,Arkansas,05-11-2020,4043,94,3149.0,800.0,156.15905125748012,69030.0,480.0,2.325006183527084,2666.252611502313,11.872372000989365,0.03296703296703297,0.007726819541375872
1503,Arkansas,05-12-2020,4164,95,3220.0,849.0,160.83262167601958,70444.0,485.0,2.2814601344860708,2720.8677236660724,11.647454370797307,0.010638297872340425,0.029928271085827355
1553,Arkansas,05-13-2020,4236,97,3220.0,919.0,163.61358919779516,73215.0,497.0,2.289896128423041,2827.896348705517,11.732766761095373,0.021052631578947368,0.01729106628242075
1603,Arkansas,05-14-2020,4366,98,3277.0,991.0,144.67473699418517,75818.0,509.0,2.244617498854787,2512.3566672984725,11.658268437929456,0.010309278350515464,0.030689329556185082
1653,Arkansas,05-15-2020,4463,98,3390.0,975.0,147.888994778985,81529.0,520.0,2.1958323997311227,2701.6002364633355,11.651355590410038,0.0,0.02221713238662391
1703,Arkansas,05-16-2020,4578,98,3472.0,1008.0,151.69971277127345,81644.0,520.0,2.1406727828746184,2705.410954455624,11.358671909130626,0.0,0.02576742101725297
1753,Arkansas,05-17-2020,4759,98,3590.0,1071.0,157.69745152435345,85185.0,520.0,2.059256146249212,2822.747931939914,10.926665265812144,0.0,0.039536915683704675
1803,Arkansas,05-18-2020,4813,100,3645.0,1068.0,159.48683214681938,85239.0,530.0,2.077706212341575,2824.5373125623796,11.011842925410347,0.02040816326530612,0.011346921622189535
1853,Arkansas,05-19-2020,4923,102,3739.0,1082.0,163.13186674813872,93701.0,535.0,2.071907373552712,3104.939883438421,10.867357302457853,0.02,0.022854768335757322
1903,Arkansas,05-20-2020,5003,107,3852.0,1044.0,165.7828010036437,96258.0,535.0,2.1387167699380374,3189.6703695799993,10.693583849690183,0.049019607843137254,0.01625025391021735
