ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
8,Florida,04-12-2020,19895,461,,19434.0,93.70022691,182753.0,2772.0,2.317165117,860.7186513,13.93314903,,
58,Florida,04-13-2020,21019,499,,122520.0,579.3871934514303,196207.0,2833.0,0.405628398865216,924.083459185368,2.302896300571456,0.0824295010845987,0.05649660718773561
108,Florida,04-14-2020,21628,571,,21057.0,101.8622019,203180.0,3060.0,2.640096172,956.9244585,14.14832624,0.14428857715430862,0.028973785622531993
158,Florida,04-15-2020,22511,596,,21915.0,106.020900119373,213509.0,3344.0,2.647594509350984,1005.5713368391993,14.854959797432365,0.043782837127845885,0.040826706121694104
208,Florida,04-16-2020,23343,668,,22675.0,109.93940169190724,219248.0,3460.0,2.861671593197104,1032.6005201622447,14.822430707278409,0.12080536912751678,0.03695970858691307
258,Florida,04-17-2020,24759,725,,24034.0,116.60838994516264,234837.0,3665.0,2.9282281190678137,1106.020617535125,14.802698008804883,0.08532934131736528,0.06066058347256137
308,Florida,04-18-2020,25492,748,,24744.0,120.06062750846505,246527.0,3842.0,2.9342538835713166,1161.077448524218,15.07139494743449,0.031724137931034485,0.029605396017609757
358,Florida,04-19-2020,26314,774,,25540.0,123.9320317063294,256079.0,3930.0,2.9414000152010336,1206.0648608088898,14.935015581059512,0.034759358288770054,0.03224541032480778
408,Florida,04-20-2020,27059,822,,26237.0,127.44078611923568,266225.0,4010.0,3.0378062751764663,1253.8498571489529,14.819468568683247,0.06201550387596899,0.028311925210914343
458,Florida,04-21-2020,27869,867,,27002.0,131.25567346749614,277059.0,4235.0,3.1109835300871937,1304.8751528663038,15.196096020668126,0.05474452554744526,0.029934587383125762
508,Florida,04-22-2020,28309,893,,27416.0,133.32795795297102,288627.0,4469.0,3.1544738422409835,1359.3573958844242,15.786498993253028,0.029988465974625143,0.015788151709785064
