ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
13,Indiana,04-12-2020,7928,343,,7585.0,121.1492553,42489.0,,4.326437941,649.2823801,,,
63,Indiana,04-13-2020,8359,350,,8009.0,127.7354471902022,44539.0,,4.187103720540734,680.6088147391332,,7.0,431.0
113,Indiana,04-14-2020,8527,387,,8140.0,130.3026867,46017.0,,4.538524686000001,703.19441,,37.0,168.0
163,Indiana,04-15-2020,8960,436,,8524.0,136.9194409408077,48396.0,,4.866071428571429,739.5483553316217,,49.0,433.0
213,Indiana,04-16-2020,9542,477,,9065.0,145.81309212691818,51115.0,,4.9989520016767965,781.097904429619,,41.0,582.0
263,Indiana,04-17-2020,10154,522,,9632.0,155.16517894117874,54785.0,,5.14083119952728,837.1798629399723,,45.0,612.0
313,Indiana,04-18-2020,10641,545,,10096.0,162.60711730481415,56873.0,,5.121699088431538,869.0869826592142,,23.0,487.0
363,Indiana,04-19-2020,11211,562,,10649.0,171.31739423966462,61142.0,,5.012933725805013,934.3223725449626,,17.0,570.0
413,Indiana,04-20-2020,11688,577,,11111.0,178.60652072725006,64639.0,,4.936687200547572,987.7606855996506,,15.0,477.0
463,Indiana,04-21-2020,12097,635,,11462.0,184.8565264576954,67264.0,,5.2492353476068425,1027.8738030627776,,58.0,409.0
513,Indiana,04-22-2020,12438,666,,11772.0,190.06741143100064,69470.0,,5.354558610709117,1061.5841029194098,,31.0,341.0
563,Indiana,04-23-2020,13039,706,,12333.0,199.25140518160626,72040.0,,5.414525653807807,1100.856755064262,,40.0,601.0
613,Indiana,04-24-2020,13681,741,,12940.0,209.0619276240168,75553.0,,5.41627074044295,1154.53956712063,,35.0,642.0
663,Indiana,04-25-2020,14399,786,,13613.0,220.03382032440743,79774.0,1515.0,5.458712410584068,1219.041460001339,10.521563997499829,45.0,718.0
713,Indiana,04-26-2020,15012,813,,14199.0,229.4011883262729,81708.0,1446.0,5.415667466027179,1248.5952768294105,9.632294164668263,27.0,613.0
763,Indiana,04-27-2020,15961,844,,15117.0,243.90303536341872,84476.0,1493.0,5.287889229998121,1290.8936041200527,9.354050498089093,31.0,949.0
813,Indiana,04-28-2020,16588,901,,15687.0,253.48433999175427,87181.0,,5.431637328189052,1332.22921659158,,57.0,627.0
863,Indiana,04-29-2020,17182,964,,16218.0,262.5613654291248,91550.0,,5.610522639972063,1398.9927252378284,,63.0,594.0
913,Indiana,04-30-2020,17835,1114,0.0,16721.0,272.5399809351904,94998.0,,6.246145220072888,1451.6822600998714,,150.0,653.0
963,Indiana,05-01-2020,18630,1175,0.0,17455.0,284.688525081166,99639.0,,6.3070316693505095,1522.6022517746808,,61.0,795.0
1013,Indiana,05-02-2020,19295,1115,0.0,18180.0,294.8505148384916,104141.0,,5.77869914485618,1591.3981583723944,,-60.0,665.0
1063,Indiana,05-03-2020,19933,1132,0.0,18801.0,304.59991253048213,108859.0,,5.679024732855065,1663.4948014927884,,17.0,638.0
1113,Indiana,05-04-2020,20507,1151,0.0,19356.0,313.37131421575265,113297.0,,5.612717608621447,1731.3127120837823,,19.0,574.0
1163,Indiana,05-05-2020,21033,1211,,19822.0,321.4092188959832,115834.0,,5.7576189796985675,1770.0810850376695,,60.0,526.0
1213,Indiana,05-06-2020,21870,1377,,20493.0,334.1995729213688,120496.0,,6.296296296296298,1841.3219816521841,,166.0,837.0
1263,Indiana,05-07-2020,22503,1414,,21089.0,343.8725646753344,124782.0,,6.283606630227081,1906.8171517272167,,37.0,633.0
1313,Indiana,05-08-2020,23146,1447,,21699.0,353.6983683053499,130128.0,4389.0,6.251620150349952,1988.510380663552,18.962239695843774,33.0,643.0
1363,Indiana,05-09-2020,23732,1490,,22242.0,362.65314424188034,135686.0,4389.0,6.278442609135345,2073.4432213721466,18.49401651778189,43.0,586.0
1413,Indiana,05-10-2020,24126,1508,,22618.0,368.6739321582508,140029.0,4389.0,6.250518113238829,2139.8094191406653,18.191992041780647,18.0,394.0
1463,Indiana,05-11-2020,24627,1540,,23087.0,376.32980714835617,146688.0,4389.0,6.253299224428472,2241.5668474023664,17.82190278962115,32.0,501.0
1513,Indiana,05-12-2020,25127,1578,,23549.0,383.97040095085663,150510.0,,6.2800971066979745,2299.97154642868,,38.0,500.0
1563,Indiana,05-13-2020,25473,1619,,23854.0,389.2576918621869,154083.0,4389.0,6.355749224669258,2354.5712297413475,17.230008244023082,41.0,346.0
1613,Indiana,05-14-2020,26053,1646,,24407.0,386.9897874682924,160239.0,4389.0,6.317890454074387,2380.1810368914025,16.846428434345373,27.0,580.0
1663,Indiana,05-15-2020,26656,1691,,24965.0,395.94671534006835,165448.0,4389.0,6.343787515006003,2457.5552280756165,16.465336134453782,45.0,603.0
1713,Indiana,05-16-2020,27280,1741,,25539.0,405.2155760232993,171358.0,4389.0,6.381964809384162,2545.3420335850633,16.088709677419356,50.0,624.0
1763,Indiana,05-17-2020,27778,1751,,26027.0,412.6128398378009,177243.0,4389.0,6.303549571603428,2632.757490509445,15.800273597811218,10.0,498.0
1813,Indiana,05-18-2020,28255,1765,,26490.0,419.6981708408477,183912.0,4389.0,6.246682003185277,2731.8184390614747,15.533533887807467,14.0,477.0
1863,Indiana,05-19-2020,28705,1824,,26881.0,426.3824453720237,189330.0,4389.0,6.3542936770597445,2812.297104416835,15.290019160425013,59.0,450.0
1913,Indiana,05-20-2020,29274,1864,,27410.0,434.83433916811083,195738.0,4389.0,6.367425018788003,2907.481173740783,14.992826398852225,40.0,569.0
1963,Indiana,05-21-2020,29936,1913,,28023.0,444.6676497006411,202995.0,4389.0,6.390299305184393,3015.2762410135497,14.661277391769106,49.0,662.0
2013,Indiana,05-22-2020,30409,1941,,28468.0,451.6935649300773,208561.0,5285.0,6.382978723404255,3097.953289992497,17.37972310829031,28.0,473.0
2063,Indiana,05-23-2020,30901,1964,,28937.0,459.00170508416323,214933.0,5285.0,6.355781366298825,3192.602617353951,17.103006375198213,23.0,492.0
2113,Indiana,05-24-2020,31376,1976,,29400.0,466.05732820040464,220801.0,5285.0,6.297807241203468,3279.7655572404883,16.844084650688426,12.0,475.0
2163,Indiana,05-25-2020,31715,1984,,29731.0,471.0928150138907,226251.0,5285.0,6.2557149613747445,3360.719548784732,16.66403909821851,8.0,339.0
2213,Indiana,05-26-2020,32078,2004,,30074.0,476.4847964690394,230749.0,5285.0,6.247272273832532,3427.532586209688,16.47546605149947,20.0,363.0
2263,Indiana,05-27-2020,32437,2030,,30407.0,481.8173621505777,235333.0,5285.0,6.258285291488116,3495.6230627672694,16.29312205197768,26.0,359.0
2313,Indiana,05-28-2020,33068,2068,,31000.0,491.19020043762686,242287.0,5285.0,6.25378008951252,3598.917385189044,15.982218458933108,38.0,631.0
2363,Indiana,05-29-2020,33558,2110,,31448.0,498.46863270490763,248713.0,5285.0,6.287621431551343,3694.368825494239,15.748852732582396,42.0,490.0
2413,Indiana,05-30-2020,34211,2125,,32086.0,508.1682577468142,256395.0,5285.0,6.211452456812136,3808.476818713117,15.448247639648066,15.0,653.0
2463,Indiana,05-31-2020,34574,2134,21704.0,10736.0,513.560239201963,261546.0,5285.0,6.1722681783999525,3884.98948117998,15.286053103488172,9.0,363.0
2513,Indiana,06-01-2020,34830,2143,22224.0,10463.0,517.362848713032,265896.0,5860.0,6.1527418891759975,3949.604134981349,16.824576514498993,9.0,256.0
2563,Indiana,06-02-2020,35237,2197,22623.0,10417.0,523.4084036778958,271919.0,5902.0,6.234923517893122,4039.069436095289,16.74943950960638,54.0,407.0
2613,Indiana,06-03-2020,35712,2207,23182.0,10323.0,530.4640267941372,277815.0,5952.0,6.179995519713263,4126.6482863971005,16.666666666666668,10.0,475.0
2663,Indiana,06-04-2020,36096,2231,23707.0,10158.0,536.1679410607409,285234.0,5999.0,6.18074024822695,4236.84969250109,16.619570035460992,24.0,384.0
2713,Indiana,06-05-2020,36578,2258,24317.0,10003.0,543.3275417808006,291638.0,6053.0,6.173109519383236,4331.974346051428,16.54819837060528,27.0,482.0
2763,Indiana,06-06-2020,36997,2292,24729.0,9976.0,549.5513440664956,297530.0,6091.0,6.195096899748628,4419.493780579628,16.463497040300563,34.0,419.0
2813,Indiana,06-07-2020,37397,2303,25138.0,9956.0,555.4929214275412,304263.0,6136.0,6.158247987806509,4519.505381509425,16.407733240634276,11.0,400.0
2863,Indiana,06-08-2020,37623,2316,25608.0,9699.0,558.8499126365318,309503.0,6179.0,6.1558089466549735,4597.34004493912,16.42346437019908,13.0,226.0
2913,Indiana,06-09-2020,38033,2339,26205.0,9489.0,564.9400294316034,315390.0,6225.0,6.1499224357794535,4684.7852097503055,16.36736518286751,23.0,410.0
2963,Indiana,06-10-2020,38337,2355,26791.0,9191.0,569.455628225998,320094.0,6261.0,6.14289068002191,4754.6581595162015,16.331481336567805,16.0,304.0
3013,Indiana,06-11-2020,38748,2380,27321.0,9047.0,575.5605989644723,327342.0,6314.0,6.142252503355013,4862.319541298344,16.295034582430066,25.0,411.0
3063,Indiana,06-12-2020,39146,2396,27811.0,8939.0,581.4724684387124,335180.0,6349.0,6.1206764420375,4978.7447496880295,16.21877075563276,16.0,398.0
3113,Indiana,06-13-2020,39543,2413,28241.0,8889.0,587.3694839695501,340637.0,6349.0,6.102217838808388,5059.802718836093,16.05593910426624,17.0,397.0
3163,Indiana,06-14-2020,39909,2422,28522.0,8965.0,592.8060272549068,348391.0,6419.0,6.068806534866821,5174.980195979959,16.084091307725075,9.0,366.0
3213,Indiana,06-15-2020,40430,2433,28744.0,9253.0,600.5449317676682,355829.0,6451.0,6.017808558001484,5285.463827008599,15.955973287162998,11.0,521.0
3263,Indiana,06-16-2020,40786,2447,29093.0,9246.0,605.8329356189987,363745.0,6481.0,5.999607708527436,5403.047642983688,15.890256460550187,14.0,356.0
3313,Indiana,06-17-2020,41013,2475,29671.0,8867.0,609.2047807713919,371182.0,6526.0,6.034671933289447,5513.516420068924,15.912027893594713,28.0,227.0
3363,Indiana,06-18-2020,41438,2491,30175.0,8772.0,615.5177067175027,384722.0,6589.0,6.011390511125055,5714.638813740314,15.90086394130991,16.0,425.0
3413,Indiana,06-19-2020,41746,2516,30760.0,8470.0,620.0927212855078,392887.0,6731.0,6.026924735303981,5835.921261622654,16.12370047429694,25.0,308.0
3463,Indiana,06-20-2020,42061,2536,31110.0,8415.0,624.7717134573312,401802.0,6755.0,6.029338341931956,5968.3441670569555,16.060008083497774,20.0,315.0
3513,Indiana,06-21-2020,42423,2540,31302.0,8581.0,630.1488409690772,411920.0,6788.0,5.987318200033001,6118.636366404598,16.00075430780473,4.0,362.0
3563,Indiana,06-22-2020,42633,2553,31739.0,8341.0,633.268169083626,418916.0,6819.0,5.9883189078882575,6222.554554449283,15.994652030117516,13.0,210.0
3613,Indiana,06-23-2020,42871,2569,32152.0,8150.0,636.8034076134481,426376.0,6853.0,5.992395792027245,6333.364972232781,15.985164796715727,16.0,238.0
