ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
14,Iowa,04-12-2020,1587,41,674.0,1546.0,60.55603952,17592.0,129.0,2.583490863,671.2677046,8.128544423,,
64,Iowa,04-13-2020,1710,41,741.0,1669.0,65.249418765046,18696.0,142.0,2.3976608187134505,713.3936451645029,8.304093567251464,0.0,0.07750472589792061
114,Iowa,04-14-2020,1899,49,741.0,1850.0,72.46119663,18885.0,163.0,2.580305424,720.6054230000002,8.583464982,0.1951219512195122,0.11052631578947368
164,Iowa,04-15-2020,1995,53,908.0,1942.0,76.12432189255367,19869.0,171.0,2.656641604010025,758.1524569840344,8.571428571428571,0.08163265306122448,0.05055292259083728
214,Iowa,04-16-2020,2141,60,987.0,2081.0,81.69532489822427,20675.0,175.0,2.8024287716020555,788.9074461797228,8.173750583839327,0.1320754716981132,0.07318295739348371
264,Iowa,04-17-2020,2332,64,1007.0,2268.0,88.98341787139607,21792.0,183.0,2.7444253859348198,831.5294349285863,7.847341337907376,0.06666666666666667,0.08921064922933208
314,Iowa,04-18-2020,2513,74,1095.0,2439.0,95.88993529623428,22947.0,193.0,2.9446876243533624,875.6014107611172,7.6800636689216075,0.15625,0.07761578044596913
364,Iowa,04-19-2020,2902,75,1171.0,2827.0,110.7332241264114,24550.0,198.0,2.584424534803584,936.7679711589936,6.8228807718814615,0.013513513513513514,0.1547950656585754
414,Iowa,04-20-2020,3159,79,1235.0,3080.0,120.539715718585,25820.0,214.0,2.5007913896802787,985.2280657973613,6.774295663184552,0.05333333333333334,0.08855961405926947
464,Iowa,04-21-2020,3641,83,1293.0,3558.0,138.9316571482646,27615.0,214.0,2.279593518264213,1053.7208767232428,5.877506179620982,0.05063291139240506,0.15257993035770814
514,Iowa,04-22-2020,3748,90,1428.0,3658.0,143.01451551543414,28244.0,272.0,2.4012806830309503,1077.7219787134268,7.257203842049093,0.08433734939759036,0.029387530898104915
564,Iowa,04-23-2020,3924,96,1492.0,3828.0,149.73024516610556,29262.0,282.0,2.4464831804281344,1116.5663695337869,7.186544342507645,0.06666666666666667,0.04695837780149413
614,Iowa,04-24-2020,4445,107,1604.0,4338.0,169.61033123428626,31973.0,278.0,2.4071991001124857,1220.011500687027,6.25421822272216,0.11458333333333333,0.13277268093781855
664,Iowa,04-25-2020,5092,112,1723.0,4980.0,194.2982692114703,34350.0,293.0,2.199528672427337,1310.7120085259241,5.7541241162608,0.04672897196261682,0.14555680539932508
714,Iowa,04-26-2020,5476,118,1900.0,5358.0,208.95077026748064,36090.0,286.0,2.1548575602629656,1377.1061539359714,5.2227903579254935,0.05357142857142857,0.07541241162608013
764,Iowa,04-27-2020,5868,127,2021.0,5741.0,223.90853176215785,38150.0,300.0,2.16428084526244,1455.710716892693,5.112474437627811,0.07627118644067797,0.07158509861212564
814,Iowa,04-28-2020,6376,136,2164.0,6240.0,243.29256961750485,39823.0,,2.132998745294856,1519.5483061289044,,0.07086614173228346,0.08657123381049761
864,Iowa,04-29-2020,6843,148,2428.0,6695.0,261.1121477246841,41337.0,,2.1627940961566563,1577.318844146612,,0.08823529411764706,0.07324341279799247
914,Iowa,04-30-2020,7145,162,2697.0,4286.0,272.6357292843589,42667.0,,2.2673198040587823,1628.0683920749814,,0.0945945945945946,0.044132690340493934
964,Iowa,05-01-2020,7884,170,2899.0,4815.0,300.83416230621214,45592.0,,2.156265854895992,1739.67923996256,,0.04938271604938271,0.10342897130860741
1014,Iowa,05-02-2020,8643,175,3156.0,5312.0,329.7957464247325,46349.0,,2.0247599213236143,1768.5645089714135,,0.029411764705882353,0.09627092846270928
1064,Iowa,05-03-2020,9175,184,3325.0,5666.0,350.0955655960802,53186.0,,2.0054495912806543,2029.4477113670969,,0.05142857142857143,0.06155270160823788
1114,Iowa,05-04-2020,9703,188,3486.0,6029.0,370.2427545480944,57161.0,,1.9375450891476864,2181.1239918297038,,0.021739130434782608,0.057547683923705725
1164,Iowa,05-05-2020,10111,207,3572.0,6332.0,385.81103692010527,60569.0,,2.04727524478291,2311.164938701796,,0.10106382978723404,0.04204885087086468
1214,Iowa,05-06-2020,10404,219,3803.0,6382.0,396.9912004862799,63171.0,,2.104959630911188,2410.4508963782,,0.057971014492753624,0.02897834042132331
1264,Iowa,05-07-2020,11059,231,4266.0,6562.0,421.9843989021308,66427.0,,2.088796455375712,2534.69189491562,,0.0547945205479452,0.06295655517108804
1314,Iowa,05-08-2020,11457,243,4685.0,6529.0,437.17110572580816,70261.0,,2.1209740769835035,2680.987960146724,,0.05194805194805195,0.035988787412966815
1364,Iowa,05-09-2020,11671,252,5011.0,6408.0,445.3368224601474,71476.0,,2.1591980121669097,2727.349389269257,,0.037037037037037035,0.01867853713886707
1414,Iowa,05-10-2020,11959,265,5154.0,6540.0,456.32619825215517,74174.0,,2.2159043398277447,2830.298472209661,,0.051587301587301584,0.024676548710478963
1464,Iowa,05-11-2020,12373,271,5249.0,6853.0,472.1234259531662,77792.0,,2.1902529701769984,2968.3525055967602,,0.022641509433962263,0.034618279120327784
1514,Iowa,05-12-2020,12912,289,5618.0,7005.0,492.69034800834737,81288.0,,2.2382280049566297,3101.751317294187,,0.06642066420664207,0.04356259597510709
1564,Iowa,05-13-2020,13289,306,5954.0,7029.0,507.0757461805242,85719.0,,2.3026563323049136,3270.8274427608058,,0.058823529411764705,0.029197645600991327
1614,Iowa,05-14-2020,13675,318,6231.0,7126.0,433.42936923744963,89294.0,,2.3254113345521024,2830.1749248035712,,0.0392156862745098,0.029046579878094666
1664,Iowa,05-15-2020,14049,336,6561.0,7152.0,445.28330591714285,93566.0,,2.391629297458894,2965.576041102099,,0.05660377358490566,0.027349177330895796
1714,Iowa,05-16-2020,14328,346,6927.0,7055.0,454.1262159001226,96300.0,,2.414852037967616,3052.230219931729,,0.02976190476190476,0.01985906470211403
1764,Iowa,05-17-2020,14651,351,7154.0,7146.0,464.3637066689487,100241.0,,2.3957409050576755,3177.140285318551,,0.014450867052023121,0.02254327191513121
1814,Iowa,05-18-2020,14955,355,7324.0,7276.0,473.998992098432,103148.0,,2.373788030758944,3269.277702237985,,0.011396011396011397,0.02074943689850522
1864,Iowa,05-19-2020,15296,367,8130.0,6799.0,484.8069931887408,107648.0,,2.3993200836820083,3411.9052826086267,,0.03380281690140845,0.022801738548980273
1914,Iowa,05-20-2020,15620,393,8362.0,6865.0,495.07617897542684,110748.0,,2.5160051216389245,3510.1598379750685,,0.07084468664850137,0.021182008368200837
1964,Iowa,05-21-2020,16170,410,8672.0,7088.0,512.5084387985054,116565.0,,2.5355596784168206,3694.529756867518,,0.043256997455470736,0.035211267605633804
2014,Iowa,05-22-2020,16492,424,9079.0,6989.0,522.7142345494711,120250.0,,2.5709434877516366,3811.3258976821444,,0.03414634146341464,0.019913419913419914
2064,Iowa,05-23-2020,16898,446,9254.0,7198.0,535.5824118006891,123941.0,,2.639365605397088,3928.312208603929,,0.05188679245283019,0.02461799660441426
2114,Iowa,05-24-2020,17251,456,9318.0,7477.0,546.7707531053194,127756.0,,2.643325024636253,4049.228701740373,,0.02242152466367713,0.020890046159308794
2164,Iowa,05-25-2020,17557,456,9377.0,7724.0,556.469428570523,132715.0,,2.5972546562624594,4206.40429530882,,0.0,0.017738102139006433
2214,Iowa,05-26-2020,17703,477,9791.0,7435.0,561.0969011781037,135004.0,,2.6944585663446867,4278.954191190686,,0.046052631578947366,0.00831577148715612
2264,Iowa,05-27-2020,18369,496,10016.0,7857.0,582.2057830729588,139526.0,,2.700201426316076,4422.279061954251,,0.039832285115303984,0.03762074224707677
2314,Iowa,05-28-2020,18586,506,10359.0,7721.0,589.0836019486097,142933.0,,2.722479285483697,4530.263987803757,,0.020161290322580645,0.011813381240132833
2364,Iowa,05-29-2020,18957,524,10753.0,7680.0,600.8424535747226,147320.0,,2.764150445745635,4669.310031156203,,0.03557312252964427,0.019961261164317227
2414,Iowa,05-30-2020,19244,531,11019.0,7694.0,609.9389237005835,150423.0,,2.7593016004988566,4767.659671576225,,0.013358778625954198,0.015139526296354908
2464,Iowa,05-31-2020,19552,535,11147.0,7870.0,619.7009892015075,156296.0,,2.736292962356792,4953.804511468842,,0.007532956685499058,0.016004988567865308
2514,Iowa,06-01-2020,19699,555,11440.0,7704.0,624.3601568269484,159081.0,,2.8174018985735314,5042.07513620934,,0.037383177570093455,0.007518412438625204
2564,Iowa,06-02-2020,20019,561,11742.0,7716.0,634.502562542194,163690.0,,2.8023377791098456,5188.157473526736,,0.010810810810810811,0.016244479415198743
2614,Iowa,06-03-2020,20300,574,12064.0,7662.0,643.408862560894,164445.0,,2.827586206896552,5212.0872120111435,,0.023172905525846704,0.014036665168090314
2664,Iowa,06-04-2020,20806,583,12333.0,7890.0,659.4465415981261,174935.0,,2.802076324137268,5544.567949364039,,0.0156794425087108,0.024926108374384238
