ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
15,Kansas,04-12-2020,1344,56,,1288.0,55.11612114,13253.0,298.0,4.166666667,543.4925249,22.17261905,,
65,Kansas,04-13-2020,1390,62,,1328.0,57.00253599771662,13864.0,309.0,4.460431654676259,568.549035303844,22.230215827338128,0.10714285714285714,0.03422619047619048
115,Kansas,04-14-2020,1441,69,,1372.0,59.09399595,14147.0,327.0,4.78834143,580.1545876,22.6925746,0.11290322580645161,0.03669064748201439
165,Kansas,04-15-2020,1504,71,,1433.0,61.67756412990345,14668.0,342.0,4.720744680851063,601.5202863413722,22.739361702127663,0.028985507246376812,0.04371963913948647
215,Kansas,04-16-2020,1615,80,,1535.0,66.2295652059801,16122.0,359.0,4.953560371517028,661.147399536106,22.229102167182663,0.1267605633802817,0.07380319148936171
265,Kansas,04-17-2020,1730,82,,1648.0,70.94560235687031,16901.0,375.0,4.739884393063584,693.0934251060492,21.676300578034677,0.025,0.07120743034055728
315,Kansas,04-18-2020,1821,85,,1736.0,74.67742305887911,17676.0,383.0,4.667764964305327,724.875414601179,21.03239978034048,0.036585365853658534,0.05260115606936416
365,Kansas,04-19-2020,1905,93,,1812.0,78.12218062996416,18130.0,390.0,4.881889763779528,743.4935090925197,20.47244094488189,0.09411764705882353,0.04612850082372323
415,Kansas,04-20-2020,2048,102,,1946.0,83.98647030454939,18761.0,405.0,4.98046875,769.3701998943608,19.775390625,0.0967741935483871,0.07506561679790026
465,Kansas,04-21-2020,2164,109,,2055.0,88.74351647414301,19101.0,419.0,5.036968576709796,783.3132662535146,19.362292051756008,0.06862745098039216,0.056640625
515,Kansas,04-22-2020,2331,112,,2219.0,95.59202259760971,20203.0,432.0,4.804804804804805,828.5052048646538,18.53281853281853,0.027522935779816515,0.07717190388170056
565,Kansas,04-23-2020,2721,113,,2608.0,111.58553989193304,21318.0,442.0,4.152884968761485,874.2302607189372,16.244027930907755,0.008928571428571428,0.16731016731016732
615,Kansas,04-24-2020,2959,118,,2841.0,121.34568634334065,23588.0,457.0,3.9878337276106803,967.3207331756403,15.44440689422102,0.04424778761061947,0.0874678427048879
665,Kansas,04-25-2020,3135,120,,3015.0,128.56327363513785,25199.0,474.0,3.827751196172249,1033.3862623068064,15.119617224880386,0.01694915254237288,0.05947955390334572
715,Kansas,04-26-2020,3277,121,,3156.0,134.38655429101968,26227.0,485.0,3.6924015868172098,1075.5435335338948,14.800122062862375,0.008333333333333333,0.04529505582137161
765,Kansas,04-27-2020,3473,126,,3347.0,142.42432195688474,27167.0,496.0,3.6279873308378923,1114.0920111150845,14.281600921393604,0.04132231404958678,0.05981080256332011
815,Kansas,04-28-2020,3652,127,,3525.0,149.76493630479212,28090.0,504.0,3.4775465498357065,1151.9433353783165,13.800657174151151,0.007936507936507936,0.051540454938093866
865,Kansas,04-29-2020,3839,134,266.0,3705.0,157.43362280232668,29458.0,515.0,3.490492315707216,1208.0436729645585,13.414951810367286,0.05511811023622047,0.05120481927710843
915,Kansas,04-30-2020,4413,134,272.0,4007.0,180.9727995380744,31626.0,523.0,3.0364831180602763,1296.9512255135146,11.851348289145706,0.0,0.14951810367283147
965,Kansas,05-01-2020,4634,140,280.0,4214.0,190.03579267152432,33034.0,534.0,3.0211480362537766,1354.6919238478927,11.523521795425115,0.04477611940298507,0.050079311126217996
1015,Kansas,05-02-2020,4885,142,286.0,4457.0,200.3290563660761,34942.0,541.0,2.9068577277379735,1432.937131533967,11.074718526100307,0.014285714285714285,0.05416486836426414
1065,Kansas,05-03-2020,5156,144,286.0,4726.0,211.44250043469557,36778.0,547.0,2.7928626842513578,1508.2296898733966,10.60899922420481,0.014084507042253521,0.05547594677584442
1115,Kansas,05-04-2020,5383,156,291.0,4936.0,220.75154768036583,38603.0,553.0,2.8980122608211034,1583.0711490070896,10.273081924577374,0.08333333333333333,0.04402637703646237
1165,Kansas,05-05-2020,5648,161,296.0,5191.0,231.6189376367651,40092.0,566.0,2.8505665722379603,1644.133577856442,10.021246458923512,0.03205128205128205,0.0492290544306149
1215,Kansas,05-06-2020,5993,164,318.0,5511.0,245.7670490894357,42114.0,571.0,2.7365259469380945,1727.0538136747034,9.52778241281495,0.018633540372670808,0.06108356940509915
1265,Kansas,05-07-2020,6332,165,323.0,5844.0,259.6691064298861,44822.0,587.0,2.605811749842072,1838.1062363234923,9.27037271004422,0.006097560975609756,0.05656599365926915
1315,Kansas,05-08-2020,6667,168,332.0,6167.0,273.40712769552283,47708.0,608.0,2.519874006299685,1956.458264301485,9.11954402279886,0.01818181818181818,0.05290587492103601
