ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
17,Louisiana,04-12-2020,20595,840,,19755.0,447.9836494,104045.0,2084.0,4.078659869,2263.19295,10.11896091,,
67,Louisiana,04-13-2020,21016,884,,20132.0,457.1412661351334,108091.0,2134.0,4.206318995051388,2351.20177949242,10.154168252759805,0.05238095238095238,0.020441854819130856
117,Louisiana,04-14-2020,21518,1013,,20505.0,468.06079960000005,118422.0,1977.0,4.7076865880000005,2575.922298,9.187656845,0.14592760180995476,0.023886562618956986
167,Louisiana,04-15-2020,21951,1103,,20848.0,477.4794410416974,121928.0,1943.0,5.024828026058039,2652.1850160508443,8.851532959774044,0.08884501480750247,0.020122687982154476
217,Louisiana,04-16-2020,22532,1156,,21376.0,490.1173871601078,126586.0,1914.0,5.130481093555832,2753.506105585363,8.494585478430677,0.04805077062556664,0.02646804245820236
267,Louisiana,04-17-2020,23118,1213,,21905.0,502.86409357213614,131987.0,1868.0,5.24699368457479,2870.9889747515153,8.08028376157107,0.04930795847750865,0.026007456062488905
317,Louisiana,04-18-2020,23580,1267,,22313.0,512.9135447024382,137999.0,1761.0,5.373197625106021,3001.7623517977863,7.468193384223919,0.04451772464962902,0.019984427718660783
367,Louisiana,04-19-2020,23928,1296,,22632.0,520.4832611382503,141504.0,1748.0,5.4162487462387165,3078.003317623997,7.305249080575058,0.022888713496448304,0.014758269720101781
417,Louisiana,04-20-2020,24523,1328,,23195.0,533.4257360787911,142099.0,1794.0,5.415324389348776,3090.9457925645365,7.315581291032907,0.024691358024691357,0.024866265463055835
467,Louisiana,04-21-2020,24854,1405,,23449.0,540.6256675163021,142430.0,1798.0,5.653013599420617,3098.1457240020477,7.234248008368874,0.05798192771084337,0.01349753292827142
517,Louisiana,04-22-2020,25258,1473,,23785.0,549.4134992406356,142834.0,1747.0,5.8318156623644,3106.933555726381,6.916620476680657,0.048398576512455514,0.016254928784099138
567,Louisiana,04-23-2020,25739,1599,,24140.0,559.8762394866861,143315.0,1727.0,6.2123625626481225,3117.396295972432,6.709662380045844,0.0855397148676171,0.019043471375405813
617,Louisiana,04-24-2020,26140,1660,14927.0,24480.0,568.5988150348488,143716.0,1697.0,6.350420811017598,3126.118871520595,6.491966335118593,0.03814884302689181,0.01557947084191305
667,Louisiana,04-25-2020,26512,1707,14927.0,24805.0,576.6905808800274,139002.0,1700.0,6.438593844296923,3023.579666697555,6.412190706095352,0.028313253012048192,0.01423106350420811
717,Louisiana,04-26-2020,26773,1729,14927.0,25044.0,582.3678682068862,143036.0,1701.0,6.457998730063872,3111.327471588549,6.35341575467822,0.012888107791446984,0.009844598672299336
767,Louisiana,04-27-2020,27068,1740,17303.0,25328.0,588.7847255303477,146989.0,1683.0,6.428254765775084,3197.3133597229307,6.217674006206591,0.006362058993637941,0.011018563478130954
817,Louisiana,04-28-2020,27286,1801,17303.0,25485.0,593.5266743320923,151108.0,,6.600454445503187,3286.91008960543,,0.03505747126436782,0.008053790453672233
867,Louisiana,04-29-2020,27660,1845,17303.0,25815.0,601.6619442947177,156568.0,,6.670281995661607,3405.676330236275,,0.024430871737923375,0.013706662757458037
917,Louisiana,04-30-2020,28001,1905,17303.0,8793.0,609.0793963194646,161309.0,,6.8033284525552675,3508.802840644853,,0.032520325203252036,0.01232827187274042
967,Louisiana,05-01-2020,28711,1970,17303.0,9438.0,624.5233580132192,168251.0,,6.861481662080736,3659.805632304069,,0.03412073490813648,0.0253562372772401
