ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
18,Maine,04-12-2020,633,19,266.0,614.0,53.91795272,6721.0,120.0,3.001579779,572.4842974,18.95734597,,
68,Maine,04-13-2020,698,19,273.0,679.0,59.454551339601316,12306.0,124.0,2.7220630372492844,1048.2058865116533,17.76504297994269,0.0,65.0
118,Maine,04-14-2020,735,20,292.0,715.0,62.60615363,12342.0,124.0,2.721088435,1051.27231,16.870748300000002,1.0,37.0
168,Maine,04-15-2020,770,24,305.0,746.0,65.58739904225362,14846.0,126.0,3.116883116883117,1264.5591249107754,16.363636363636363,4.0,35.0
218,Maine,04-16-2020,796,27,333.0,769.0,67.8020384904336,14872.0,130.0,3.391959798994975,1266.7737643589555,16.331658291457288,3.0,26.0
268,Maine,04-17-2020,827,29,352.0,798.0,70.44257014018667,14903.0,133.0,3.5066505441354288,1269.4142960087086,16.08222490931076,2.0,31.0
318,Maine,04-18-2020,847,32,382.0,815.0,72.14613894647898,14923.0,136.0,3.7780401416765055,1271.117864815001,16.056670602125152,3.0,20.0
368,Maine,04-19-2020,867,34,393.0,833.0,73.84970775277128,14943.0,136.0,3.92156862745098,1272.8214336212932,15.68627450980392,2.0,20.0
418,Maine,04-20-2020,875,35,414.0,840.0,74.53113527528821,14951.0,138.0,4.0,1273.5028611438104,15.771428571428574,1.0,8.0
468,Maine,04-21-2020,888,36,443.0,852.0,75.6384549993782,14964.0,139.0,4.0540540540540535,1274.6101808679002,15.653153153153156,1.0,13.0
518,Maine,04-22-2020,907,39,455.0,868.0,77.25684536535589,17691.0,144.0,4.299889746416759,1506.8917876058554,15.87651598676957,3.0,19.0
568,Maine,04-23-2020,937,44,485.0,893.0,79.81219857479434,17721.0,150.0,4.6958377801494136,1509.4471408152938,16.008537886873,5.0,30.0
618,Maine,04-24-2020,965,47,499.0,918.0,82.19719490360356,17749.0,152.0,4.870466321243524,1511.8321371441034,15.751295336787564,3.0,28.0
668,Maine,04-25-2020,965,47,519.0,918.0,82.19719490360356,17774.0,156.0,4.870466321243524,1513.9615981519685,16.165803108808287,0.0,0.0
718,Maine,04-26-2020,1015,50,532.0,965.0,86.45611691933432,17799.0,159.0,4.9261083743842375,1516.091059159834,15.665024630541875,3.0,50.0
768,Maine,04-27-2020,1023,51,549.0,972.0,87.13754444185123,17807.0,161.0,4.9853372434017595,1516.7724866823507,15.73802541544477,1.0,8.0
818,Maine,04-28-2020,1040,51,585.0,989.0,88.58557792719971,17824.0,163.0,4.903846153846153,1518.2205201676993,15.673076923076925,0.0,17.0
868,Maine,04-29-2020,1056,52,615.0,1004.0,89.94843297223352,20602.0,166.0,4.924242424242424,1754.8462273617001,15.719696969696967,1.0,16.0
918,Maine,04-30-2020,1095,53,631.0,411.0,93.27039214450352,20641.0,170.0,4.840182648401827,1758.1681865339701,15.525114155251146,1.0,39.0
968,Maine,05-01-2020,1123,55,657.0,411.0,95.65538847331274,20669.0,177.0,4.897595725734639,1760.5531828627793,15.761353517364205,2.0,28.0
1018,Maine,05-02-2020,1153,56,689.0,408.0,98.21074168275119,20698.0,181.0,4.856895056374674,1763.023357631903,15.69817866435386,1.0,30.0
1068,Maine,05-03-2020,1185,57,706.0,422.0,100.93645177281887,20731.0,183.0,4.810126582278482,1765.8342461622854,15.443037974683545,1.0,32.0
1118,Maine,05-04-2020,1205,57,720.0,428.0,102.6400205791112,20751.0,186.0,4.730290456431535,1767.5378149685778,15.435684647302905,0.0,20.0
1168,Maine,05-05-2020,1226,61,741.0,424.0,104.4287678257181,20772.0,187.0,4.975530179445351,1769.3265622151846,15.252854812398045,4.0,21.0
1218,Maine,05-06-2020,1254,62,766.0,426.0,106.81376415452732,23346.0,191.0,4.944178628389155,1988.575867585004,15.231259968102071,1.0,28.0
1268,Maine,05-07-2020,1330,62,787.0,481.0,113.28732561843805,23422.0,192.0,4.661654135338347,1995.0494290489146,14.436090225563907,0.0,76.0
1318,Maine,05-08-2020,1374,63,836.0,475.0,117.03517699228114,23466.0,194.0,4.585152838427947,1998.7972804227572,14.119359534206696,1.0,44.0
1368,Maine,05-09-2020,1408,64,857.0,487.0,119.93124396297804,23500.0,198.0,4.545454545454546,2001.6933473934546,14.0625,1.0,34.0
1418,Maine,05-10-2020,1436,64,861.0,511.0,122.31624029178728,23528.0,199.0,4.456824512534818,2004.0783437222642,13.857938718662956,0.0,28.0
1468,Maine,05-11-2020,1462,65,872.0,525.0,124.53087973996729,23554.0,200.0,4.4459644322845415,2006.2929831704441,13.679890560875512,1.0,26.0
1518,Maine,05-12-2020,1477,65,913.0,499.0,125.80855634468651,23569.0,202.0,4.400812457684496,2007.570659775163,13.676371022342586,0.0,15.0
1568,Maine,05-13-2020,1515,66,943.0,506.0,129.04533707664186,23607.0,204.0,4.356435643564357,2010.8074405071186,13.465346534653465,1.0,38.0
1618,Maine,05-14-2020,1565,69,958.0,538.0,116.42508770937916,23657.0,207.0,4.4089456869009584,1759.9158466075296,13.226837060702875,3.0,50.0
1668,Maine,05-15-2020,1603,69,993.0,541.0,119.252022746412,23695.0,211.0,4.304429195258891,1762.742781644562,13.162819713038054,0.0,38.0
1718,Maine,05-16-2020,1648,70,1012.0,566.0,122.59970897447724,23740.0,214.0,4.247572815533982,1766.0904678726272,12.985436893203886,1.0,45.0
1768,Maine,05-17-2020,1687,70,1028.0,589.0,125.50103703880043,23779.0,216.0,4.149377593360996,1768.9917959369504,12.803793716656788,0.0,39.0
1818,Maine,05-18-2020,1713,71,1053.0,589.0,127.43525574834923,23805.0,223.0,4.144775248102744,1770.9260146464997,13.018096906012845,1.0,26.0
1868,Maine,05-19-2020,1741,73,1088.0,580.0,129.5182605124787,23833.0,225.0,4.192992533026996,1773.0090194106288,12.923607122343485,2.0,28.0
