ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
20,Massachusetts,04-12-2020,25475,756,,24719.0,371.1516059,116730.0,2235.0,2.967615309,1700.668379,8.773307164,,
70,Massachusetts,04-13-2020,26867,844,,26023.0,391.4319997808785,122049.0,2340.0,3.1414002307663678,1778.1622116818567,8.709569360181638,0.1164021164021164,0.05464180569185476
120,Massachusetts,04-14-2020,28164,844,,27320.0,410.3283151,126551.0,2340.0,2.996733419,1843.752968,8.308478909,0.0,0.04827483529981018
170,Massachusetts,04-15-2020,29918,1108,,28810.0,435.88277699200967,132023.0,3454.0,3.7034561133765616,1923.475896343876,11.544889364262321,0.3127962085308057,0.06227808549921886
220,Massachusetts,04-16-2020,32181,1108,,31073.0,468.8529863754216,140773.0,3454.0,3.4430253876510983,2050.9568208267992,10.733041235511637,0.0,0.07564008289324153
270,Massachusetts,04-17-2020,34402,1245,,33157.0,501.21128732131547,148744.0,3729.0,3.6189756409511076,2167.0883007186135,10.839486076390907,0.12364620938628158,0.06901587893477518
320,Massachusetts,04-18-2020,36372,1404,,34968.0,529.9127068906134,156806.0,3729.0,3.8601121741999336,2284.5455822250506,10.252391949851534,0.12771084337349398,0.05726411255159584
370,Massachusetts,04-19-2020,38077,1706,,36371.0,554.753275604143,162241.0,3729.0,4.480394989101032,2363.729447889586,9.793313548861518,0.2150997150997151,0.0468767183547784
420,Massachusetts,04-20-2020,38077,1706,,36371.0,554.753275604143,162241.0,3729.0,4.480394989101032,2363.729447889586,9.793313548861518,0.0,0.0
470,Massachusetts,04-21-2020,41199,1961,,39238.0,600.2384694596499,175372.0,3872.0,4.759824267579309,2555.0382501050444,9.398286366173936,0.14947245017584995,0.08199175355201303
520,Massachusetts,04-22-2020,42944,2182,,40762.0,625.6618081136727,180462.0,3977.0,5.0810357675111755,2629.195725032825,9.260897913561847,0.112697603263641,0.04235539697565475
570,Massachusetts,04-23-2020,46023,2360,,43663.0,670.5205242831493,195076.0,4493.0,5.127870847185103,2842.110722792075,9.762510049323165,0.08157653528872594,0.07169802533532042
620,Massachusetts,04-24-2020,50969,2556,,48413.0,742.5800274251534,215213.0,4752.0,5.014812925503739,3135.491680084945,9.323314171359062,0.08305084745762711,0.10746800512787084
670,Massachusetts,04-25-2020,53348,2730,,50618.0,777.2402696359959,226845.0,4965.0,5.117342730749044,3304.9611787804142,9.306815625702932,0.06807511737089202,0.046675430163432674
720,Massachusetts,04-26-2020,54938,2899,,52039.0,800.4053747706073,236100.0,5104.0,5.276857548509228,3439.799573762065,9.29047289671994,0.06190476190476191,0.029804303816450477
770,Massachusetts,04-27-2020,56462,3003,,53459.0,822.6089095034042,244887.0,5237.0,5.318621373667245,3567.8195604399452,9.275264779851936,0.03587443946188341,0.02774036186246314
820,Massachusetts,04-28-2020,58302,3153,,55149.0,849.4163267660989,254500.0,5515.0,5.40804775136359,3707.873746389012,9.45936674556619,0.04995004995004995,0.03258828946902342
870,Massachusetts,04-29-2020,60265,3405,,56860.0,878.0157615958105,265618.0,5758.0,5.6500456317929135,3869.854651349141,9.554467767360824,0.07992388201712655,0.03366951391032898
920,Massachusetts,04-30-2020,62205,3562,0.0,58643.0,906.2801037097386,275647.0,5942.0,5.726227795193312,4015.9696446793396,9.552286793666104,0.0461086637298091,0.03219115572886418
970,Massachusetts,05-01-2020,64311,3716,0.0,60595.0,936.9629410767141,289636.0,6169.0,5.778171696910326,4219.77886211838,9.592449192206619,0.043234138124649074,0.03385579937304075
1020,Massachusetts,05-02-2020,66263,3846,0.0,62417.0,965.4021141727901,298994.0,6378.0,5.804144092479966,4356.117889696802,9.625281076920755,0.03498385360602799,0.030352505792166192
1070,Massachusetts,05-03-2020,68087,4004,0.0,64083.0,991.9764234592874,314646.0,6507.0,5.880711442712999,4584.155767411855,9.556890448984387,0.041081643265730626,0.027526674011137436
1120,Massachusetts,05-04-2020,69087,4090,0.0,64997.0,1006.5456719716216,324268.0,6622.0,5.920071793535688,4724.341076597531,9.585015994325994,0.02147852147852148,0.014687091515267231
1170,Massachusetts,05-05-2020,70271,4212,,66059.0,1023.7956622102248,333349.0,6831.0,5.993937755261773,4856.644422338038,9.720937513341207,0.02982885085574572,0.017137811744611865
1220,Massachusetts,05-06-2020,72025,4420,,67605.0,1049.3501241008591,339639.0,7080.0,6.136758070114543,4948.284995480619,9.829920166608817,0.04938271604938271,0.024960510025472813
1270,Massachusetts,05-07-2020,73721,4552,,69169.0,1074.0595695777774,351632.0,7237.0,6.174631380475034,5123.013992889041,9.816741498351892,0.02986425339366516,0.02354737938215897
1320,Massachusetts,05-08-2020,75333,4702,,70631.0,1097.5451981796598,366023.0,7434.0,6.241620538143972,5332.6800482300405,9.868185257456895,0.032952548330404216,0.021866225363193662
1370,Massachusetts,05-09-2020,76743,4840,,71903.0,1118.0878385820508,376537.0,7551.0,6.30676413483966,5485.86112708872,9.839333880614518,0.029349213100808166,0.018716896977420253
1420,Massachusetts,05-10-2020,77793,4979,,72814.0,1133.3855495200016,388389.0,7617.0,6.400318794750169,5658.5358604569055,9.791369403416759,0.02871900826446281,0.01368202963136703
1470,Massachusetts,05-11-2020,78462,5108,,73354.0,1143.1323767747529,394728.0,7732.0,6.510157783385588,5750.890326776589,9.854451836557825,0.025908817031532437,0.008599745478384945
1520,Massachusetts,05-12-2020,79332,5141,,74191.0,1155.8076229804835,401496.0,7842.0,6.480361014470831,5849.495000708065,9.885040084707306,0.006460454189506656,0.011088170069587826
1570,Massachusetts,05-13-2020,80497,5315,,75182.0,1172.7807974973528,410032.0,8032.0,6.602730536541735,5973.858106009348,9.978011602916881,0.033845555339428124,0.014685120758332074
1620,Massachusetts,05-14-2020,82182,5482,,76700.0,1192.3389804835776,410032.0,8032.0,6.670560463361808,5948.956424103117,9.773429704801536,0.031420507996237065,0.020932457110202866
1670,Massachusetts,05-15-2020,83421,5592,,77829.0,1210.3150335951975,435679.0,8314.0,6.703348077822131,6321.056370958417,9.96631543616116,0.02006566946369938,0.015076294078995401
1720,Massachusetts,05-16-2020,84933,5705,,79228.0,1232.2519119687,448089.0,8456.0,6.7170593291182445,6501.1070724234705,9.956083030153179,0.02020743919885551,0.018124932570935375
1770,Massachusetts,05-17-2020,86010,5797,,80213.0,1247.8775852545875,460826.0,8539.0,6.739913963492618,6685.902059092321,9.927915358679224,0.0161262050832603,0.012680583518773622
1820,Massachusetts,05-18-2020,87052,5862,,81190.0,1262.9954604299776,460826.0,8539.0,6.733906171024215,6685.902059092321,9.809079630565641,0.011212696222183889,0.012114870363911174
1870,Massachusetts,05-19-2020,87925,5938,,81987.0,1275.6613961575351,476940.0,8766.0,6.7534830821723055,6919.69230916548,9.969860676713107,0.012964858410098942,0.010028488719386114
1920,Massachusetts,05-20-2020,88970,6066,,82904.0,1290.8227968852534,489953.0,8897.0,6.818028548949084,7108.49164664854,10.0,0.02155607948804311,0.011885129371623542
1970,Massachusetts,05-21-2020,90084,6148,,83936.0,1306.9852853165246,501486.0,9040.0,6.82474135251543,7275.818378316266,10.035078371297901,0.013517969007583251,0.012521074519500956
2020,Massachusetts,05-22-2020,90889,6228,,84661.0,1318.6646418579726,511644.0,9162.0,6.8523143614738835,7423.195898500153,10.08042777453817,0.013012361743656473,0.00893610408063585
2070,Massachusetts,05-23-2020,91662,6304,,85358.0,1329.879725841251,520986.0,9260.0,6.8774410333616975,7558.734468450722,10.102332482380922,0.012202954399486191,0.008504879578386823
2120,Massachusetts,05-24-2020,92675,6372,,86303.0,1344.5768540108,532373.0,9308.0,6.875640679794983,7723.9429565718,10.043701106015646,0.010786802030456852,0.01105147171128712
2170,Massachusetts,05-25-2020,93271,6416,,86855.0,1353.2239304067045,540561.0,9339.0,6.878879823310567,7842.738697393385,10.012758520869292,0.006905210295040804,0.0064310763420555705
2220,Massachusetts,05-26-2020,93693,6473,,87220.0,1359.3465247675626,545481.0,9388.0,6.908733843510188,7914.120603211923,10.019958801618053,0.008884039900249377,0.004524450257850779
2270,Massachusetts,05-27-2020,94220,6547,,87673.0,1366.9925134599146,545481.0,9388.0,6.9486308639354695,7914.120603211923,9.963914243260453,0.011432102579947473,0.005624753183268761
2320,Massachusetts,05-28-2020,94895,6640,,88255.0,1376.7857627337994,562323.0,9618.0,6.997207439801887,8158.473053983437,10.135412824700985,0.014204979379868641,0.007164084058586287
2370,Massachusetts,05-29-2020,95512,6718,,88794.0,1385.7375179960022,571745.0,9725.0,7.033671161738839,8295.172305329428,10.181966663874695,0.011746987951807229,0.006501923178249644
2420,Massachusetts,05-30-2020,96301,6768,,89533.0,1397.1847382583655,582519.0,9789.0,7.027964403277223,8451.487072258074,10.165003478676232,0.007442691277165823,0.008260742105703996
2470,Massachusetts,05-31-2020,96965,6846,,90119.0,1406.81839384038,592853.0,9823.0,7.060279482287423,8601.418091511894,10.130459444129324,0.01152482269503546,0.006895047818818081
2520,Massachusetts,06-01-2020,100805,7035,,93770.0,1462.5311008207034,592853.0,9823.0,6.978820495015127,8601.418091511894,9.744556321611027,0.027607361963190184,0.03960191821791368
2570,Massachusetts,06-02-2020,101163,7085,,94078.0,1467.725150065223,609395.0,10063.0,7.003548728289987,8841.417987050569,9.947312752686257,0.007107320540156361,0.0035514111403204206
2620,Massachusetts,06-03-2020,101592,7152,,94440.0,1473.9493040481811,617761.0,10151.0,7.03992440349634,8962.79624397697,9.991928498306953,0.009456598447424136,0.0042406808813499
2670,Massachusetts,06-04-2020,102063,7201,,94862.0,1480.7828157637366,624935.0,10238.0,7.055446146007857,9066.880348111563,10.031059247719543,0.006851230425055929,0.004636191826128041
2720,Massachusetts,06-05-2020,102557,7235,,95322.0,1487.9500233804758,634769.0,10303.0,7.05461353198709,9209.557108643989,10.046120693858052,0.004721566449104291,0.004840147751878742
2770,Massachusetts,06-06-2020,103132,7289,,95843.0,1496.2924209100815,644639.0,10369.0,7.067641469185122,9352.756175804348,10.054105418298882,0.00746371803731859,0.005606638259699484
2820,Massachusetts,06-07-2020,103436,7316,,96120.0,1500.7030102126905,652490.0,10393.0,7.072972659422251,9466.662546247713,10.047759000734754,0.0037042118260392372,0.0029476787030213707
2870,Massachusetts,06-08-2020,103626,7353,,96273.0,1503.459628526821,657269.0,10425.0,7.095709570957098,9535.99875110682,10.060216547970589,0.005057408419901586,0.0018368846436443791
2920,Massachusetts,06-09-2020,103889,7408,,96481.0,1507.2753686142755,661992.0,10507.0,7.1306875607619675,9604.522478989129,10.113679022803185,0.007479940160478716,0.0025379730955551695
2970,Massachusetts,06-10-2020,104156,7454,,96702.0,1511.1491427715011,672090.0,10582.0,7.156572833058107,9751.029488126447,10.159760359460806,0.006209503239740821,0.0025700507272184737
3020,Massachusetts,06-11-2020,104667,7492,,97175.0,1518.5629951847684,683088.0,10654.0,7.157938987455454,9910.59416296228,10.178948474686386,0.005097933995170378,0.004906102384884212
3070,Massachusetts,06-12-2020,105059,7538,,97521.0,1524.2503340223432,693359.0,10726.0,7.175015943422268,10059.611145617202,10.209501327825317,0.006139882541377469,0.003745211002512731
3120,Massachusetts,06-13-2020,105395,7576,,97819.0,1529.125195883121,703596.0,10772.0,7.188196783528628,10208.134838679069,10.22059870012809,0.0050411249668347044,0.003198202914552775
3170,Massachusetts,06-14-2020,105603,7624,,97979.0,1532.142967511222,712710.0,10802.0,7.219491870496102,10340.36546665268,10.228876073596394,0.006335797254487857,0.0019735281559846293
3220,Massachusetts,06-15-2020,105690,7647,,98043.0,1533.4052085287449,717231.0,10817.0,7.235310814646608,10405.958474011546,10.234648500331158,0.003016789087093389,0.0008238402318115962
3270,Massachusetts,06-16-2020,105885,7664,,98221.0,1536.2343694300894,723647.0,10867.0,7.238041271190442,10499.045121924502,10.263021202247721,0.0022230940238001833,0.0018450184501845018
3320,Massachusetts,06-17-2020,106151,7733,,98418.0,1540.0936350698723,732046.0,10925.0,7.284905464856666,10620.902159926518,10.291942610055488,0.00900313152400835,0.0025121594182367663
3370,Massachusetts,06-18-2020,106422,7769,,98653.0,1544.0254432968688,741260.0,10985.0,7.3001822931348785,10754.583639644408,10.32211384864032,0.004655373076425708,0.002552966999839851
3420,Massachusetts,06-19-2020,106650,7799,,98851.0,1547.3333852738253,750807.0,11036.0,7.312705110173463,10893.096455670748,10.347866854195967,0.0038615008366585145,0.0021424141624852002
3470,Massachusetts,06-20-2020,106936,7827,,99109.0,1551.4828212624645,764937.0,11076.0,7.31933118874841,11098.101807137407,10.357597067404804,0.0035902038722913196,0.0026816690107829347
3520,Massachusetts,06-21-2020,107061,7857,,99204.0,1553.2963859428135,773320.0,11085.0,7.338806848432203,11219.726708860337,10.353910387536077,0.0038328861632809506,0.0011689234682426871
3570,Massachusetts,06-22-2020,107210,7873,,99337.0,1555.4581550417895,780063.0,11094.0,7.343531386997482,11317.557641977088,10.347915306407984,0.002036400661830215,0.001391729948347204
3620,Massachusetts,06-23-2020,107439,7889,,99550.0,1558.7806055361893,787642.0,11157.0,7.342771246940124,11427.517695676013,10.3844972496021,0.0020322621618188747,0.0021359947766066596
3670,Massachusetts,06-24-2020,107611,7937,,99674.0,1561.2760705363494,795072.0,11219.0,7.375640036799212,11535.31598027596,10.425514120303689,0.006084421346178223,0.0016009084224536713
3720,Massachusetts,06-25-2020,107837,7962,,99875.0,1564.5549954784203,805456.0,11252.0,7.383365635171603,11685.972425401918,10.434266531895359,0.0031498047121078492,0.002100157047142021
3770,Massachusetts,06-26-2020,108070,8012,,100058.0,1567.9354800425913,814085.0,11291.0,7.413713333950218,11811.166422415776,10.44785786989914,0.006279829188646069,0.0021606684162207776
3820,Massachusetts,06-27-2020,108443,8040,,100403.0,1573.3471570487534,826342.0,11310.0,7.4140331787206195,11988.997320712086,10.429442195439078,0.003494757863205192,0.003451466641991302
3870,Massachusetts,06-28-2020,108667,8059,,100608.0,1576.5970649559383,835794.0,11319.0,7.416234919524786,12126.13182758136,10.416225717099028,0.00236318407960199,0.0020656012836236548
3920,Massachusetts,06-29-2020,108768,8094,,100674.0,1578.0624252176606,842287.0,11345.0,7.44152691968226,12220.335631337412,10.430457487496325,0.004342970591884849,0.0009294450017024487
3970,Massachusetts,06-30-2020,108882,8053,,100829.0,1579.7163962061386,848141.0,11337.0,7.3960801601733985,12305.268492447518,10.412189342591065,-0.00506548060291574,0.0010481023830538393
4020,Massachusetts,07-01-2020,108882,8053,,100829.0,1579.7163962061386,858435.0,11352.0,7.3960801601733985,12454.619171003626,10.425965724362154,0.0,0.0
