ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
21,Michigan,04-12-2020,24244,1479,433.0,22765.0,304.2953668,79437.0,3636.0,6.100478469,997.0430232,14.99752516,,
71,Michigan,04-13-2020,25635,1602,447.0,24033.0,321.7543197729608,82644.0,3986.0,6.249268578115858,1037.2952605155676,15.549054027696506,0.08316430020283976,0.05737502062365946
121,Michigan,04-14-2020,27001,1768,452.0,25233.0,338.8994885,86226.0,3910.0,6.547905632999999,1082.254261,14.48094515,0.10362047440699126,0.05328652233274819
171,Michigan,04-15-2020,28059,1921,452.0,26138.0,352.17883590830917,89697.0,3918.0,6.846288178481058,1125.8200593202755,13.963434192237784,0.08653846153846154,0.03918373393578015
221,Michigan,04-16-2020,28809,1996,617.0,26813.0,361.5923619402858,94286.0,3809.0,6.928390433545072,1183.4182872679296,13.221562706098787,0.039042165538781884,0.026729391639046297
271,Michigan,04-17-2020,30023,2227,629.0,27796.0,376.82972274404534,98959.0,3674.0,7.4176464710388705,1242.0708301311654,12.23728474835959,0.11573146292585171,0.042139609149918426
321,Michigan,04-18-2020,30791,2308,3237.0,28483.0,386.46917340078943,99727.0,3634.0,7.49569679451788,1251.7102807879096,11.802149978889934,0.03637180062864841,0.025580388368917163
371,Michigan,04-19-2020,31424,2391,3237.0,29033.0,394.41418937177775,109661.0,3403.0,7.608834012219959,1376.3955709234506,10.829302443991851,0.03596187175043328,0.020557955246662984
421,Michigan,04-20-2020,32000,2468,3237.0,29532.0,401.64377736433573,113798.0,3374.0,7.7125,1428.3205805158334,10.54375,0.03220409870347135,0.018329938900203666
471,Michigan,04-21-2020,32667,2575,3237.0,30092.0,410.01553984877364,117226.0,3357.0,7.882572626809933,1471.346670165988,10.276425750757646,0.043354943273905995,0.02084375
521,Michigan,04-22-2020,33966,2813,3237.0,31153.0,426.31976693615707,118225.0,3305.0,8.281811222987692,1483.8854868405808,9.730318553847962,0.09242718446601941,0.03976490035815961
571,Michigan,04-23-2020,35296,2977,3237.0,32319.0,443.0130864328624,128321.0,3611.0,8.43438349954669,1610.604098599029,10.230621033544876,0.05830074653394952,0.03915680386268622
621,Michigan,04-24-2020,36641,3085,3237.0,33556.0,459.89467645020704,136296.0,3022.0,8.419530034660626,1710.7012587390466,8.247591495865287,0.03627813234800134,0.03810630099728014
671,Michigan,04-25-2020,37074,3155,8342.0,33919.0,465.32941881266817,144044.0,2889.0,8.510007013001024,1807.9492583333868,7.79252306198414,0.022690437601296597,0.011817363063235173
721,Michigan,04-26-2020,37778,3315,8342.0,34463.0,474.1655819146836,193879.0,2757.0,8.774948382656572,2433.4466847381264,7.297898247657367,0.05071315372424723,0.01898904892916869
771,Michigan,04-27-2020,38210,3407,8342.0,34803.0,479.5877729091021,157760.0,2667.0,8.91651400157027,1980.1038224061751,6.979848207275583,0.027752639517345398,0.011435226851606755
821,Michigan,04-28-2020,39262,3568,8342.0,35694.0,492.7918120899546,164805.0,,9.087667464724161,2068.528210266542,,0.04725565013208101,0.027532059670243393
871,Michigan,04-29-2020,40399,3670,8342.0,36729.0,507.0627175544312,172352.0,,9.084383276813783,2163.2533848843123,,0.02858744394618834,0.028959299067800925
921,Michigan,04-30-2020,41379,3789,8342.0,29248.0,519.363058236214,180267.0,,9.156818676140073,2262.597462941772,,0.03242506811989101,0.02425802618876705
971,Michigan,05-01-2020,42356,3866,8342.0,30148.0,531.6257448138689,190505.0,,9.127396354707717,2391.0983689622744,,0.02032198469253101,0.023611010415911453
1021,Michigan,05-02-2020,43207,4021,15659.0,23527.0,542.3069590181517,201709.0,,9.306362394982292,2531.7238965119627,,0.04009311950336265,0.0200916044952309
1071,Michigan,05-03-2020,43801,4053,15659.0,24089.0,549.7624716354771,212532.0,,9.253213396954408,2667.567352837407,,0.007958219348420791,0.01374777235170227
1121,Michigan,05-04-2020,43990,4139,15659.0,24192.0,552.1346801955352,222193.0,,9.408956581041146,2788.826119497308,,0.021218850234394276,0.004314969977854387
1171,Michigan,05-05-2020,44451,4183,15659.0,24609.0,557.9208608631901,222836.0,,9.410361971609188,2796.8966491487213,,0.01063058709833293,0.010479654466924301
1221,Michigan,05-06-2020,45179,4256,15659.0,25264.0,567.058256798229,233231.0,,9.420305894331435,2927.3681199519183,,0.017451589768109014,0.016377584306314818
1271,Michigan,05-07-2020,45745,4345,15659.0,25741.0,574.1623311103607,247062.0,,9.498305825773308,3100.9660913496086,,0.020911654135338346,0.012527944398946413
1321,Michigan,05-08-2020,46386,4399,15659.0,26328.0,582.2077580256898,260253.0,,9.483464838528867,3266.531187200015,,0.012428078250863062,0.014012460378183407
