ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
23,Mississippi,04-12-2020,2781,96,,2685.0,96.05534114,21413.0,548.0,3.451995685,739.6019489,19.70514204,,
73,Mississippi,04-13-2020,2942,98,,2844.0,101.61625804865007,30984.0,549.0,3.3310673011556764,1070.1829161724588,18.66077498300476,0.020833333333333332,0.05789284430061129
123,Mississippi,04-14-2020,3087,111,,2976.0,106.6245373,37878.0,596.0,3.595724004,1308.300687,19.30677033,0.1326530612244898,0.049286199864038066
173,Mississippi,04-15-2020,3360,122,,3238.0,116.0539180977105,38151.0,645.0,3.630952380952381,1317.7300682576645,19.196428571428573,0.0990990990990991,0.08843537414965986
223,Mississippi,04-16-2020,3624,129,,3495.0,125.17244023395918,38415.0,682.0,3.5596026490066226,1326.8485903939136,18.818984547461373,0.05737704918032787,0.07857142857142857
273,Mississippi,04-17-2020,3793,140,,3653.0,131.00967599542142,38584.0,736.0,3.691009754811495,1332.6858261553755,19.404165568151857,0.08527131782945736,0.04663355408388521
323,Mississippi,04-18-2020,3974,152,,3822.0,137.26139003580406,38765.0,782.0,3.824861600402617,1338.9375401957582,19.677906391545047,0.08571428571428572,0.04771948325863433
373,Mississippi,04-19-2020,4274,159,,4115.0,147.62334700881388,39065.0,808.0,3.720168460458587,1349.299497168768,18.905007019185774,0.046052631578947366,0.0754906894816306
423,Mississippi,04-20-2020,4512,169,,4343.0,155.84383287406837,51434.0,819.0,3.745567375886525,1776.5229831659647,18.15159574468085,0.06289308176100629,0.05568554047730463
473,Mississippi,04-21-2020,4716,183,,4533.0,162.8899636157151,52364.0,858.0,3.8804071246819336,1808.6450497822952,18.193384223918574,0.08284023668639054,0.04521276595744681
523,Mississippi,04-22-2020,4894,193,,4701.0,169.03805808636758,53835.0,910.0,3.9436044135676336,1859.4531788066204,18.59419697588884,0.0546448087431694,0.037743850720949955
573,Mississippi,04-23-2020,5153,201,,4952.0,177.9838809397328,55389.0,946.0,3.90064040364836,1913.1281159268115,18.35823791965845,0.04145077720207254,0.05292194523906825
