ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
24,Missouri,04-12-2020,4269,118,,4151.0,72.85659283,45200.0,988.0,2.764113375,771.4026695,23.14359335,,
74,Missouri,04-13-2020,4515,123,,4392.0,77.05493479258142,45428.0,988.0,2.7242524916943522,775.2938156716257,21.882613510520486,0.0423728813559322,0.05762473647224174
124,Missouri,04-14-2020,4746,149,,4597.0,80.99728029,47978.0,1041.0,3.1394858830000003,818.8132141,21.93426043,0.21138211382113822,0.05116279069767442
174,Missouri,04-15-2020,4791,153,,4638.0,81.76526967691198,49012.0,1024.0,3.1934877896055105,836.4599034449617,21.3734084742225,0.026845637583892617,0.009481668773704172
224,Missouri,04-16-2020,5174,169,,5005.0,88.30171265045765,50648.0,1043.0,3.2663316582914574,864.3805841361383,20.158484731349045,0.10457516339869281,0.07994155708620329
274,Missouri,04-17-2020,5371,184,,5187.0,91.6637995063023,51717.0,1043.0,3.4258052504189163,882.6245985975488,19.41910258797245,0.08875739644970414,0.03807499033629687
324,Missouri,04-18-2020,5579,197,,5382.0,95.2136171002905,53759.0,875.0,3.5310987632192146,917.474250169299,15.683814303638645,0.07065217391304347,0.03872649413517036
374,Missouri,04-19-2020,5743,199,,5544.0,98.01251174170434,53909.0,875.0,3.4650879331359916,920.0342147803482,15.235939404492425,0.01015228426395939,0.02939594909481986
424,Missouri,04-20-2020,5890,200,,5690.0,100.52127706053257,56013.0,873.0,3.3955857385398978,955.9419850579984,14.821731748726654,0.005025125628140704,0.025596378199547274
474,Missouri,04-21-2020,6066,224,,5842.0,103.52496887083036,57120.0,1001.0,3.692713484998352,974.8345238875418,16.501813386086386,0.12,0.029881154499151102
524,Missouri,04-22-2020,6277,238,,6039.0,107.12598575703957,58156.0,1001.0,3.7916202007328335,992.5153461345217,15.947108491317508,0.0625,0.03478404220243983
574,Missouri,04-23-2020,6506,252,,6254.0,111.03419839657472,59450.0,884.0,3.873347679065478,1014.5993075125062,13.58745773132493,0.058823529411764705,0.03648239604906803
