ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
25,Montana,04-12-2020,387,6,169.0,381.0,44.68889256,8913.0,47.0,1.5503875969999998,1029.230231,12.14470284,,
75,Montana,04-13-2020,394,7,171.0,387.0,45.4972187804205,9098.0,47.0,1.7766497461928934,1050.5931382341766,11.928934010152284,0.16666666666666666,0.01808785529715762
125,Montana,04-14-2020,399,7,197.0,392.0,46.07459465,9234.0,50.0,1.754385965,1066.297762,12.53132832,0.0,0.012690355329949238
175,Montana,04-15-2020,404,7,209.0,397.0,46.651970526116436,9583.0,51.0,1.7326732673267329,1106.5985979004304,12.623762376237625,0.0,0.012531328320802004
225,Montana,04-16-2020,415,7,218.0,408.0,47.922197446381986,9936.0,52.0,1.6867469879518069,1147.3613345234974,12.530120481927712,0.0,0.027227722772277228
275,Montana,04-17-2020,422,8,233.0,414.0,48.73052366836916,10244.0,54.0,1.8957345971563984,1182.9276882909328,12.796208530805687,0.14285714285714285,0.016867469879518072
325,Montana,04-18-2020,426,10,234.0,416.0,49.192424366647536,10569.0,55.0,2.347417840375587,1220.4571200260511,12.910798122065728,0.25,0.009478672985781991
375,Montana,04-19-2020,433,10,243.0,423.0,50.0007505886347,10898.0,55.0,2.3094688221709005,1258.448452459448,12.702078521939955,0.0,0.01643192488262911
425,Montana,04-20-2020,433,10,243.0,423.0,50.0007505886347,11051.0,57.0,2.3094688221709005,1276.116154168596,13.163972286374134,0.0,0.0
475,Montana,04-21-2020,437,12,273.0,425.0,50.462651286913086,11241.0,59.0,2.7459954233409607,1298.056437336819,13.501144164759724,0.2,0.009237875288683603
525,Montana,04-22-2020,439,14,296.0,425.0,50.69360163605227,11583.0,59.0,3.1890660592255125,1337.5489470396208,13.439635535307515,0.16666666666666666,0.004576659038901602
575,Montana,04-23-2020,442,14,306.0,428.0,51.04002715976107,11875.0,59.0,3.1674208144796383,1371.2676980139427,13.348416289592759,0.0,0.00683371298405467
625,Montana,04-24-2020,444,14,325.0,430.0,51.27097750890025,12127.0,59.0,3.1531531531531534,1400.3674420054806,13.288288288288289,0.0,0.004524886877828055
675,Montana,04-25-2020,445,14,339.0,431.0,51.38645268346984,12497.0,61.0,3.1460674157303368,1443.0932565962307,13.707865168539325,0.0,0.0022522522522522522
