ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
30,New Mexico,04-12-2020,1245,26,235.0,1219.0,74.66119111,28692.0,78.0,2.088353414,1720.625619,6.2650602410000005,,
80,New Mexico,04-13-2020,1262,26,295.0,1236.0,75.68066119231223,30515.0,80.0,2.060221870047544,1829.9487926175973,6.3391442155309035,0.0,0.013654618473895583
130,New Mexico,04-14-2020,1345,31,304.0,1314.0,80.65807393,31970.0,181.0,2.304832714,1917.203438,13.45724907,0.19230769230769232,0.06576862123613313
180,New Mexico,04-15-2020,1484,36,340.0,1448.0,88.99374105340044,32850.0,181.0,2.425876010781672,1969.976006471836,12.196765498652296,0.16129032258064516,0.1033457249070632
230,New Mexico,04-16-2020,1484,36,353.0,1448.0,88.99374105340044,33394.0,215.0,2.425876010781672,2002.5990490143224,14.487870619946092,0.0,0.0
280,New Mexico,04-17-2020,1597,44,353.0,1553.0,95.77021864035076,34488.0,230.0,2.7551659361302443,2068.2049470685142,14.402003757044456,0.2222222222222222,0.0761455525606469
330,New Mexico,04-18-2020,1798,53,382.0,1745.0,107.82395310917386,35613.0,242.0,2.947719688542825,2135.6698787970013,13.459399332591767,0.20454545454545456,0.1258609893550407
380,New Mexico,04-19-2020,1845,55,465.0,1790.0,110.64248803471956,36632.0,258.0,2.9810298102981028,2196.77811473596,13.983739837398375,0.03773584905660377,0.02614015572858732
430,New Mexico,04-20-2020,1971,58,487.0,1913.0,118.19856038831017,37042.0,274.0,2.942668696093353,2221.365334299231,13.901572805682395,0.05454545454545454,0.06829268292682927
480,New Mexico,04-21-2020,1971,58,501.0,1913.0,118.19856038831017,38755.0,291.0,2.942668696093353,2324.091937011141,14.764079147640786,0.0,0.0
530,New Mexico,04-22-2020,2210,71,529.0,2139.0,132.53111032885107,40877.0,306.0,3.2126696832579187,2451.34579045812,13.846153846153848,0.22413793103448276,0.12125824454591577
580,New Mexico,04-23-2020,2379,78,547.0,2301.0,142.66584229517497,41232.0,331.0,3.278688524590164,2472.634724470221,13.913408995376209,0.09859154929577464,0.07647058823529412
630,New Mexico,04-24-2020,2521,84,614.0,2437.0,151.18141590001517,51510.0,412.0,3.332011106703689,3088.9943407416827,16.342721142403807,0.07692307692307693,0.059688944934846576
680,New Mexico,04-25-2020,2660,93,614.0,2567.0,159.51708302024608,51510.0,412.0,3.4962406015037595,3088.9943407416827,15.48872180451128,0.10714285714285714,0.05513685045616819
730,New Mexico,04-26-2020,2726,99,614.0,2627.0,163.4750256816507,53735.0,412.0,3.6316947909024213,3222.4249834935804,15.11371973587674,0.06451612903225806,0.02481203007518797
780,New Mexico,04-27-2020,2825,99,650.0,2726.0,169.4119396737576,56615.0,412.0,3.504424778761062,3395.1352087185082,14.584070796460175,0.0,0.03631694790902421
830,New Mexico,04-28-2020,2974,105,666.0,2869.0,178.34729507601952,58803.0,481.0,3.5305985205110963,3526.347004826891,16.17350369872226,0.06060606060606061,0.05274336283185841
880,New Mexico,04-29-2020,3213,112,705.0,3101.0,192.6798450165604,61745.0,509.0,3.4858387799564268,3702.7752974004106,15.841892312480548,0.06666666666666667,0.08036314727639543
930,New Mexico,04-30-2020,3411,123,734.0,2554.0,204.55367300077415,65085.0,536.0,3.605980650835532,3903.0711835987654,15.713866901201994,0.09821428571428571,0.06162464985994398
980,New Mexico,05-01-2020,3513,131,760.0,2622.0,210.67049347749042,67869.0,536.0,3.7290065471107314,4070.024401316197,15.257614574437802,0.06504065040650407,0.02990325417766051
1030,New Mexico,05-02-2020,3732,138,785.0,2809.0,223.8036668539693,71118.0,587.0,3.697749196141479,4264.863124148068,15.728831725616296,0.05343511450381679,0.0623398804440649
1080,New Mexico,05-03-2020,3850,151,812.0,2887.0,230.87998858193512,74944.0,587.0,3.9220779220779214,4494.30386085313,15.246753246753249,0.09420289855072464,0.03161843515541265
1130,New Mexico,05-04-2020,4031,156,832.0,3043.0,241.7343464866962,77977.0,587.0,3.870007442322005,4676.189316793131,14.562143388737287,0.033112582781456956,0.04701298701298701
1180,New Mexico,05-05-2020,4138,162,842.0,3134.0,248.1510111044279,81720.0,667.0,3.9149347510874817,4900.652640757336,16.11889801836636,0.038461538461538464,0.02654428181592657
1230,New Mexico,05-06-2020,4291,169,964.0,3158.0,257.3262418195023,83251.0,687.0,3.938475879748311,4992.4649167362795,16.01025402004195,0.043209876543209874,0.036974383760270665
1280,New Mexico,05-07-2020,4493,172,1073.0,3248.0,269.4399451165284,85684.0,687.0,3.8281771644780767,5138.369075754424,15.290451813932785,0.01775147928994083,0.0470752738289443
1330,New Mexico,05-08-2020,4673,181,1125.0,3367.0,280.23433419308645,89032.0,760.0,3.8733147870746834,5339.1447125784025,16.263642199871605,0.05232558139534884,0.040062319163142665
1380,New Mexico,05-09-2020,4778,191,1189.0,3398.0,286.53106115441193,93262.0,789.0,3.997488488907493,5592.812855877513,16.513185433235662,0.055248618784530384,0.02246950567087524
1430,New Mexico,05-10-2020,4863,200,1268.0,3395.0,291.62841155167536,97053.0,789.0,4.112687641373638,5820.154683595468,16.224552745219,0.04712041884816754,0.017789870238593554
1480,New Mexico,05-11-2020,5069,208,1285.0,3576.0,303.98199016151403,102498.0,789.0,4.10337344643914,6146.684953161346,15.565200236733086,0.04,0.04236068270614847
1530,New Mexico,05-12-2020,5212,219,1300.0,3693.0,312.55753259455736,106721.0,886.0,4.2018419033000765,6399.933314663038,16.999232540291633,0.052884615384615384,0.028210692444269086
1580,New Mexico,05-13-2020,5364,231,1434.0,3699.0,321.67279448142847,110289.0,886.0,4.306487695749442,6613.9020936917,16.517524235645038,0.0547945205479452,0.02916346891788181
1630,New Mexico,05-14-2020,5503,242,1515.0,3746.0,262.44390935073864,115011.0,886.0,4.397601308377249,5484.9966306265305,16.10030892240596,0.047619047619047616,0.025913497390007457
