ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
32,North Carolina,04-12-2020,4570,89,,4481.0,46.07841902,62139.0,331.0,1.947483589,626.5354222,7.242888402999999,,
82,North Carolina,04-13-2020,4886,94,,4792.0,49.264585407660405,63388.0,313.0,1.9238641015145312,639.1288456448584,6.406058125255831,0.056179775280898875,0.06914660831509847
132,North Carolina,04-14-2020,5113,112,,5001.0,51.55338215,65039.0,418.0,2.190494817,655.7755568,8.175239585,0.19148936170212766,0.04645927138763815
182,North Carolina,04-15-2020,5340,130,,5210.0,53.842178894168356,67827.0,431.0,2.4344569288389515,683.8864172012654,8.071161048689138,0.16071428571428573,0.04439663602581655
232,North Carolina,04-16-2020,5639,150,,5489.0,56.85693760004033,70917.0,452.0,2.6600461074658632,715.0422847636212,8.015605603830467,0.15384615384615385,0.05599250936329588
282,North Carolina,04-17-2020,6045,177,,5868.0,60.950556444802935,72981.0,429.0,2.9280397022332507,735.8531943586706,7.096774193548387,0.18,0.07199858130874269
332,North Carolina,04-18-2020,6328,187,,6141.0,63.803990270093145,76211.0,388.0,2.9551201011378003,768.420654626117,6.131479140328697,0.05649717514124294,0.04681555004135649
382,North Carolina,04-19-2020,6601,200,,6401.0,66.55659604501972,78772.0,465.0,3.0298439630359035,794.2427183242378,7.044387214058478,0.06951871657754011,0.04314159292035398
432,North Carolina,04-20-2020,6895,218,,6677.0,69.52094072570989,79484.0,373.0,3.161711385061639,801.4216755101268,5.409717186366931,0.09,0.044538706256627786
482,North Carolina,04-21-2020,7134,245,,6889.0,71.9307311294002,83331.0,427.0,3.4342584805158403,840.2102264850081,5.985421923184749,0.12385321100917432,0.0346627991298042
532,North Carolina,04-22-2020,7495,265,,7230.0,75.57062374752655,90336.0,434.0,3.535690460306871,910.8402757647176,5.790527018012008,0.08163265306122448,0.050602747406784415
582,North Carolina,04-23-2020,7820,281,,7539.0,78.84753538434394,96185.0,486.0,3.5933503836317136,969.8146024223939,6.2148337595907925,0.06037735849056604,0.04336224149432955
632,North Carolina,04-24-2020,8290,294,,7996.0,83.58645375143365,100584.0,477.0,3.5464414957780463,1014.1688617773464,5.753920386007238,0.046263345195729534,0.06010230179028133
682,North Carolina,04-25-2020,8768,305,,8463.0,88.40603455881426,105265.0,456.0,3.478558394160584,1061.366472152553,5.200729927007299,0.03741496598639456,0.05765983112183353
732,North Carolina,04-26-2020,8997,324,,8673.0,90.71499691214096,107894.0,451.0,3.601200400133378,1087.8741665931461,5.012782038457264,0.06229508196721312,0.02611770072992701
782,North Carolina,04-27-2020,9321,340,,8981.0,95.06068588281259,109920.0,473.0,3.6062791684344506,1108.3019295968138,5.016970725498515,0.04938271604938271,0.03601200400133378
832,North Carolina,04-28-2020,9755,363,,9392.0,98.35776312970268,112752.0,,3.7211686314710404,1136.8564334597886,,0.06764705882352941,0.04656152773307585
882,North Carolina,04-29-2020,10180,382,,9798.0,102.64295527015615,118440.0,,3.7524557956777995,1194.2074285066105,,0.05234159779614325,0.04356740133264992
932,North Carolina,04-30-2020,10754,406,0.0,10348.0,108.43048536102744,128036.0,,3.775339408592152,1290.9620256355315,,0.06282722513089005,0.05638506876227898
982,North Carolina,05-01-2020,11070,419,0.0,10651.0,111.61665175251757,133832.0,,3.7850045167118336,1349.4019636262808,,0.03201970443349754,0.029384415101357635
1032,North Carolina,05-02-2020,11588,431,0.0,11157.0,116.8395447613526,139475.0,,3.719364860200207,1406.2992324464667,,0.028639618138424822,0.046793134598012646
1082,North Carolina,05-03-2020,11770,434,0.0,11336.0,118.67461527797032,143835.0,,3.687340696686491,1450.260262405001,,0.0069605568445475635,0.01570590265792199
1132,North Carolina,05-04-2020,11971,442,0.0,11529.0,120.70125909027892,146439.0,,3.692256286024559,1476.5158867196853,,0.018433179723502304,0.017077315208156328
1182,North Carolina,05-05-2020,12510,472,,12038.0,126.13589100487756,151800.0,,3.772981614708233,1530.5698045196173,,0.06787330316742081,0.04502547823907777
1232,North Carolina,05-06-2020,13053,492,,12561.0,131.61085413962164,164482.0,,3.7692484486324975,1658.4399379907488,,0.0423728813559322,0.0434052757793765
1282,North Carolina,05-07-2020,13540,513,,13027.0,136.5211801923295,171328.0,,3.78877400295421,1727.4668212696772,,0.042682926829268296,0.03730943078219567
1332,North Carolina,05-08-2020,14006,530,,13476.0,141.21976733927374,178613.0,,3.7840925317720977,1800.920055959568,,0.03313840155945419,0.0344165435745938
1382,North Carolina,05-09-2020,14478,551,,13927.0,145.97885131643622,186362.0,,3.8057742782152233,1879.0517121863306,,0.03962264150943396,0.033699842924460946
1432,North Carolina,05-10-2020,14938,564,,14374.0,150.61694163316238,192135.0,,3.7756058374615074,1937.259745661243,,0.023593466424682397,0.03177234424644288
1482,North Carolina,05-11-2020,15274,575,9115.0,5584.0,154.0047641253797,195865.0,,3.7645672384444153,1974.8686084468695,,0.01950354609929078,0.022492970946579195
1532,North Carolina,05-12-2020,15622,600,9115.0,5907.0,157.51358027803334,202244.0,,3.840737421584944,2039.1868217738167,,0.043478260869565216,0.022783815634411418
1582,North Carolina,05-13-2020,16352,625,9115.0,6612.0,164.87402795457697,210457.0,,3.8221624266144816,2121.9968995374506,,0.041666666666666664,0.04672897196261682
1632,North Carolina,05-14-2020,16968,641,9115.0,7212.0,161.78360127550462,219268.0,,3.7776991984912778,2090.6392435453413,,0.0256,0.03767123287671233
1682,North Carolina,05-15-2020,17494,667,9115.0,7712.0,166.7988166380056,231547.0,,3.812735795129759,2207.714964906841,,0.0405616224648986,0.030999528524281
1732,North Carolina,05-16-2020,18130,676,9115.0,8339.0,172.86284129684697,238586.0,,3.7286265857694434,2274.829225242666,,0.013493253373313344,0.036355321824625586
1782,North Carolina,05-17-2020,18673,686,9115.0,8872.0,178.0401453687823,248944.0,,3.67375354790339,2373.588922438073,,0.014792899408284023,0.029950358521787093
1832,North Carolina,05-18-2020,19207,693,11637.0,6877.0,183.13163777101715,255755.0,,3.60805956161816,2438.529287141484,,0.01020408163265306,0.028597440154233385
1882,North Carolina,05-19-2020,19239,693,11637.0,6909.0,183.4367459299525,265008.0,,3.602058319039452,2526.7532182236528,,0.0,0.001666059249232051
1932,North Carolina,05-20-2020,20262,726,11637.0,7899.0,193.19067238591907,277603.0,,3.5830618892508137,2646.8418826546394,,0.047619047619047616,0.05317324185248713
1982,North Carolina,05-21-2020,20512,728,11637.0,8147.0,195.57432987760205,290645.0,,3.549141965678627,2771.192526680755,,0.0027548209366391185,0.012338367387227323
2032,North Carolina,05-22-2020,22110,775,11637.0,9698.0,210.81066856443942,303224.0,,3.5052012663952965,2891.128637032274,,0.06456043956043957,0.07790561622464899
2082,North Carolina,05-23-2020,22864,778,11637.0,10449.0,217.9997795593552,329582.0,,3.4027291812456264,3142.44241369539,,0.003870967741935484,0.03410221619176843
2132,North Carolina,05-24-2020,23365,784,11637.0,10944.0,222.7766291726878,336656.0,,3.355446180184036,3209.8903860800506,,0.007712082262210797,0.02191217634709587
2182,North Carolina,05-25-2020,24057,790,14954.0,8313.0,229.37459310966614,344690.0,,3.283867481398345,3286.491603232773,,0.007653061224489796,0.029616948427134603
2232,North Carolina,05-26-2020,24455,801,14954.0,8700.0,233.16937583642544,352331.0,,3.275403802903292,3359.3457108085718,,0.013924050632911392,0.01654404123539926
2282,North Carolina,05-27-2020,24916,844,14954.0,9118.0,237.56484025108875,364156.0,,3.3873816021833365,3472.092710165174,,0.05368289637952559,0.01885095072582294
2332,North Carolina,05-28-2020,25800,876,14954.0,9970.0,245.99345314167962,375192.0,,3.3953488372093017,3577.316886478026,,0.037914691943127965,0.035479210146090866
2382,North Carolina,05-29-2020,26885,919,14954.0,11012.0,256.3385266555836,391231.0,,3.418262971917426,3730.2428165144374,,0.04908675799086758,0.042054263565891474
2432,North Carolina,05-30-2020,27794,929,14954.0,11911.0,265.0055052953428,404157.0,,3.3424480103619487,3853.487443464412,,0.01088139281828074,0.03381067509763809
