ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
33,North Dakota,04-12-2020,308,7,121.0,301.0,50.79004911,10350.0,39.0,2.272727273,1706.7435329999996,12.66233766,,
83,North Dakota,04-13-2020,331,8,127.0,323.0,54.58281251545964,10781.0,40.0,2.416918429003021,1777.8166215382792,12.084592145015106,0.14285714285714285,0.07467532467532467
133,North Dakota,04-14-2020,341,8,138.0,333.0,56.23184008,10916.0,42.0,2.346041056,1800.078494,12.31671554,0.0,0.030211480362537766
183,North Dakota,04-15-2020,365,9,142.0,356.0,60.189506248165465,11317.0,44.0,2.4657534246575343,1866.2044992068177,12.054794520547945,0.125,0.07038123167155426
233,North Dakota,04-16-2020,393,9,163.0,384.0,64.80678343980554,11704.0,45.0,2.2900763358778624,1930.0218661055576,11.450381679389313,0.0,0.07671232876712329
283,North Dakota,04-17-2020,393,9,172.0,384.0,64.80678343980554,12342.0,47.0,2.2900763358778624,2035.2298249722141,11.959287531806615,0.0,0.0
333,North Dakota,04-18-2020,528,9,183.0,519.0,87.06865561378456,12963.0,47.0,1.7045454545454546,2137.6344369725175,8.901515151515152,0.0,0.3435114503816794
383,North Dakota,04-19-2020,585,9,189.0,576.0,96.46811275390905,13630.0,51.0,1.5384615384615383,2247.624575787658,8.717948717948719,0.0,0.10795454545454546
433,North Dakota,04-20-2020,627,9,189.0,618.0,103.39402854136915,14747.0,53.0,1.4354066985645932,2431.8209551827285,8.452950558213718,0.0,0.07179487179487179
483,North Dakota,04-21-2020,644,13,214.0,631.0,106.19737540772205,14987.0,54.0,2.018633540372671,2471.397616825358,8.385093167701863,0.4444444444444444,0.02711323763955343
533,North Dakota,04-22-2020,679,14,229.0,665.0,111.96897189727218,15589.0,62.0,2.061855670103093,2570.66907644562,9.131075110456553,0.07692307692307693,0.05434782608695652
583,North Dakota,04-23-2020,709,15,269.0,694.0,116.91605460260084,16330.0,65.0,2.115655853314528,2692.862019267238,9.167842031029616,0.07142857142857142,0.044182621502209134
633,North Dakota,04-24-2020,748,15,285.0,733.0,123.34726211952812,17449.0,67.0,2.005347593582888,2877.3882041759966,8.957219251336898,0.0,0.05500705218617771
683,North Dakota,04-25-2020,803,16,310.0,787.0,132.416913745964,19350.0,70.0,1.99252801992528,3190.8683449369905,8.7173100871731,0.06666666666666667,0.07352941176470588
733,North Dakota,04-26-2020,867,17,326.0,850.0,142.9706901839985,20717.0,71.0,1.96078431372549,3416.2904135431336,8.189158016147635,0.0625,0.07970112079701121
783,North Dakota,04-27-2020,942,19,350.0,923.0,155.3383969473202,22434.0,77.0,2.0169851380042463,3699.428447044778,8.174097664543524,0.11764705882352941,0.08650519031141868
833,North Dakota,04-28-2020,991,19,409.0,972.0,163.4186320326903,23723.0,79.0,1.917255297679112,3911.9881006170654,7.9717457114026224,0.0,0.05201698513800425
883,North Dakota,04-29-2020,1033,19,437.0,1014.0,170.34454782015047,25536.0,82.0,1.8393030009680544,4210.956798775762,7.938044530493706,0.0,0.04238143289606458
933,North Dakota,04-30-2020,1067,19,458.0,590.0,175.95124155285632,27460.0,85.0,1.7806935332708531,4528.229702944173,7.96626054358013,0.0,0.03291384317521781
983,North Dakota,05-01-2020,1107,23,482.0,602.0,182.54735182662785,29525.0,86.0,2.0776874435411017,4868.753895827629,7.768744354110208,0.21052631578947367,0.03748828491096532
1033,North Dakota,05-02-2020,1153,24,510.0,619.0,190.13287864146514,31547.0,90.0,2.081526452732004,5202.187270166783,7.805724197745013,0.043478260869565216,0.04155374887082204
1083,North Dakota,05-03-2020,1191,25,517.0,649.0,196.39918340154807,33353.0,90.0,2.0990764063811924,5500.001649027568,7.5566750629722925,0.041666666666666664,0.03295750216825672
1133,North Dakota,05-04-2020,1225,25,540.0,660.0,202.00587713425392,34754.0,94.0,2.0408163265306123,5731.030411366417,7.673469387755103,0.0,0.028547439126784216
1183,North Dakota,05-05-2020,1266,25,559.0,682.0,208.76689016486978,36421.0,95.0,1.9747235387045807,6005.923307025847,7.503949447077409,0.0,0.03346938775510204
1233,North Dakota,05-06-2020,1323,31,582.0,710.0,218.16634730499425,38632.0,97.0,2.3431594860166287,6370.523302408571,7.331821617535902,0.24,0.045023696682464455
1283,North Dakota,05-07-2020,1371,31,601.0,739.0,226.08167963352008,40867.0,102.0,2.2611232676878186,6739.0809639555555,7.439824945295402,0.0,0.036281179138321996
