ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
34,Ohio,04-12-2020,6604,253,,6351.0,59.10222609,63243.0,1948.0,3.831011508,565.9906245,29.49727438,,
84,Ohio,04-13-2020,6975,274,,6701.0,62.422475312917825,65112.0,2033.0,3.92831541218638,582.7171630931477,29.14695340501792,0.08300395256916997,0.056178073894609326
134,Ohio,04-14-2020,7285,324,,6961.0,65.19680755,67874.0,2156.0,4.447494852,607.4355684,29.59505834,0.18248175182481752,0.044444444444444446
184,Ohio,04-15-2020,7794,362,,7432.0,69.75208209159592,71552.0,2237.0,4.6445984090325885,640.3516779340354,28.701565306646145,0.11728395061728394,0.06986959505833905
234,Ohio,04-16-2020,8414,407,,8007.0,75.30074656385528,74840.0,2331.0,4.837176135013073,669.7774985546624,27.703826955074874,0.12430939226519337,0.07954837054144213
284,Ohio,04-17-2020,9107,418,,8689.0,81.50272153042906,77677.0,2424.0,4.589875919622268,695.1671132446621,26.616888108048755,0.02702702702702703,0.08236272878535773
334,Ohio,04-18-2020,10222,451,,9771.0,91.48136812166969,78758.0,2519.0,4.41205243592252,704.8414782358111,24.642927020152612,0.07894736842105263,0.12243329307126387
384,Ohio,04-19-2020,11602,471,,11131.0,103.83162130185987,86989.0,2565.0,4.059644888812274,778.5044738344673,22.108257197034998,0.04434589800443459,0.1350029348464097
434,Ohio,04-20-2020,12919,509,,12410.0,115.6180585759979,90436.0,2653.0,3.9399334313801377,809.3532584084641,20.53564517377506,0.08067940552016985,0.11351491122220307
484,Ohio,04-21-2020,13725,557,,13168.0,122.83132238993507,94239.0,2779.0,4.0582877959927135,843.3880503245969,20.247723132969035,0.09430255402750491,0.06238872977784658
534,Ohio,04-22-2020,14117,610,,13507.0,126.33951024981519,97998.0,2882.0,4.3210313806049445,877.0290660523758,20.415102358858114,0.09515260323159784,0.028561020036429872
584,Ohio,04-23-2020,14694,656,,14038.0,131.50334799254688,102325.0,2960.0,4.464407241050768,915.7533743934504,20.144276575472983,0.07540983606557378,0.04087270666572218
634,Ohio,04-24-2020,15169,690,,14479.0,135.75434093500365,107109.0,3053.0,4.548750741644144,958.5675854181096,20.126573933680532,0.051829268292682924,0.032326119504559686
684,Ohio,04-25-2020,15587,711,,14876.0,139.4952147243656,111379.0,3115.0,4.5614935523192415,996.7817746060896,19.984602553409893,0.030434782608695653,0.02755620014503263
734,Ohio,04-26-2020,15972,728,,15244.0,142.94075637246215,115783.0,3178.0,4.557976458802905,1036.1951912767836,19.89732031054345,0.02390998593530239,0.024700070571630206
784,Ohio,04-27-2020,16325,753,,15572.0,146.0999153381195,119391.0,3232.0,4.612557427258807,1068.4848387218026,19.797856049004594,0.034340659340659344,0.022101177059854746
834,Ohio,04-28-2020,16769,799,,15970.0,150.0734750569633,122706.0,3340.0,4.764744468960582,1098.1522947307376,19.917705289522328,0.06108897742363878,0.027197549770290964
884,Ohio,04-29-2020,17303,937,,16366.0,154.85248607016734,128908.0,3421.0,5.415245911113678,1153.6568383709835,19.771137952956128,0.17271589486858574,0.031844474923966845
934,Ohio,04-30-2020,18027,976,0.0,17051.0,161.3318942603541,133890.0,3533.0,5.414101070616296,1198.2430422432355,19.59838020746658,0.0416221985058698,0.041842455065595564
984,Ohio,05-01-2020,18743,1003,0.0,17740.0,167.73970677993103,140506.0,3634.0,5.351331163634423,1257.4526618375387,19.388571733447154,0.027663934426229508,0.039718200477062184
1034,Ohio,05-02-2020,19335,1022,0.0,18313.0,173.03778640505607,145819.0,3712.0,5.285751228342384,1305.0011365812707,19.198344970261182,0.018943170488534396,0.03158512511337566
1084,Ohio,05-03-2020,19914,1039,0.0,18875.0,178.21952306544026,150166.0,3769.0,5.217434970372604,1343.9044340988698,18.926383448829966,0.016634050880626222,0.02994569433669511
1134,Ohio,05-04-2020,20474,1057,0.0,19417.0,183.23122000812612,155155.0,3809.0,5.162645306242064,1388.5532841829056,18.60408322750806,0.017324350336862367,0.028120919955809984
1184,Ohio,05-05-2020,20969,1135,,19834.0,187.6612021271074,160735.0,3956.0,5.412752157947447,1438.4912644332394,18.86594496637894,0.07379375591296121,0.0241770049819283
1234,Ohio,05-06-2020,21576,1225,,20351.0,193.09352363462585,168929.0,4052.0,5.677604746014088,1511.8231300553257,18.780126065999266,0.07929515418502203,0.028947493919595592
1284,Ohio,05-07-2020,22131,1271,,20860.0,198.06047328318058,176059.0,4140.0,5.743075324205865,1575.6327714863082,18.706791378609196,0.037551020408163265,0.025723025583982203
1334,Ohio,05-08-2020,23016,1306,,21710.0,205.9807443443895,184316.0,4218.0,5.674313521028849,1649.5284530144463,18.326381647549532,0.02753737214791503,0.03998915548325878
1384,Ohio,05-09-2020,23697,1331,,22366.0,212.07532580504852,196670.0,4300.0,5.616744735620543,1760.090067353627,18.14575684685825,0.01914241960183767,0.029588112617309696
1434,Ohio,05-10-2020,24081,1341,,22740.0,215.51191799431888,204862.0,4351.0,5.568705618537437,1833.4040340580607,18.06818653710394,0.007513148009015778,0.016204582858589694
1484,Ohio,05-11-2020,24777,1357,,23420.0,221.74074133737133,210530.0,4413.0,5.476853533518988,1884.1295666851026,17.810872987044434,0.011931394481730051,0.028902454217017565
1534,Ohio,05-12-2020,25250,1436,,23814.0,225.97383536217566,217731.0,4539.0,5.687128712871287,1948.5746196927469,17.976237623762373,0.05821665438467207,0.019090285345279897
1584,Ohio,05-13-2020,25721,1483,,24238.0,230.18903046932755,225854.0,4618.0,5.7657167295206255,2021.271073738171,17.954200847556468,0.032729805013927575,0.018653465346534653
1634,Ohio,05-14-2020,26357,1534,,24823.0,225.4835701636568,233352.0,4718.0,5.820085745722199,1996.3213592149955,17.900368023674925,0.03438975050573163,0.02472687687103923
1684,Ohio,05-15-2020,26954,1581,,25373.0,230.5908923698146,246182.0,4791.0,5.8655487126215045,2106.081734265256,17.774727313200266,0.030638852672750978,0.02265052927116136
1734,Ohio,05-16-2020,27474,1610,,25864.0,235.03948122609955,246702.0,4870.0,5.860085899395792,2110.5303231215407,17.72584989444566,0.018342820999367487,0.019292127328040365
1784,Ohio,05-17-2020,27923,1625,,26298.0,238.88066660393017,264462.0,4921.0,5.819575260537907,2262.4667425208104,17.623464527450487,0.009316770186335404,0.01634272402999199
1834,Ohio,05-18-2020,28454,1657,,26797.0,243.42336022448262,271849.0,4998.0,5.823434315034793,2325.662369215765,17.56519294299571,0.019692307692307693,0.01901658131289618
1884,Ohio,05-19-2020,28952,1720,,27232.0,247.6837395522324,277602.0,5117.0,5.940867642995302,2374.879160927702,17.674081237911025,0.038020519010259504,0.01750193294440149
1934,Ohio,05-20-2020,29436,1781,,27655.0,251.8243491800053,289528.0,5198.0,6.050414458486206,2476.9058353508826,17.65864927299905,0.035465116279069765,0.016717325227963525
