ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
35,Oklahoma,04-12-2020,1970,96,865.0,1874.0,53.85995428,22760.0,446.0,4.873096447,622.2601824,22.63959391,,
85,Oklahoma,04-13-2020,2069,99,865.0,1970.0,56.566622029432146,22859.0,457.0,4.784920251329145,624.9668501550458,22.087965200579987,0.03125,0.050253807106598984
135,Oklahoma,04-14-2020,2184,108,1060.0,2076.0,59.71073104,28269.0,488.0,4.945054945,772.8766737999998,22.34432234,0.09090909090909091,0.055582406959884
185,Oklahoma,04-15-2020,2263,123,1115.0,2140.0,61.87059722213869,29219.0,510.0,5.435262925320371,798.8497482252188,22.536456031816172,0.1388888888888889,0.036172161172161175
235,Oklahoma,04-16-2020,2357,131,1240.0,2226.0,64.4405645835532,30899.0,528.0,5.557912600763682,844.781079790925,22.40135765803988,0.06504065040650407,0.0415377817057004
285,Oklahoma,04-17-2020,2465,136,1331.0,2329.0,67.39329304134858,33620.0,528.0,5.517241379310343,919.1734328803814,21.419878296146052,0.03816793893129771,0.04582095884599067
335,Oklahoma,04-18-2020,2465,136,1515.0,2329.0,67.39329304134858,35536.0,541.0,5.517241379310343,971.5570229279364,21.947261663286003,0.0,0.0
385,Oklahoma,04-19-2020,2567,140,1575.0,2427.0,70.18198102926647,35565.0,541.0,5.453837164004675,972.3498851990113,21.07518504090378,0.029411764705882353,0.041379310344827586
435,Oklahoma,04-20-2020,2680,143,1614.0,2537.0,73.27140987862646,35646.0,541.0,5.335820895522388,974.5644315423576,20.186567164179106,0.02142857142857143,0.044020257109466304
485,Oklahoma,04-21-2020,2807,164,1702.0,2643.0,76.74359982436734,44344.0,561.0,5.842536515853224,1212.3684327081387,19.985749910936946,0.14685314685314685,0.047388059701492534
535,Oklahoma,04-22-2020,2894,170,1772.0,2724.0,79.12218663759141,45913.0,588.0,5.874222529371113,1255.2650155811107,20.317899101589497,0.036585365853658534,0.0309939437121482
585,Oklahoma,04-23-2020,3017,179,1884.0,2838.0,82.48501627008059,46036.0,622.0,5.933046072257209,1258.6278452135998,20.61650646337421,0.052941176470588235,0.04250172771250864
635,Oklahoma,04-24-2020,3121,188,1961.0,2933.0,85.32838441462431,53012.0,637.0,6.023710349247036,1449.3522315245318,20.410124959948735,0.05027932960893855,0.03447132913490222
685,Oklahoma,04-25-2020,3194,194,2080.0,3000.0,87.3242101314675,53084.0,637.0,6.073888541014402,1451.3207171630622,19.94364433312461,0.031914893617021274,0.023389939122076257
735,Oklahoma,04-26-2020,3254,195,2139.0,3059.0,88.96461483024271,53144.0,653.0,5.992624462200369,1452.9611218618375,20.067609096496614,0.005154639175257732,0.01878522229179712
785,Oklahoma,04-27-2020,3281,197,2167.0,3084.0,89.70279694469156,53171.0,656.0,6.004266991770803,1453.6993039762867,19.993904297470287,0.010256410256410256,0.008297480024585127
835,Oklahoma,04-28-2020,3410,207,2260.0,3203.0,93.22966704705827,59699.0,656.0,6.070381231671554,1632.17533520303,19.237536656891496,0.050761421319796954,0.03931728131667175
885,Oklahoma,04-29-2020,3473,214,2319.0,3259.0,94.95209198077228,61267.0,693.0,6.161819752375468,1675.0445779976892,19.953930319608407,0.033816425120772944,0.01847507331378299
935,Oklahoma,04-30-2020,3618,222,2401.0,995.0,98.91640333614572,63422.0,703.0,6.1359867330016575,1733.9624467620324,19.43062465450525,0.037383177570093455,0.04175064785488051
985,Oklahoma,05-01-2020,3748,230,2467.0,1051.0,102.47061351682535,63552.0,715.0,6.136606189967983,1737.5166569427124,19.076840981856986,0.036036036036036036,0.035931453841901606
1035,Oklahoma,05-02-2020,3851,238,2554.0,1059.0,105.28664158305617,63655.0,743.0,6.180212931706048,1740.332685008943,19.293689950662166,0.034782608695652174,0.027481323372465314
