ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
36,Oregon,04-12-2020,1527,52,,1475.0,38.10760670000001,29758.0,359.0,3.405370007,742.6366471,23.51015062,,
86,Oregon,04-13-2020,1584,53,,1531.0,39.530091034006354,31121.0,369.0,3.345959595959596,776.6514918366867,23.29545454545455,1.0,57.0
136,Oregon,04-14-2020,1633,55,,1578.0,40.75292845,32363.0,381.0,3.368034293,807.6466769,23.3312921,2.0,49.0
186,Oregon,04-15-2020,1663,58,,1605.0,41.50160441259632,33351.0,401.0,3.4876728803367407,832.3030720171378,24.113048707155734,3.0,30.0
236,Oregon,04-16-2020,1736,64,,1672.0,43.32338259787565,34938.0,414.0,3.6866359447004617,871.9080306477994,23.847926267281107,6.0,73.0
286,Oregon,04-17-2020,1785,70,,1715.0,44.54622000991248,36321.0,427.0,3.92156862745098,906.4219927058997,23.92156862745098,6.0,49.0
336,Oregon,04-18-2020,1844,72,,1772.0,46.018616077467,37583.0,449.0,3.904555314533624,937.9162950322354,24.349240780911064,2.0,59.0
386,Oregon,04-19-2020,1910,74,,1836.0,47.665703203883936,39038.0,456.0,3.8743455497382198,974.2270794100633,23.874345549738216,2.0,66.0
436,Oregon,04-20-2020,1957,75,,1882.0,48.8386288848172,40045.0,465.0,3.832396525293817,999.3576360206972,23.760858456821666,1.0,47.0
486,Oregon,04-21-2020,2004,78,,1926.0,50.011554565750465,41128.0,471.0,3.8922155688622753,1026.3848384132664,23.50299401197605,3.0,47.0
536,Oregon,04-22-2020,2059,78,,1981.0,51.384127171097916,41185.0,488.0,3.7882467217095686,1027.807322749717,23.700825643516268,0.0,55.0
586,Oregon,04-23-2020,2127,83,,2044.0,53.08112602861839,43976.0,512.0,3.902209685002351,1097.4591435047118,24.07146215326752,5.0,68.0
636,Oregon,04-24-2020,2177,86,,2091.0,54.32891930620697,45492.0,520.0,3.9503904455672942,1135.2922356811978,23.88608176389527,3.0,50.0
686,Oregon,04-25-2020,2253,87,,2166.0,56.225565088141614,47377.0,536.0,3.8615179760319576,1182.3340422462875,23.790501553484244,1.0,76.0
736,Oregon,04-26-2020,2311,92,,2219.0,57.67300529014439,48964.0,546.0,3.98096062310688,1221.9390008769494,23.626135871916922,5.0,58.0
786,Oregon,04-27-2020,2354,92,,2262.0,58.74610750887057,51198.0,554.0,3.9082412914188613,1277.690404519607,23.534409515717925,0.0,43.0
836,Oregon,04-28-2020,2385,99,,2286.0,59.51973934097549,51198.0,554.0,4.150943396226415,1277.690404519607,23.228511530398322,7.0,31.0
886,Oregon,04-29-2020,2446,101,,2345.0,61.04204713963356,54472.0,569.0,4.129190515126737,1359.3959083361076,23.262469337694203,2.0,61.0
936,Oregon,04-30-2020,2510,103,0.0,2407.0,62.63922253494696,56032.0,578.0,4.103585657370518,1398.3270585968717,23.027888446215137,2.0,64.0
986,Oregon,05-01-2020,2579,104,0.0,2475.0,64.3611772580192,58176.0,591.0,4.032570763861962,1451.83243433987,22.915858860023263,1.0,69.0
1036,Oregon,05-02-2020,2635,109,0.0,2526.0,65.75870572891841,60136.0,595.0,4.136622390891841,1500.7459308213424,22.580645161290327,5.0,56.0
1086,Oregon,05-03-2020,2680,109,860.0,1711.0,66.88171967874814,62054.0,598.0,4.067164179104478,1548.6112809496406,22.31343283582089,0.0,45.0
1136,Oregon,05-04-2020,2759,109,860.0,1790.0,68.8532330573381,63457.0,608.0,3.95070677781805,1583.6243603187766,22.036969916636465,0.0,79.0
1186,Oregon,05-05-2020,2839,113,860.0,1866.0,70.84970230147985,65424.0,622.0,3.98027474462839,1632.712547859111,21.90912293060937,4.0,80.0
1236,Oregon,05-06-2020,2916,115,1125.0,1676.0,72.77130394896625,67976.0,641.0,3.943758573388204,1696.3999167472323,21.98216735253772,2.0,77.0
1286,Oregon,05-07-2020,2989,121,1125.0,1743.0,74.59308213424559,70458.0,645.0,4.048176647708264,1758.3403750467298,21.579123452659754,6.0,73.0
1336,Oregon,05-08-2020,3068,124,1125.0,1819.0,76.56459551283555,72693.0,659.0,4.041720990873533,1814.1167345549395,21.47979139504564,3.0,79.0
1386,Oregon,05-09-2020,3160,127,1125.0,1908.0,78.86053514359855,74620.0,662.0,4.018987341772152,1862.206687473204,20.94936708860759,3.0,92.0
1436,Oregon,05-10-2020,3228,127,1125.0,1976.0,80.55753400111901,75507.0,670.0,3.934324659231722,1884.3425402176251,20.755885997521684,0.0,68.0
1486,Oregon,05-11-2020,3286,130,1125.0,2031.0,82.00497420312178,77606.0,673.0,3.956177723676202,1936.7249020107931,20.48082775410834,3.0,58.0
1536,Oregon,05-12-2020,3358,130,1125.0,2103.0,83.80179652284934,77606.0,673.0,3.8713519952352593,1936.7249020107931,20.04169148302561,0.0,72.0
1586,Oregon,05-13-2020,3416,134,1406.0,1876.0,85.2492367248521,83987.0,678.0,3.922716627634661,2095.968280096649,19.847775175644028,4.0,58.0
1636,Oregon,05-14-2020,3479,137,1406.0,1936.0,82.48499135911034,84050.0,685.0,3.9379131934463927,1992.774798428636,19.689565967231964,3.0,63.0
1686,Oregon,05-15-2020,3541,137,1406.0,1998.0,83.95497395878405,89506.0,691.0,3.8689635696131033,2122.1332671999226,19.514261508048573,0.0,62.0
1736,Oregon,05-16-2020,3612,137,1406.0,2069.0,85.63834112937816,92199.0,699.0,3.7929125138427455,2185.9826726986535,19.35215946843854,0.0,71.0
1786,Oregon,05-17-2020,3623,137,1406.0,2080.0,85.89914449383639,94356.0,703.0,3.781396632624897,2237.1238415292373,19.4038089980679,0.0,11.0
1836,Oregon,05-18-2020,3687,138,1406.0,2143.0,87.41654588704796,97315.0,708.0,3.742880390561432,2307.2799465685034,19.202603742880388,1.0,64.0
1886,Oregon,05-19-2020,3726,140,1406.0,2180.0,88.34121236103626,99720.0,714.0,3.757380568974772,2364.301045797782,19.162640901771336,2.0,39.0
1936,Oregon,05-20-2020,3801,144,1406.0,2251.0,90.11941711870607,102149.0,723.0,3.7884767166535114,2421.891170549515,19.021310181531177,4.0,75.0
1986,Oregon,05-21-2020,3817,145,1406.0,2266.0,90.49876746700895,105224.0,732.0,3.7987948650772863,2494.797565613977,19.177364422321194,1.0,16.0
2036,Oregon,05-22-2020,3864,147,1376.0,2341.0,91.61310911514872,107839.0,737.0,3.804347826086957,2556.7976381647313,19.07349896480332,2.0,47.0
2086,Oregon,05-23-2020,3888,147,1376.0,2365.0,92.18213463760306,110207.0,740.0,3.780864197530864,2612.9414897135603,19.032921810699587,0.0,24.0
2136,Oregon,05-24-2020,3927,148,1376.0,2403.0,93.10680111159135,112195.0,742.0,3.7687802393684753,2660.0757704901944,18.894830659536535,1.0,39.0
2186,Oregon,05-25-2020,3949,148,1376.0,2425.0,93.62840784050785,113858.0,747.0,3.7477842491770073,2699.504497316926,18.91618131172449,0.0,22.0
2236,Oregon,05-26-2020,3967,148,1795.0,2024.0,94.05517698234856,115538.0,752.0,3.7307789261406614,2739.33628388873,18.956390219309302,0.0,18.0
2286,Oregon,05-27-2020,4038,148,1795.0,2095.0,95.7385441529427,116992.0,759.0,3.6651807825656255,2773.8097467907555,18.796433878157504,0.0,71.0
2336,Oregon,05-28-2020,4086,151,1981.0,1954.0,96.87659519785136,119647.0,768.0,3.695545766030348,2836.758195212267,18.79588839941263,3.0,48.0
2386,Oregon,05-29-2020,4131,151,1981.0,1999.0,97.94351805245323,122681.0,771.0,3.655289276204309,2908.6925050092027,18.6637618010167,0.0,45.0
2436,Oregon,05-30-2020,4185,153,2137.0,1895.0,99.22382547797552,126795.0,778.0,3.6559139784946235,3006.2329633165837,18.59020310633214,2.0,54.0
2486,Oregon,05-31-2020,4243,153,2152.0,1938.0,100.59897049057348,129201.0,786.0,3.605939193966533,3063.2777719426317,18.52462880037709,0.0,58.0
2536,Oregon,06-01-2020,4302,154,2164.0,1984.0,101.99782489994041,131618.0,790.0,3.579730357973036,3120.583383933137,18.36355183635518,1.0,59.0
2586,Oregon,06-02-2020,4335,157,2164.0,2014.0,102.78023499331512,134209.0,795.0,3.621683967704728,3182.0144309614366,18.33910034602076,3.0,33.0
2636,Oregon,06-03-2020,4399,159,2199.0,2041.0,104.2976363865267,136668.0,800.0,3.6144578313253017,3240.3158376162382,18.185951352580133,2.0,64.0
2686,Oregon,06-04-2020,4474,159,2199.0,2116.0,106.07584114419652,139312.0,812.0,3.553866785873938,3303.003482673292,18.149307107733573,0.0,75.0
2736,Oregon,06-05-2020,4570,161,2214.0,2195.0,108.35194323401389,143246.0,819.0,3.5229759299781183,3396.276249562265,17.921225382932167,2.0,96.0
2786,Oregon,06-06-2020,4570,161,2237.0,2172.0,108.35194323401389,146159.0,819.0,3.5229759299781183,3465.341722350161,17.921225382932167,0.0,0.0
2836,Oregon,06-07-2020,4662,163,2237.0,2262.0,110.53320773675553,148400.0,819.0,3.496353496353497,3518.4744805093346,17.567567567567572,2.0,92.0
2886,Oregon,06-08-2020,4922,164,2237.0,2521.0,116.69765089667752,149879.0,843.0,3.3319788703778954,3553.5406783305834,17.127184071515643,1.0,260.0
2936,Oregon,06-09-2020,4988,169,2313.0,2506.0,118.26247108342696,153617.0,851.0,3.3881315156375296,3642.166403452847,17.060946271050522,5.0,66.0
2986,Oregon,06-10-2020,5060,169,2332.0,2559.0,119.96954765078999,156758.0,857.0,3.3399209486166006,3716.637618704058,16.936758893280633,0.0,72.0
3036,Oregon,06-11-2020,5237,171,2350.0,2716.0,124.16611087889076,161804.0,864.0,3.265228184074852,3836.275234800084,16.49799503532557,2.0,177.0
3086,Oregon,06-12-2020,5377,173,2370.0,2834.0,127.48542642654104,166189.0,875.0,3.2174074762878933,3940.240939631845,16.27301469220755,2.0,140.0
3136,Oregon,06-13-2020,5377,173,2396.0,2808.0,127.48542642654104,166189.0,875.0,3.2174074762878933,3940.240939631845,16.27301469220755,0.0,0.0
3186,Oregon,06-14-2020,5377,173,2396.0,2808.0,127.48542642654104,166189.0,875.0,3.2174074762878933,3940.240939631845,16.27301469220755,0.0,0.0
3236,Oregon,06-15-2020,5820,180,2396.0,3244.0,137.98868919517741,173882.0,875.0,3.09278350515464,4122.637328975229,15.034364261168385,7.0,443.0
3286,Oregon,06-16-2020,6098,182,2431.0,3485.0,144.57990149694018,179538.0,912.0,2.9845851098720892,4256.737677100303,14.955723187930467,2.0,278.0
3336,Oregon,06-17-2020,6218,183,2457.0,3578.0,147.4250291092119,184350.0,929.0,2.943068510775169,4370.827294352398,14.94049533612094,1.0,120.0
3386,Oregon,06-18-2020,6366,187,2502.0,3677.0,150.93401983101361,189136.0,933.0,2.9374803644360665,4484.300467288501,14.655984919886901,4.0,148.0
3436,Oregon,06-19-2020,6572,188,2533.0,3851.0,155.8181555654134,193917.0,946.0,2.8606208155812536,4597.655093240759,14.39440048691418,1.0,206.0
3486,Oregon,06-20-2020,6572,188,2533.0,3851.0,155.8181555654134,194095.0,946.0,2.8606208155812536,4601.87536586563,14.39440048691418,0.0,0.0
3536,Oregon,06-21-2020,6572,188,2533.0,3851.0,155.8181555654134,202611.0,946.0,2.8606208155812536,4803.784588749843,14.39440048691418,0.0,0.0
3586,Oregon,06-22-2020,7083,192,2588.0,4303.0,167.933657314337,206628.0,969.0,2.7107157983905124,4899.025235570639,13.680643795002116,4.0,511.0
3636,Oregon,06-23-2020,7274,192,2604.0,4478.0,172.46215209720285,210712.0,983.0,2.639538080835853,4995.854411974952,13.513885070112732,0.0,191.0
3686,Oregon,06-24-2020,7444,195,2604.0,4645.0,176.4927495479211,214008.0,1006.0,2.619559376679205,5074.0005837253475,13.514239656098873,3.0,170.0
3736,Oregon,06-25-2020,7568,197,2649.0,4722.0,179.43271474726848,216618.0,1012.0,2.6030655391120505,5135.882109292258,13.372093023255816,2.0,124.0
3786,Oregon,06-26-2020,7818,202,2649.0,4967.0,185.3600639395012,216868.0,1022.0,2.5837810181632133,5141.809458484489,13.072397032489128,5.0,250.0
3836,Oregon,06-27-2020,8094,202,2649.0,5243.0,191.9038574477261,216868.0,1022.0,2.4956758092414133,5141.809458484489,12.626637015072891,0.0,276.0
3886,Oregon,06-28-2020,8341,202,2649.0,5490.0,197.76007844965199,217391.0,1022.0,2.421771969787795,5154.209472994641,12.252727490708544,0.0,247.0
3936,Oregon,06-29-2020,8485,204,2700.0,5581.0,201.17423158437808,235133.0,1025.0,2.4042427813789042,5574.861590469012,12.080141426045964,2.0,144.0
3986,Oregon,06-30-2020,8656,207,2722.0,5727.0,205.22853843186525,237634.0,1038.0,2.391404805914972,5634.158791788108,11.991682070240294,3.0,171.0
4036,Oregon,07-01-2020,8931,208,2722.0,6001.0,211.74862254332118,243360.0,1055.0,2.32896652110626,5769.918797687004,11.812786921957226,1.0,275.0
4086,Oregon,07-02-2020,9294,209,2759.0,6326.0,220.35513357044312,251054.0,1069.0,2.2487626425650955,5952.338896427161,11.502044329675062,1.0,363.0
4136,Oregon,07-03-2020,9636,209,2759.0,6668.0,228.46374726541745,251054.0,1069.0,2.1689497716894977,5952.338896427161,11.093814860938153,0.0,342.0
4186,Oregon,07-04-2020,9930,213,2759.0,6958.0,235.43430991548308,255026.0,1069.0,2.1450151057401814,6046.512620393353,10.765357502517624,4.0,294.0
4236,Oregon,07-05-2020,10230,215,2759.0,7256.0,242.54712894616242,264201.0,1069.0,2.101661779081134,6264.046335748293,10.449657869012707,2.0,300.0
4286,Oregon,07-06-2020,10395,215,2846.0,7334.0,246.459179413036,267721.0,1125.0,2.068302068302068,6347.503412374929,10.822510822510825,0.0,165.0
4336,Oregon,07-07-2020,10605,220,2877.0,7508.0,251.43815273451145,271906.0,1141.0,2.0744931636020745,6446.727237852905,10.75907590759076,5.0,210.0
4386,Oregon,07-08-2020,10817,224,2877.0,7716.0,256.4645448495248,276267.0,1155.0,2.0708144587223813,6550.123917162213,10.67763705278728,4.0,212.0
4436,Oregon,07-09-2020,11188,230,2977.0,7981.0,265.2607310507981,282075.0,1162.0,2.0557740436181624,6687.828093596163,10.386127994279583,6.0,371.0
4486,Oregon,07-10-2020,11454,232,3009.0,8213.0,271.5674305913337,286770.0,1180.0,2.025493277457657,6799.1437114262935,10.302077876724287,2.0,266.0
4536,Oregon,07-11-2020,11851,232,3009.0,8610.0,280.9800611085992,292183.0,1180.0,1.9576407054257023,6927.482676136516,9.95696565690659,0.0,397.0
4586,Oregon,07-12-2020,12170,234,3009.0,8927.0,288.5433586778882,296172.0,1180.0,1.922760887428102,7022.059459847781,9.695973705834016,2.0,319.0
4636,Oregon,07-13-2020,12438,237,3094.0,9107.0,294.89747701196166,300712.0,1234.0,1.905451037144236,7129.7001211787265,9.921209197620195,3.0,268.0
4686,Oregon,07-14-2020,12805,244,3129.0,9432.0,303.59882562615917,305456.0,1254.0,1.90550566185084,7242.177499450535,9.793049590003903,7.0,367.0
4736,Oregon,07-15-2020,13081,247,3129.0,9705.0,310.1426191343842,305456.0,1254.0,1.8882348444308537,7242.177499450535,9.586423056341259,3.0,276.0
4786,Oregon,07-16-2020,13509,249,3199.0,10061.0,320.29024095148657,318946.0,1311.0,1.843215634021764,7562.017261863411,9.70464135021097,2.0,428.0
4836,Oregon,07-17-2020,13802,254,3199.0,10349.0,327.23709420478326,324195.0,1327.0,1.8403129981162152,7686.46788550353,9.614548616142587,5.0,293.0
4886,Oregon,07-18-2020,14149,257,3225.0,10667.0,335.4642548836023,330793.0,1327.0,1.8163827832355643,7842.902485384935,9.378754682309703,3.0,347.0
4936,Oregon,07-19-2020,14579,260,3225.0,11094.0,345.6592954942425,335590.0,1327.0,1.783387063584608,7956.636461685495,9.102133205295287,3.0,430.0
4986,Oregon,07-20-2020,14847,262,3338.0,11247.0,352.01341382831595,340044.0,1387.0,1.7646662625446219,8062.238114894314,9.341954603623627,2.0,268.0
5036,Oregon,07-21-2020,15139,269,3381.0,11489.0,358.9365576848438,345263.0,1406.0,1.7768676927141818,8185.977456631364,9.287271286082305,7.0,292.0
5086,Oregon,07-22-2020,15393,271,3381.0,11741.0,364.95874446415223,352794.0,1433.0,1.7605405054245435,8364.532923698182,9.309426362632363,2.0,254.0
5136,Oregon,07-23-2020,15713,273,3509.0,11931.0,372.5457514302101,358491.0,1465.0,1.7374148793992237,8499.60535709078,9.32349010373576,2.0,320.0
5186,Oregon,07-24-2020,16104,282,3541.0,12281.0,381.816125566862,366567.0,1474.0,1.751117734724292,8691.082445396667,9.153005464480874,9.0,391.0
5236,Oregon,07-25-2020,16104,282,3541.0,12281.0,381.816125566862,374010.0,1474.0,1.751117734724292,8867.55148554782,9.153005464480874,0.0,0.0
5286,Oregon,07-26-2020,16758,289,3541.0,12928.0,397.32207105374283,378475.0,1474.0,1.7245494689103709,8973.413942121095,8.795799021362933,7.0,654.0
5336,Oregon,07-27-2020,17088,289,3684.0,13115.0,405.14617198749,382566.0,1514.0,1.69124531835206,9070.409084302792,8.860018726591763,0.0,330.0
5386,Oregon,07-28-2020,17408,303,3736.0,13369.0,412.73317895354796,387656.0,1537.0,1.7405790441176472,9191.089913856651,8.829273897058824,14.0,320.0
5436,Oregon,07-29-2020,17721,311,3736.0,13674.0,420.1542201422232,394155.0,1568.0,1.75497996727047,9345.17728345793,8.848259127588738,8.0,313.0
5486,Oregon,07-30-2020,18131,316,3835.0,13980.0,429.8750728174848,398639.0,1587.0,1.7428713253543655,9451.490218569816,8.752964535877778,5.0,410.0
5536,Oregon,07-31-2020,18492,322,3872.0,14298.0,438.4341650510689,404193.0,1607.0,1.7412935323383083,9583.172208224458,8.690244430023794,6.0,361.0
5586,Oregon,08-01-2020,18817,325,3872.0,14620.0,446.13971900097135,409616.0,1607.0,1.7271616091831854,9711.74826690237,8.540149864484244,3.0,325.0
5636,Oregon,08-02-2020,19097,326,3872.0,14899.0,452.778350096272,413657.0,1607.0,1.7070744095931298,9807.557939245618,8.414934282871656,1.0,280.0
5686,Oregon,08-03-2020,19366,328,3960.0,15078.0,459.1561778271144,417131.0,1655.0,1.6936899721160796,9889.924383620884,8.545905194671072,2.0,269.0
5736,Oregon,08-04-2020,19699,333,3960.0,15406.0,467.05140695116836,419914.0,1688.0,1.690441139144119,9955.90763482882,8.568962891517335,5.0,333.0
5786,Oregon,08-05-2020,19978,338,4037.0,15603.0,473.66632864970006,426802.0,1726.0,1.6918610471518671,10119.217959773217,8.639503453799179,5.0,279.0
5836,Oregon,08-06-2020,20224,339,4065.0,15820.0,479.4988402548569,432262.0,1743.0,1.6762262658227849,10248.671266131578,8.618473101265822,1.0,246.0
5886,Oregon,08-07-2020,20635,348,4111.0,16176.0,489.2434023268876,437693.0,1758.0,1.6864550520959534,10377.43699998364,8.519505694208869,9.0,411.0
5936,Oregon,08-08-2020,21010,355,4111.0,16544.0,498.1344261152366,438067.0,1758.0,1.6896715849595432,10386.30431437522,8.367444074250358,7.0,375.0
5986,Oregon,08-09-2020,21272,356,4111.0,16805.0,504.34628806869654,447037.0,1758.0,1.6735614892816848,10598.97760339253,8.264385107183152,1.0,262.0
6036,Oregon,08-10-2020,21488,357,4226.0,16905.0,509.4675177707856,450732.0,1798.0,1.6613924050632911,10686.58382445373,8.367460908413996,1.0,216.0
6086,Oregon,08-11-2020,21774,368,4226.0,17180.0,516.2484052466998,457088.0,1813.0,1.6900890970882705,10837.280750317052,8.326444383209333,11.0,286.0
6136,Oregon,08-12-2020,22022,375,4282.0,17365.0,522.1283356453947,462542.0,1845.0,1.702842611933521,10966.591800294802,8.377985650712924,7.0,248.0
6186,Oregon,08-13-2020,22300,383,4282.0,17635.0,528.7195479471575,467263.0,1853.0,1.7174887892376682,11078.523862440923,8.309417040358744,8.0,278.0
6236,Oregon,08-14-2020,22613,385,4355.0,17873.0,536.1405891358328,473107.0,1863.0,1.7025604740635918,11217.081577158557,8.238623800468758,2.0,313.0
6286,Oregon,08-15-2020,23018,386,4355.0,18277.0,545.7428948272499,484879.0,1863.0,1.6769484751064383,11496.188595922413,8.093665826744287,1.0,405.0
6336,Oregon,08-16-2020,23262,388,4355.0,18519.0,551.5279876388689,488797.0,1863.0,1.6679563236179176,11589.082012463079,8.008769667268506,2.0,244.0
6386,Oregon,08-17-2020,23451,388,4419.0,18644.0,556.0090636281968,491217.0,1913.0,1.654513666794593,11646.458752643894,8.157434650974373,0.0,189.0
6436,Oregon,08-18-2020,23676,397,4468.0,18811.0,561.3436779,496338.0,1929.0,1.6768035140000002,11767.87457,8.14749113,9.0,225.0
6486,Oregon,08-19-2020,23870,408,4468.0,18994.0,565.9433008743788,501156.0,1958.0,1.709258483452032,11882.106447130298,8.202764976958525,11.0,194.0
6536,Oregon,08-20-2020,24165,412,4566.0,19187.0,572.9375729212136,506367.0,1979.0,1.7049451686323194,12005.656113693196,8.189530312435341,4.0,295.0
6586,Oregon,08-21-2020,24421,414,4566.0,19441.0,579.0071784940598,511321.0,1984.0,1.6952622742721428,12123.11246528648,8.124155439990172,2.0,256.0
6636,Oregon,08-22-2020,24710,417,4589.0,19704.0,585.8591941602807,516464.0,1984.0,1.687575880210441,12245.049892869092,8.02913800080939,3.0,289.0
6686,Oregon,08-23-2020,24937,417,4589.0,19931.0,591.2412272268282,519820.0,1984.0,1.6722139792276536,12324.618628425622,7.956049244095119,0.0,227.0
6736,Oregon,08-24-2020,25155,420,4634.0,20101.0,596.409875722455,523337.0,2028.0,1.6696481812760882,12408.004576861953,8.062015503875969,3.0,218.0
6786,Oregon,08-25-2020,25391,428,4747.0,20216.0,602.0052933599227,528009.0,2038.0,1.6856366429049665,12518.774878566397,8.026466070654957,8.0,236.0
6836,Oregon,08-26-2020,25571,433,4747.0,20391.0,606.2729847783303,532738.0,2063.0,1.6933244691251808,12630.896615886671,8.067732978765008,5.0,180.0
6886,Oregon,08-27-2020,25761,438,4789.0,20534.0,610.777770164427,538716.0,2093.0,1.7002445557237684,12772.63138977134,8.124684600753076,5.0,190.0
6936,Oregon,08-28-2020,26054,447,4859.0,20748.0,617.7246234177238,543867.0,,1.7156674598909956,12894.758492528103,,9.0,293.0
6986,Oregon,08-29-2020,26293,454,4884.0,20955.0,623.3911692454983,548850.0,,1.726695318145514,13012.902416627683,,7.0,239.0
7036,Oregon,08-30-2020,26554,458,4884.0,21212.0,629.5793218021893,553345.0,,1.7247872260299766,13119.476155104028,,4.0,261.0
7086,Oregon,08-31-2020,26713,459,4884.0,21370.0,633.3491158884492,557228.0,,1.7182645154044849,13211.539742757786,,1.0,159.0
