ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
39,South Carolina,04-12-2020,3320,82,,3238.0,65.87334263,31425.0,496.0,2.469879518,623.5149976,14.93975904,,
89,South Carolina,04-13-2020,3391,82,,3309.0,67.2820797722211,31425.0,496.0,2.4181657328221764,623.514997594234,14.626953700973164,0.0,0.0213855421686747
139,South Carolina,04-14-2020,3553,97,,3456.0,70.49638143,33872.0,675.0,2.73008725,672.0668257,18.99802983,0.18292682926829268,0.047773518136243
189,South Carolina,04-15-2020,3656,106,,3550.0,72.54004236132123,34733.0,675.0,2.899343544857768,689.1502438008125,18.462800875273523,0.09278350515463918,0.02898958626512806
239,South Carolina,04-16-2020,3931,111,,3820.0,77.99641863302894,34733.0,675.0,2.8237089799033326,689.1502438008125,17.171203256168912,0.04716981132075472,0.07521881838074398
289,South Carolina,04-17-2020,4099,116,,3983.0,81.32976850083581,36284.0,675.0,2.829958526469871,719.9242059732437,16.467431080751403,0.04504504504504504,0.042737216993131516
339,South Carolina,04-18-2020,4248,119,2633.0,4129.0,84.28613237168835,38833.0,776.0,2.8013182674199624,770.499853669909,18.26741996233521,0.02586206896551724,0.03635032934862162
389,South Carolina,04-19-2020,4377,120,2633.0,4257.0,86.84566887732578,40480.0,776.0,2.7416038382453736,803.1785871953729,17.72903815398675,0.008403361344537815,0.03036723163841808
439,South Carolina,04-20-2020,4446,123,2063.0,4323.0,88.21472328731791,40480.0,776.0,2.766531713900134,803.1785871953729,17.453891138101664,0.025,0.015764222069910898
489,South Carolina,04-21-2020,4439,124,2063.0,4315.0,88.07583370949261,41277.0,776.0,2.7934219418788016,818.992157699195,17.481414733047984,0.008130081300813009,-0.0015744489428699954
539,South Carolina,04-22-2020,4761,140,3317.0,4621.0,94.4647542894558,43111.0,837.0,2.9405587061541687,855.3812270894201,17.580340264650285,0.12903225806451613,0.07253886010362694
589,South Carolina,04-23-2020,4917,150,3317.0,4767.0,97.56000773813362,44463.0,837.0,3.050640634533252,882.2067569779613,17.022574740695546,0.07142857142857142,0.03276622558286074
639,South Carolina,04-24-2020,5070,157,3701.0,4913.0,100.59573708202915,46996.0,944.0,3.0966469428007883,932.4649427824544,18.61932938856016,0.04666666666666667,0.03111653447223917
689,South Carolina,04-25-2020,5253,166,3701.0,5087.0,104.22670747374741,49014.0,944.0,3.160098991052732,972.5048239326584,17.970683418998668,0.05732484076433121,0.03609467455621302
739,South Carolina,04-26-2020,5498,174,3701.0,5324.0,109.08784269763242,50761.0,944.0,3.1647871953437616,1007.167694284198,17.169879956347767,0.04819277108433735,0.04664001522939273
