ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
40,South Dakota,04-12-2020,730,6,197.0,724.0,99.19933903,8553.0,43.0,0.8219178079999999,1162.262941,5.890410959,,
90,South Dakota,04-13-2020,868,6,207.0,862.0,117.95209079593201,9002.0,44.0,0.6912442396313364,1223.2773287384562,5.0691244239631335,0.0,0.18904109589041096
140,South Dakota,04-14-2020,988,6,261.0,982.0,134.2588315,9296.0,45.0,0.607287449,1263.228843,4.55465587,0.0,0.1382488479262673
190,South Dakota,04-15-2020,1168,6,329.0,1162.0,158.7189424535122,9859.0,51.0,0.5136986301369864,1339.7346349736106,4.366438356164384,0.0,0.18218623481781376
240,South Dakota,04-16-2020,1311,7,373.0,1304.0,178.15114174362546,10550.0,55.0,0.5339435545385202,1433.6342832915698,4.195270785659802,0.16666666666666666,0.12243150684931507
290,South Dakota,04-17-2020,1411,7,457.0,1404.0,191.74009229615208,11062.0,63.0,0.4961020552799433,1503.209710120507,4.4649184975194895,0.0,0.07627765064836003
340,South Dakota,04-18-2020,1542,7,552.0,1535.0,209.54161751996216,11660.0,68.0,0.4539559014267186,1584.4716344246167,4.409857328145267,0.0,0.09284195605953224
390,South Dakota,04-19-2020,1635,7,646.0,1628.0,222.179341533812,12062.0,74.0,0.4281345565749236,1639.0992156457742,4.525993883792049,0.0,0.06031128404669261
440,South Dakota,04-20-2020,1685,7,709.0,1678.0,228.97381681007545,12326.0,87.0,0.41543026706231456,1674.974045104445,5.163204747774481,0.0,0.03058103975535168
490,South Dakota,04-21-2020,1755,8,824.0,1747.0,238.4860821968441,12815.0,100.0,0.4558404558404559,1741.4240133063004,5.698005698005698,0.14285714285714285,0.04154302670623145
540,South Dakota,04-22-2020,1858,9,937.0,1849.0,252.48270126594662,13446.0,111.0,0.4843918191603875,1827.1702912927442,5.974165769644777,0.125,0.05868945868945869
590,South Dakota,04-23-2020,1956,9,1064.0,1947.0,265.79987280742284,14065.0,119.0,0.4601226993865031,1911.2858952128845,6.0838445807770976,0.0,0.0527448869752422
640,South Dakota,04-24-2020,2040,10,1190.0,2030.0,277.2145912715453,14824.0,124.0,0.4901960784313725,2014.4260299065625,6.0784313725490176,0.1111111111111111,0.04294478527607362
690,South Dakota,04-25-2020,2147,10,1223.0,2137.0,291.7547683627488,15596.0,128.0,0.4657661853749418,2119.3327281720685,5.961807172799253,0.0,0.052450980392156864
740,South Dakota,04-26-2020,2212,11,1257.0,2201.0,300.58758622189123,16274.0,135.0,0.4972875226039783,2211.4658129182003,6.1030741410488245,0.1,0.030274802049371215
790,South Dakota,04-27-2020,2244,11,1316.0,2233.0,304.9360503986998,16375.0,150.0,0.4901960784313725,2225.1906529762523,6.6844919786096275,0.0,0.014466546112115732
840,South Dakota,04-28-2020,2313,11,1392.0,2302.0,314.3124262799432,16612.0,157.0,0.4755728491137051,2257.3964657857405,6.787721573713792,0.0,0.03074866310160428
890,South Dakota,04-29-2020,2373,13,1492.0,2360.0,322.4657966114592,16833.0,165.0,0.5478297513695743,2287.428046506825,6.95322376738306,0.18181818181818182,0.02594033722438392
940,South Dakota,04-30-2020,2449,17,1573.0,859.0,332.79339903137964,17028.0,173.0,0.69416088199265,2313.9265000842515,7.0641077991016745,0.3076923076923077,0.03202697008006743
990,South Dakota,05-01-2020,2525,21,1686.0,818.0,343.12100145129995,17363.0,179.0,0.8316831683168316,2359.449484435216,7.089108910891089,0.23529411764705882,0.0310330747243773
1040,South Dakota,05-02-2020,2588,21,1759.0,808.0,351.68204029939176,18091.0,187.0,0.8114374034003091,2458.377044457611,7.225656877897991,0.0,0.024950495049504952
1090,South Dakota,05-03-2020,2631,21,1799.0,811.0,357.5252890369783,18417.0,197.0,0.7981755986316991,2502.677023258848,7.487647282402128,0.0,0.01661514683153014
1140,South Dakota,05-04-2020,2668,21,1830.0,817.0,362.5532007414132,18713.0,211.0,0.7871064467766117,2542.9003168943273,7.908545727136433,0.0,0.014063093880653743
1190,South Dakota,05-05-2020,2721,24,1895.0,802.0,369.75534453425234,19022.0,220.0,0.8820286659316428,2584.8901741016343,8.085262771040059,0.14285714285714285,0.019865067466266866
1240,South Dakota,05-06-2020,2780,29,1977.0,774.0,377.77282536024313,19416.0,230.0,1.0431654676258992,2638.430639278589,8.273381294964029,0.20833333333333334,0.021683204704152886
1290,South Dakota,05-07-2020,2906,31,2028.0,847.0,394.89490305642687,20114.0,236.0,1.0667584308327598,2733.281514135226,8.121128699242945,0.06896551724137931,0.045323741007194246
1340,South Dakota,05-08-2020,3145,31,2069.0,1045.0,427.3724948769656,21293.0,247.0,0.985691573926868,2893.4952411495165,7.853736089030208,0.0,0.08224363386097729
1390,South Dakota,05-09-2020,3393,34,2125.0,1234.0,461.07309224723195,22952.0,253.0,1.0020630710285885,3118.935930815935,7.456528146183317,0.0967741935483871,0.07885532591414944
1440,South Dakota,05-10-2020,3517,34,2147.0,1336.0,477.923390932365,23894.0,261.0,0.9667330110889965,3246.943845020737,7.421097526300825,0.0,0.036545829649277925
1490,South Dakota,05-11-2020,3614,34,2187.0,1393.0,491.104672968316,24578.0,263.0,0.9407858328721638,3339.89226680002,7.277255118981737,0.0,0.027580324139891952
1540,South Dakota,05-12-2020,3663,39,2309.0,1315.0,497.7632587390541,25197.0,271.0,1.0647010647010646,3424.00787072016,7.398307398307399,0.14705882352941177,0.013558384061981184
1590,South Dakota,05-13-2020,3732,39,2367.0,1326.0,507.1396346202976,25844.0,281.0,1.045016077170418,3511.928380795008,7.529474812433013,0.0,0.018837018837018837
1640,South Dakota,05-14-2020,3792,43,2437.0,1312.0,428.63973576259315,26473.0,290.0,1.1339662447257384,2992.4524590831043,7.647679324894514,0.10256410256410256,0.01607717041800643
1690,South Dakota,05-15-2020,3887,44,2574.0,1269.0,439.37833673765823,27414.0,296.0,1.1319783895034732,3098.821127688748,7.6151273475688175,0.023255813953488372,0.025052742616033755
1740,South Dakota,05-16-2020,3959,44,2673.0,1242.0,447.51706589770754,28176.0,304.0,1.111391765597373,3184.956011299269,7.678706744127305,0.0,0.01852328273732956
1790,South Dakota,05-17-2020,3987,44,2724.0,1219.0,450.6821272377266,28559.0,312.0,1.1035866566340606,3228.2495289145313,7.8254326561324286,0.0,0.007072493053801465
1840,South Dakota,05-18-2020,4027,44,2784.0,1199.0,455.203643437754,29045.0,316.0,1.0926247827166626,3283.1859507448635,7.847032530419668,0.0,0.010032605969400551
1890,South Dakota,05-19-2020,4085,46,2914.0,1125.0,461.7598419277937,29709.0,327.0,1.1260709914320686,3358.243119665317,8.004895960832313,0.045454545454545456,0.014402781226719643
1940,South Dakota,05-20-2020,4177,46,3023.0,1108.0,472.15932918785654,30389.0,333.0,1.1012688532439552,3435.108895065783,7.972228872396458,0.0,0.02252141982864137
1990,South Dakota,05-21-2020,4177,48,3145.0,984.0,472.15932918785654,31301.0,342.0,1.1491501077328226,3538.1994644264064,8.187694517596361,0.043478260869565216,0.0
2040,South Dakota,05-22-2020,4356,50,3267.0,1039.0,492.393114182979,32344.0,351.0,1.1478420569329657,3656.0979993421192,8.057851239669423,0.041666666666666664,0.04285372276753651
2090,South Dakota,05-23-2020,4464,50,3336.0,1078.0,504.6012079230528,33528.0,358.0,1.1200716845878136,3789.934878862929,8.019713261648745,0.0,0.024793388429752067
2140,South Dakota,05-24-2020,4563,50,3371.0,1142.0,515.7919605181205,34905.0,364.0,1.0957703265395573,3945.588074048871,7.977207977207978,0.0,0.02217741935483871
2190,South Dakota,05-25-2020,4586,50,3415.0,1121.0,518.3918323331362,35283.0,370.0,1.0902747492368077,3988.3164021391294,8.068033144352377,0.0,0.0050405435020819634
2240,South Dakota,05-26-2020,4653,50,3528.0,1075.0,525.9653719681821,37038.0,378.0,1.0745755426606491,4186.697925415329,8.123791102514506,0.0,0.014609681639773223
2290,South Dakota,05-27-2020,4710,54,3619.0,1037.0,532.4085325532211,38006.0,391.0,1.1464968152866242,4296.118617455992,8.301486199575372,0.08,0.012250161186331399
2340,South Dakota,05-28-2020,4793,54,3698.0,1041.0,541.7906786682778,39026.0,406.0,1.1266430210723972,4411.417280556689,8.470686417692468,0.0,0.01762208067940552
2390,South Dakota,05-29-2020,4866,59,3744.0,1063.0,550.0424457333278,40682.0,418.0,1.2124948623099054,4598.608051237821,8.590217838060008,0.09259259259259259,0.015230544544126852
2440,South Dakota,05-30-2020,4960,62,3805.0,1093.0,560.668008803392,42938.0,427.0,1.25,4853.6215649193655,8.608870967741936,0.05084745762711865,0.019317714755445952
2490,South Dakota,05-31-2020,4993,62,3837.0,1094.0,564.3982596684148,44128.0,432.0,1.2417384338073305,4988.136671870178,8.652112958141398,0.0,0.0066532258064516125
2540,South Dakota,06-01-2020,5034,62,3903.0,1069.0,569.0328137734426,45661.0,435.0,1.2316249503377037,5161.423780236227,8.64123957091776,0.0,0.008211496094532346
2590,South Dakota,06-02-2020,5067,62,3990.0,1015.0,572.7630646384653,46846.0,443.0,1.2236037102822184,5295.373697662037,8.742845865403591,0.0,0.006555423122765197
2640,South Dakota,06-03-2020,5162,62,4084.0,1016.0,583.5016656135302,48662.0,456.0,1.2010848508330103,5500.650533143279,8.833785354513754,0.0,0.01874876652851786
2690,South Dakota,06-04-2020,5247,64,4163.0,1020.0,593.1098875385883,52622.0,464.0,1.219744615971031,5948.280636945988,8.843148465789975,0.03225806451612903,0.016466485858194498
2740,South Dakota,06-05-2020,5277,64,4179.0,1034.0,596.5010246886088,53363.0,467.0,1.2128103088876256,6032.0417245514955,8.849725222664391,0.0,0.005717552887364208
2790,South Dakota,06-06-2020,5367,65,4273.0,1029.0,606.6744361386702,55458.0,474.0,1.2111049003167504,6268.856135527926,8.831749580771383,0.015625,0.017055144968732235
2840,South Dakota,06-07-2020,5438,65,4335.0,1038.0,614.7001273937191,57060.0,478.0,1.1952923869069512,6449.942859339022,8.789996322177274,0.0,0.013228991988075275
2890,South Dakota,06-08-2020,5471,65,4403.0,1003.0,618.4303782587415,57819.0,482.0,1.1880826174373973,6535.738629234541,8.81008956315116,0.0,0.006068407502758367
2940,South Dakota,06-09-2020,5523,68,4483.0,972.0,624.3083493187771,59159.0,487.0,1.2312149194278472,6687.209421935458,8.81767155531414,0.046153846153846156,0.009504660939499178
2990,South Dakota,06-10-2020,5604,69,4573.0,962.0,633.4644196238324,60685.0,503.0,1.2312633832976445,6859.705264966501,8.975731620271235,0.014705882352941176,0.014665942422596416
3040,South Dakota,06-11-2020,5665,73,4664.0,928.0,640.3597318288741,61744.0,514.0,1.2886142983230362,6979.412406362227,9.073256840247133,0.057971014492753624,0.010885082084225553
3090,South Dakota,06-12-2020,5742,74,4755.0,913.0,649.0636505139269,63005.0,525.0,1.2887495646116336,7121.953204568088,9.143155694879832,0.0136986301369863,0.013592233009708738
3140,South Dakota,06-13-2020,5833,75,4828.0,930.0,659.3500998689891,64513.0,531.0,1.2857877593005314,7292.414365309119,9.103377335847762,0.013513513513513514,0.01584813653779171
