ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
42,Texas,04-12-2020,13677,283,2014.0,13394.0,59.50516088,124533.0,1338.0,2.069167215,541.8115230000002,9.782847116000001,,
92,Texas,04-13-2020,14275,305,2269.0,13970.0,62.106907327923295,133226.0,1176.0,2.136602451838879,579.6325629190827,8.238178633975481,0.07773851590106007,0.04372303867807268
142,Texas,04-14-2020,15006,342,2580.0,14664.0,65.28730307,146467.0,1409.0,2.279088365,637.2407982999998,9.389577502,0.12131147540983607,0.051208406304728546
192,Texas,04-15-2020,15907,375,3150.0,15532.0,69.20732573487047,151810.0,1538.0,2.3574526937826112,660.4868372295648,9.668699314767084,0.09649122807017543,0.060042649606823935
242,Texas,04-16-2020,16876,414,3677.0,16462.0,73.42319916399535,158547.0,1459.0,2.4531879592320456,689.7978168910863,8.645413605119696,0.104,0.06091657760734268
292,Texas,04-17-2020,17849,451,4190.0,17398.0,77.65647557941176,169536.0,1522.0,2.526752199002745,737.6081709805118,8.527088352288644,0.0893719806763285,0.05765584261673382
342,Texas,04-18-2020,18704,476,4806.0,18228.0,81.37636389922785,176239.0,1321.0,2.5449101796407185,766.7712252585551,7.062660393498716,0.05543237250554324,0.047901843240517675
392,Texas,04-19-2020,19260,490,5334.0,18770.0,83.7953789937515,182710.0,1471.0,2.544132917964694,794.9249063316893,7.637590861889928,0.029411764705882353,0.029726261762189905
442,Texas,04-20-2020,19751,507,5706.0,19244.0,85.93159556103771,190394.0,1411.0,2.5669586350058227,828.3560429977323,7.143942078882081,0.03469387755102041,0.025493250259605398
492,Texas,04-21-2020,20574,533,6486.0,20041.0,89.51225999052146,205399.0,1419.0,2.5906483911733256,893.6389953238611,6.8970545348498105,0.05128205128205128,0.04166877626449294
542,Texas,04-22-2020,21321,556,7341.0,20765.0,92.76226768046602,216783.0,1678.0,2.607757609868205,943.167894309576,7.8701749448900165,0.043151969981238276,0.0363079615048119
592,Texas,04-23-2020,22650,604,8025.0,22046.0,98.54440987582926,225078.0,1649.0,2.6666666666666665,979.2573371316513,7.280353200883003,0.08633093525179857,0.062332911214295766
642,Texas,04-24-2020,23642,624,9156.0,23018.0,102.86035047613049,242547.0,1674.0,2.639370611623382,1055.2605290133667,7.080619236951189,0.033112582781456956,0.04379690949227373
692,Texas,04-25-2020,24153,638,9986.0,23515.0,105.08358197487436,262816.0,1597.0,2.641493810292717,1143.4458112991585,6.612015070591644,0.022435897435897436,0.02161407664326199
742,Texas,04-26-2020,24967,651,10763.0,24316.0,108.62508968520216,276021.0,1542.0,2.6074418232066328,1200.8974197940954,6.176152521328152,0.02037617554858934,0.03370181757959674
792,Texas,04-27-2020,25321,666,11170.0,24655.0,110.16525397200321,290517.0,1563.0,2.6302278740966,1263.9658421146264,6.17274199281229,0.02304147465437788,0.014178715904994593
842,Texas,04-28-2020,26357,719,11786.0,25638.0,114.67262742151136,300384.0,,2.7279280646507567,1306.8946585492758,,0.07957957957957958,0.040914655819280436
892,Texas,04-29-2020,27257,754,12507.0,26503.0,118.5882993371072,314790.0,,2.7662618776827967,1369.5715136782471,,0.048678720445062586,0.03414652653943924
942,Texas,04-30-2020,28727,812,12507.0,15408.0,124.98389679924708,314790.0,,2.8266091133776587,1369.5715136782471,,0.07692307692307693,0.05393110026782111
992,Texas,05-01-2020,29692,840,14122.0,14730.0,129.18236724208046,351775.0,,2.8290448605685032,1530.4838756763725,,0.034482758620689655,0.03359209106415567
1042,Texas,05-02-2020,30917,863,14891.0,15163.0,134.51203179386368,380648.0,,2.791344567713556,1656.1029814752605,,0.02738095238095238,0.04125690421662401
1092,Texas,05-03-2020,31998,878,15544.0,15576.0,139.21518883915164,390560.0,,2.7439214950934434,1699.2275815056894,,0.01738122827346466,0.03496458259210143
1142,Texas,05-04-2020,32783,901,16090.0,15792.0,142.63052489886581,407398.0,,2.7483756825183785,1772.4854522999156,,0.02619589977220957,0.024532783298956185
1192,Texas,05-05-2020,33912,925,16791.0,16196.0,147.54251777965212,427210.0,,2.727648030195801,1858.6824434018995,,0.026637069922308545,0.03443858097184516
1242,Texas,05-06-2020,34928,954,17622.0,16352.0,151.96287629770262,438938.0,,2.7313330279431973,1909.7079992086865,,0.03135135135135135,0.029959896201934417
1292,Texas,05-07-2020,36036,985,18440.0,16611.0,156.7835035004584,455162.0,,2.7333777333777336,1980.294511607161,,0.03249475890985325,0.031722400366468166
1342,Texas,05-08-2020,37246,1025,19197.0,17024.0,162.0479068536484,477118.0,,2.7519733662675185,2075.8195033614084,,0.04060913705583756,0.033577533577533576
1392,Texas,05-09-2020,38394,1066,20141.0,17187.0,167.0425639193196,489294.0,,2.7764754909621296,2128.7941936328475,,0.04,0.03082210170219621
1442,Texas,05-10-2020,39258,1094,21022.0,17142.0,170.80160895829158,501776.0,,2.786693158082429,2183.1002123555895,,0.02626641651031895,0.02250351617440225
1492,Texas,05-11-2020,40555,1117,21713.0,17725.0,176.44452726332253,525697.0,,2.754284305264456,2287.1744211255545,,0.02102376599634369,0.03303785215752204
1542,Texas,05-12-2020,41432,1146,21713.0,18573.0,180.26013200774207,525697.0,,2.765977988028576,2287.1744211255545,,0.025962399283795883,0.02162495376648995
1592,Texas,05-13-2020,43020,1172,23519.0,18329.0,187.1691175654824,587431.0,,2.724314272431428,2555.763410055993,,0.02268760907504363,0.03832786252172234
1642,Texas,05-14-2020,44480,1235,24487.0,18758.0,153.4010985905205,623284.0,,2.776528776978417,2149.560484125315,,0.0537542662116041,0.03393770339377034
1692,Texas,05-15-2020,45721,1280,25454.0,18987.0,157.68101683132167,645992.0,,2.7995888103934736,2227.875055770852,,0.03643724696356275,0.027900179856115107
