ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
46,Washington,04-12-2020,10609,506,,10103.0,140.5276682,93615.0,642.0,4.7695352999999985,1240.031828,6.051465737000001,,
96,Washington,04-13-2020,10635,513,,10122.0,140.8720663077597,93802.0,527.0,4.823695345557122,1242.5088447391138,4.955336154207805,7.0,26.0
146,Washington,04-14-2020,10799,530,,10269.0,143.04442350000005,93929.0,387.0,4.907861839,1244.191097,3.583665154,17.0,164.0
196,Washington,04-15-2020,10942,552,,10390.0,144.9386130267519,122854.0,645.0,5.044781575580332,1627.333975944853,5.894717601900933,22.0,143.0
246,Washington,04-16-2020,11057,579,,10478.0,146.46191228630923,124283.0,595.0,5.236501763588677,1646.2626250049177,5.381206475535859,27.0,115.0
296,Washington,04-17-2020,11517,603,,10914.0,152.55510932453862,128900.0,622.0,5.235738473560823,1707.4197787560156,5.400711990969871,24.0,460.0
346,Washington,04-18-2020,11776,613,,11163.0,155.98584417867215,131627.0,518.0,5.205502717391305,1743.5418403283013,4.398777173913044,10.0,259.0
396,Washington,04-19-2020,12255,636,,11619.0,162.33071674674142,135706.0,586.0,5.189718482252142,1797.5726027607745,4.78172174622603,23.0,479.0
446,Washington,04-20-2020,12114,643,,11471.0,160.46301939371898,138642.0,403.0,5.307908205382202,1836.4630951612994,3.3267294039953774,7.0,-141.0
496,Washington,04-21-2020,12392,664,,11728.0,166.41050954625157,141011.0,503.0,5.285361776645706,1867.8430599081807,4.003820743452997,21.0,278.0
546,Washington,04-22-2020,12596,686,,11910.0,159.6285163210919,145031.0,543.0,5.368849058169446,1921.0923035900985,4.505850136918098,22.0,204.0
596,Washington,04-23-2020,12753,711,,12042.0,168.92726484465064,147953.0,544.0,5.57515878616796,1959.797350863373,4.265662981259312,25.0,157.0
646,Washington,04-24-2020,12977,722,,12255.0,171.89438688065795,160324.0,455.0,5.563689604685212,2123.6646129501896,3.5062032827309846,11.0,224.0
696,Washington,04-25-2020,13319,737,,12582.0,176.42454641777638,160324.0,455.0,5.533448457091375,2123.6646129501896,3.416172385314213,15.0,342.0
746,Washington,04-26-2020,13521,749,,12772.0,179.10025468239013,170594.0,508.0,5.539531099770727,2259.70185986892,3.757118556319799,12.0,202.0
796,Washington,04-27-2020,13686,764,,12922.0,181.285857967842,175477.0,536.0,5.582346923863804,2324.3824710377758,3.9164109308782704,15.0,165.0
846,Washington,04-28-2020,13842,786,,13056.0,183.3522465286328,179679.0,,5.678370177719983,2380.0425013739496,,22.0,156.0
896,Washington,04-29-2020,14070,801,,13269.0,186.3723528867117,182515.0,,5.6929637526652455,2417.608385722685,,15.0,228.0
946,Washington,04-30-2020,14327,814,0.0,13513.0,189.77659557980945,187800.0,,5.6815802331262635,2487.613921259734,,13.0,257.0
996,Washington,05-01-2020,14637,824,0.0,13813.0,193.8828805403553,193981.0,,5.629568900731024,2569.487944940812,,10.0,310.0
1046,Washington,05-02-2020,15003,830,0.0,14173.0,198.73094600990302,198724.0,,5.5322268879557415,2632.314104837164,,6.0,366.0
1096,Washington,05-03-2020,15185,834,0.0,14351.0,201.141732664159,207315.0,,5.492262100757326,2746.1111825663565,,4.0,182.0
1146,Washington,05-04-2020,15462,841,0.0,14621.0,204.81089696761453,212005.0,,5.439141120165568,2808.235300195261,,7.0,277.0
1196,Washington,05-05-2020,15594,862,,14732.0,206.559379595976,216320.0,,5.527767089906376,2865.3921376299554,,21.0,132.0
1246,Washington,05-06-2020,15905,870,,15035.0,210.67891063703976,219453.0,,5.469977994341402,2906.892107892505,,8.0,311.0
1296,Washington,05-07-2020,16231,891,,15340.0,214.99713288587188,224813.0,,5.4894954100178674,2977.8910994683947,,21.0,326.0
1346,Washington,05-08-2020,16388,905,,15483.0,217.07676752718064,230680.0,,5.5223334146936764,3055.6058538668553,,14.0,157.0
1396,Washington,05-09-2020,16674,921,,15753.0,220.8651465552972,235835.0,3450.0,5.52356962936308,3123.8893989365783,20.690896005757466,16.0,286.0
1446,Washington,05-10-2020,16891,931,,15960.0,223.73954602767932,242989.0,,5.5118110236220454,3218.651858961563,,10.0,217.0
1496,Washington,05-11-2020,17122,945,,16177.0,226.79939062731185,248875.0,,5.519215044971381,3296.6182888898634,,14.0,231.0
1546,Washington,05-12-2020,17330,962,,16368.0,229.55457537503293,252108.0,,5.551067512983266,3339.442867204201,,17.0,208.0
1596,Washington,05-13-2020,17512,974,,16538.0,231.9653620292889,256321.0,,5.561900411146644,3395.248604426072,,12.0,182.0
1646,Washington,05-14-2020,17773,983,,16790.0,233.3978954136322,261080.0,,5.530861419006358,3428.5445639223035,,9.0,261.0
1696,Washington,05-15-2020,17951,991,,16960.0,235.73542005120757,267931.0,,5.5205838114868255,3518.512998147183,,8.0,178.0
1746,Washington,05-16-2020,18288,999,,17289.0,240.1609582695384,273303.0,,5.462598425196849,3589.0589664227723,,8.0,337.0
1796,Washington,05-17-2020,18433,1001,,17432.0,242.06512159790032,280993.0,,5.430477947159985,3690.0452836303807,,2.0,145.0
1846,Washington,05-18-2020,18611,1002,,17609.0,244.4026462354757,285243.0,,5.383912739777551,3745.856967392713,,1.0,178.0
1896,Washington,05-19-2020,18811,1031,,17780.0,247.02907841252662,289135.0,,5.4808356812503325,3796.967337558125,,29.0,200.0
1946,Washington,05-20-2020,18971,1037,,17934.0,249.13022415416737,293120.0,,5.466237942122186,3849.2989986858647,,6.0,160.0
1996,Washington,05-21-2020,19117,1044,,18073.0,251.04751964341455,297942.0,3125.0,5.461107914421719,3912.622278474563,16.346707119317884,7.0,146.0
2046,Washington,05-22-2020,19265,1050,,18215.0,252.99107945443225,302927.0,3156.0,5.450298468725668,3978.086100487558,16.382039968855437,6.0,148.0
2096,Washington,05-23-2020,19265,1050,,18215.0,252.99107945443225,308358.0,3230.0,5.450298468725668,4049.406866255376,16.766156241889437,0.0,0.0
2146,Washington,05-24-2020,19828,1061,,18767.0,260.38448603283064,316276.0,3256.0,5.351018761347589,4153.387316144823,16.421222513617106,11.0,563.0
2196,Washington,05-25-2020,20065,1070,,18995.0,263.4968081626361,326593.0,3287.0,5.332668826314478,4288.871819997996,16.38175928233242,9.0,237.0
2246,Washington,05-26-2020,20181,1078,,19103.0,265.0201388253256,330598.0,3290.0,5.341657995143947,4341.466124343441,16.302462712452307,8.0,116.0
2296,Washington,05-27-2020,20406,1095,,19311.0,267.9748750245079,332791.0,3338.0,5.366068803293148,4370.264953164805,16.357933940997743,17.0,225.0
2346,Washington,05-28-2020,20764,1106,,19658.0,272.6761886214291,335801.0,3394.0,5.326526680793681,4409.792757429422,16.345598150645348,11.0,358.0
2396,Washington,05-29-2020,21071,1111,,19960.0,276.70776201320234,343091.0,3413.0,5.272649613212471,4505.526210282927,16.197617578662616,5.0,307.0
2446,Washington,05-30-2020,21349,1118,,20231.0,280.3585027393031,348233.0,3455.0,5.236779240245445,4573.051781554907,16.183427795212893,7.0,278.0
2496,Washington,05-31-2020,21702,1118,,20584.0,284.99415553179796,354354.0,3480.0,5.151598930974104,4653.433738333552,16.035388443461432,0.0,353.0
2546,Washington,06-01-2020,21977,1123,,20854.0,288.60549977524306,360899.0,3501.0,5.109887609773853,4739.3837313275435,15.930290758520277,5.0,275.0
2596,Washington,06-02-2020,22157,1129,,21028.0,290.96928873458893,365272.0,3517.0,5.095455160897234,4796.810670878764,15.873087511847274,6.0,180.0
2646,Washington,06-03-2020,22484,1135,,21349.0,295.2635053440672,368799.0,3543.0,5.048034157623198,4843.127802321057,15.757872264721579,6.0,327.0
2696,Washington,06-04-2020,22729,1138,,21591.0,298.4808847609546,377327.0,3578.0,5.006819481719389,4955.11887035051,15.742003607725813,3.0,245.0
2746,Washington,06-05-2020,22993,1149,,21844.0,301.9477752346619,383587.0,3615.0,4.997173052668203,5037.3261974922025,15.722176314530511,11.0,264.0
2796,Washington,06-06-2020,23442,1153,,22289.0,307.84411547214125,390863.0,3639.0,4.918522310383073,5132.875800093318,15.523419503455337,4.0,449.0
2846,Washington,06-07-2020,23729,1157,,22572.0,311.6130456462093,400588.0,3652.0,4.875890260862238,5260.586064702419,15.390450503603187,4.0,287.0
2896,Washington,06-08-2020,24041,1161,,22880.0,315.71027984240885,405056.0,3669.0,4.829250031196707,5319.260559537737,15.261428393161681,4.0,312.0
2946,Washington,06-09-2020,24354,1176,,23178.0,319.82064619949347,410290.0,3699.0,4.828775560482877,5387.994289611161,15.188470066518846,15.0,313.0
2996,Washington,06-10-2020,24354,1176,,23178.0,319.82064619949347,415054.0,3747.0,4.828775560482877,5450.555904068514,15.385562946538556,0.0,0.0
3046,Washington,06-11-2020,24779,1194,,23585.0,325.4018145757268,415342.0,3773.0,4.818596392106219,5454.337966403466,15.22660317204084,18.0,425.0
3096,Washington,06-12-2020,25171,1204,,23967.0,330.5496216427467,425212.0,3772.0,4.783282348734655,5583.952394340931,14.985499185570696,10.0,392.0
3146,Washington,06-13-2020,25538,1213,,24325.0,335.3691246876351,439862.0,3817.0,4.749784634662072,5776.338551309915,14.946354452188896,9.0,367.0
3196,Washington,06-14-2020,25834,1217,,24617.0,339.2562443096705,450146.0,3845.0,4.710846171711697,5911.389693853875,14.883486877757996,4.0,296.0
3246,Washington,06-15-2020,26158,1220,,24938.0,343.5110644364931,462602.0,3856.0,4.663965134949155,6074.963889840606,14.74118816423274,3.0,324.0
3296,Washington,06-16-2020,26531,1231,,25300.0,348.4093604466932,471265.0,3894.0,4.639855263653839,6188.7277995895665,14.677170102898495,11.0,373.0
3346,Washington,06-17-2020,26784,1226,,25558.0,351.73179715066254,480026.0,3915.0,4.577359617682198,6303.778661105284,14.616935483870964,-5.0,253.0
3396,Washington,06-18-2020,27192,1245,,25947.0,357.08971879184645,435016.0,3938.0,4.578552515445719,5712.700099659969,14.482200647249195,19.0,408.0
3446,Washington,06-19-2020,27601,1255,,26346.0,362.4607725939157,446899.0,3959.0,4.546936705191841,5868.749567459451,14.343683199884062,10.0,409.0
3496,Washington,06-20-2020,28225,1265,,26960.0,370.6552409863146,455941.0,4003.0,4.481842338352523,5987.490566183925,14.182462356067314,10.0,624.0
3546,Washington,06-21-2020,28680,1270,,27410.0,376.6303741891055,466099.0,4030.0,4.428172942817295,6120.887056456341,14.051603905160393,5.0,455.0
3596,Washington,06-22-2020,28870,1276,,27594.0,379.12548475730387,474938.0,4049.0,4.419812954624176,6236.962226521108,14.02493938344302,6.0,190.0
3646,Washington,06-23-2020,29386,1284,,28102.0,385.9016797740953,477204.0,4062.0,4.369427618593888,6266.719703087096,13.822908868168517,8.0,516.0
