ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
0,Alabama,04-12-2020,3563,93,,3470.0,75.98802021,21583.0,437.0,2.610159978,460.3001516,12.26494527,,
50,Alabama,04-13-2020,3734,99,,3635.0,79.63493333293523,29182.0,457.0,2.6513122656668453,622.3638523089759,12.23888591322978,6.0,171.0
100,Alabama,04-14-2020,3953,114,,3839.0,84.30554137,33117.0,493.0,2.8838856560000004,706.2855081,12.4715406,15.0,219.0
150,Alabama,04-15-2020,4075,118,,3957.0,86.90743260088672,34077.0,525.0,2.895705521472393,726.7594063166669,12.883435582822086,4.0,122.0
200,Alabama,04-16-2020,4345,133,,4212.0,92.66571647873691,36391.0,553.0,3.0609896432681243,776.1100318475752,12.727272727272727,15.0,270.0
250,Alabama,04-17-2020,4571,148,,4423.0,97.48561335427073,37848.0,594.0,3.2378035440822583,807.1834378106407,12.994968278276088,15.0,226.0
300,Alabama,04-18-2020,4712,153,,4559.0,100.49271715714805,42538.0,620.0,3.2470288624787766,907.2069614666307,13.157894736842106,5.0,141.0
350,Alabama,04-19-2020,4888,157,,4731.0,104.24626516641337,45712.0,641.0,3.2119476268412437,974.8987874973584,13.113747954173489,4.0,176.0
400,Alabama,04-20-2020,5079,163,,4916.0,108.3197178355592,45900.0,641.0,3.2092931679464463,978.908259234528,12.620594605237253,6.0,191.0
450,Alabama,04-21-2020,5317,183,,5134.0,113.39553843899748,48526.0,699.0,3.4417904833552755,1034.912901690952,13.14651119052097,20.0,238.0
500,Alabama,04-22-2020,5593,196,,5397.0,119.28178418079986,48760.0,730.0,3.504380475594493,1039.9034143850888,13.052029322367243,13.0,276.0
550,Alabama,04-23-2020,5832,202,,5630.0,124.37893176156356,52641.0,768.0,3.4636488340192044,1122.6734133848536,13.168724279835393,6.0,239.0
600,Alabama,04-24-2020,6026,209,,5817.0,128.51636536268552,52889.0,769.0,3.4683040159309657,1127.9625037615456,12.761367407899106,7.0,194.0
650,Alabama,04-25-2020,6026,209,,5817.0,128.51636536268552,71344.0,839.0,3.4683040159309657,1521.5518703012674,13.92300033189512,0.0,0.0
700,Alabama,04-26-2020,6421,219,,6202.0,136.94052140620704,73551.0,845.0,3.4106836941286405,1568.620509258361,13.159943933966673,10.0,395.0
750,Alabama,04-27-2020,6539,228,,6311.0,139.45710473060086,73997.0,872.0,3.4867716776265483,1578.1323411454764,13.335372381098027,9.0,118.0
800,Alabama,04-28-2020,6750,242,,6508.0,143.9570969462541,75827.0,911.0,3.585185185185185,1617.1607096509051,13.496296296296293,14.0,211.0
850,Alabama,04-29-2020,6912,256,,6656.0,147.41206727296418,80449.0,945.0,3.7037037037037037,1715.7339988487695,13.671875,14.0,162.0
900,Alabama,04-30-2020,7088,272,0.0,6816.0,151.16561528222945,87196.0,978.0,3.8374717832957113,1859.627114863048,13.797968397291195,16.0,176.0
950,Alabama,05-01-2020,7294,289,0.0,7005.0,155.5589726112559,91933.0,1008.0,3.962160680010968,1960.6530064533301,13.81957773512476,17.0,206.0
1000,Alabama,05-02-2020,7611,288,0.0,7323.0,162.31962442339852,92209.0,1023.0,3.7839968466692944,1966.5392521951323,13.44107213243989,-1.0,317.0
