ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
2,Arizona,04-12-2020,3542,115,,3427.0,48.66242224,42109.0,,3.246753247,578.5222863,,,
52,Arizona,04-13-2020,3705,122,,3583.0,50.90182789082197,43347.0,525.0,3.292847503373819,595.5307782951309,14.170040485829961,7.0,163.0
102,Arizona,04-14-2020,3809,131,249.0,3678.0,52.33065113,44096.0,580.0,3.439222893,605.8210534,15.22709373,9.0,104.0
152,Arizona,04-15-2020,3964,142,385.0,3822.0,54.46014730343274,45310.0,590.0,3.5822401614530777,622.4998169320228,14.883955600403633,11.0,155.0
202,Arizona,04-16-2020,4237,150,460.0,4087.0,58.21080830591436,47398.0,578.0,3.5402407363700727,651.186191192761,13.641727637479349,8.0,273.0
252,Arizona,04-17-2020,4511,169,539.0,4342.0,61.975207993386746,49230.0,566.0,3.746397694524496,676.3554620958613,12.547107071602747,19.0,274.0
302,Arizona,04-18-2020,4724,180,539.0,4544.0,64.90154789642186,51045.0,566.0,3.8103302286198137,701.2911753541182,11.981371718882306,11.0,213.0
352,Arizona,04-19-2020,4933,184,994.0,4749.0,67.77293305949387,52990.0,631.0,3.729981755524022,728.0129176611757,12.791404824650314,4.0,209.0
402,Arizona,04-20-2020,5068,191,1155.0,4877.0,69.62765553324851,54500.0,637.0,3.768745067087608,748.7583319972463,12.569060773480663,7.0,135.0
452,Arizona,04-21-2020,5256,208,1155.0,5048.0,72.21052831151424,55152.0,637.0,3.95738203957382,757.7159546112317,12.119482496194825,17.0,188.0
502,Arizona,04-22-2020,5473,231,1265.0,5242.0,75.19182295451245,56601.0,664.0,4.220719897679517,777.6233091628649,12.132285766490044,23.0,217.0
552,Arizona,04-23-2020,5772,249,1282.0,5523.0,79.29968976675424,58697.0,699.0,4.313929313929314,806.4195929035295,12.110187110187109,18.0,299.0
602,Arizona,04-24-2020,6045,266,1313.0,5779.0,83.05035076923583,60714.0,984.0,4.400330851943755,834.1305205299229,16.277915632754343,17.0,273.0
652,Arizona,04-25-2020,6286,273,1345.0,6013.0,86.36137385201265,62508.0,1022.0,4.342984409799555,858.7777214033737,16.258351893095767,7.0,241.0
702,Arizona,04-26-2020,6534,275,1383.0,6259.0,89.76856772972491,64811.0,1037.0,4.2087542087542085,890.4179129371289,15.870829507193143,2.0,248.0
