ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
4,California,04-12-2020,22795,640,,22155.0,58.13772584,190328.0,5234.0,2.81202018,485.4238685,22.9611757,,
54,California,04-13-2020,23931,714,,23217.0,61.035047905282056,190882.0,3015.0,2.9877564665078773,486.8368231271593,12.59872132380594,74.0,1136.0
104,California,04-14-2020,25356,767,,24589.0,64.66945279,202208.0,5163.0,3.028868907,515.7233282,20.36204449,53.0,1425.0
154,California,04-15-2020,26686,860,,25826.0,68.06156401321954,216486.0,5163.0,3.2264108521322044,552.13878988855,19.347223263134232,93.0,1330.0
204,California,04-16-2020,27677,956,,26721.0,70.58906944442319,246400.0,5031.0,3.4577446977634865,628.4332373850444,18.17754814466885,96.0,991.0
254,California,04-17-2020,29157,1037,,28120.0,74.36374960404116,258800.0,4892.0,3.5566073327159864,660.0589360196814,16.778132180951406,81.0,1480.0
304,California,04-18-2020,30491,1140,,29351.0,77.76606266683194,251614.0,4892.0,3.73880817290348,641.7313335689958,16.044078580564758,103.0,1334.0
354,California,04-19-2020,31431,1177,,30254.0,80.1634946601028,280900.0,4731.0,3.7447106359963085,716.4240924572199,15.05201870764532,37.0,940.0
404,California,04-20-2020,33686,1225,,32461.0,85.91478098438557,290500.0,4674.0,3.6365255595796473,740.9085043033904,13.875200379979816,48.0,2255.0
454,California,04-21-2020,35465,1282,,34183.0,90.45204855462906,300100.0,4886.0,3.614831524037784,765.392916149561,13.776963203158045,57.0,1779.0
504,California,04-22-2020,37344,1421,,35923.0,95.24436208160348,465327.0,4984.0,3.8051628106255357,1186.7976990773966,13.346186803770351,139.0,1879.0
554,California,04-23-2020,39561,1533,,38028.0,100.89873094232848,482097.0,4929.0,3.875028437097141,1229.568906021176,12.459240160764391,112.0,2217.0
604,California,04-24-2020,41355,1621,,39734.0,105.47425540608162,494173.0,4880.0,3.9197195018740176,1260.3682557560044,11.800265989602226,88.0,1794.0
654,California,04-25-2020,42368,1689,,40679.0,108.05787094776608,506035.0,4847.0,3.986499244712991,1290.6218071434296,11.440237915407856,68.0,1013.0
704,California,04-26-2020,43558,1725,,41833.0,111.0929178328643,526084.0,4928.0,3.960236925478672,1341.755971008416,11.313650764497911,36.0,1190.0
754,California,04-27-2020,44966,1779,,43187.0,114.68396490363598,553409.0,4878.0,3.956322554819197,1411.4472786851466,10.848196415069165,54.0,1408.0
804,California,04-28-2020,46164,1864,,44300.0,117.7394154652727,577608.0,,4.037778355428474,1473.1658497544672,,85.0,1198.0
854,California,04-29-2020,48747,1946,,46801.0,124.32725252763296,603139.0,,3.992040535827846,1538.2816329674445,,82.0,2583.0
904,California,04-30-2020,50130,2031,0.0,48099.0,127.85453810922188,625337.0,,4.05146618791143,1594.8967344425796,,85.0,1383.0
954,California,05-01-2020,52026,2126,0.0,49900.0,132.6902094488406,654985.0,,4.08641832929689,1670.5127596941693,,95.0,1896.0
1004,California,05-02-2020,53347,2180,0.0,51167.0,136.05936653725635,686803.0,,4.086452846458095,1751.663282206821,,54.0,1321.0
1054,California,05-03-2020,54903,2216,0.0,52687.0,140.02788162398986,715751.0,,4.036209314609402,1825.4939857612949,,36.0,1556.0
1104,California,05-04-2020,55884,2278,0.0,53606.0,142.5298824595204,747874.0,,4.076300909025839,1907.422398441975,,62.0,981.0
1154,California,05-05-2020,58456,2381,,56075.0,149.08966446664024,779902.0,,4.073149035171753,1989.1085174637617,,103.0,2572.0
1204,California,05-06-2020,60616,2464,,58152.0,154.59865713202862,809036.0,,4.064933350930447,2063.4136064977547,,83.0,2160.0
1254,California,05-07-2020,62148,2535,,59613.0,158.50596118914666,842874.0,,4.078972774666924,2149.7160573363713,,71.0,1532.0
1304,California,05-08-2020,63779,2613,,61166.0,162.6657607434284,875272.0,,4.096959814358958,2232.3458463980623,,78.0,1631.0
1354,California,05-09-2020,66558,2687,,63871.0,169.75348788098128,912570.0,,4.037080441119024,2327.4728873395693,,74.0,2779.0
1404,California,05-10-2020,67600,2716,,64884.0,172.41106675011767,955664.0,,4.017751479289942,2437.3823919332026,,29.0,1042.0
1454,California,05-11-2020,69329,2779,,66550.0,176.82081134199572,991897.0,,4.008423603398288,2529.7931934355247,,63.0,1729.0
1504,California,05-12-2020,70978,2879,,68099.0,181.02651916848896,1033370.0,,4.0561864239623535,2635.568403070549,,100.0,1649.0
1554,California,05-13-2020,72798,2957,,69841.0,185.66835558099208,1065592.0,,4.061924778153246,2717.749311248394,,78.0,1820.0
1604,California,05-14-2020,74871,3052,,71819.0,189.4881996388813,1104651.0,,4.076344646124668,2795.719694131105,,95.0,2073.0
1654,California,05-15-2020,76693,3136,,73557.0,194.09943095330271,1133906.0,,4.089030289596182,2869.760073990269,,84.0,1822.0
1704,California,05-16-2020,78725,3208,,75517.0,199.24214337421608,1179126.0,,4.074944426802159,2984.2056722548878,,72.0,2032.0
1754,California,05-17-2020,80166,3240,,76926.0,202.88911610971616,1235243.0,,4.041613651672779,3126.2300782216166,,32.0,1441.0
1804,California,05-18-2020,81457,3279,,78178.0,206.15645948343632,1292672.0,,4.02543673349129,3271.5749756727173,,39.0,1291.0
1854,California,05-19-2020,83752,3403,,80349.0,211.9647887186707,1339316.0,,4.063186550768937,3389.624522011834,,124.0,2295.0
1904,California,05-20-2020,85997,3497,,82500.0,217.6465748333117,1380120.0,,4.0664209216600575,3492.8938318656487,,94.0,2245.0
1954,California,05-21-2020,88031,3583,,84448.0,222.79434897904883,1421127.0,,4.070157103747544,3596.6769067890723,,86.0,2034.0
2004,California,05-22-2020,90252,3666,,86586.0,228.4153943958051,1466773.0,,4.061959845765191,3712.200652441145,,83.0,2221.0
2054,California,05-23-2020,92539,3738,,88801.0,234.2034767317445,1515306.0,,4.039377991981759,3835.0309978762775,,72.0,2287.0
2104,California,05-24-2020,94020,3754,,90266.0,237.9516839637193,1582745.0,,3.992767496277388,4005.7098280701643,,16.0,1481.0
2154,California,05-25-2020,96400,3769,,92631.0,243.97513650396232,1644102.0,,3.9097510373443978,4160.9959530750775,,15.0,2380.0
2204,California,05-26-2020,99387,3819,,95568.0,251.53482252820854,1696396.0,,3.842554861299768,4293.344872041242,,50.0,2987.0
2254,California,05-27-2020,101050,3895,,97155.0,255.7436467191431,1736894.0,,3.8545274616526473,4395.839737997025,,76.0,1663.0
2304,California,05-28-2020,103813,3993,,99820.0,262.7364195631311,1790559.0,,3.8463390904799977,4531.658469329857,,98.0,2763.0
2354,California,05-29-2020,106622,4077,,102545.0,269.84561207806513,1835478.0,,3.8237887115229503,4645.342278008504,,84.0,2809.0
2404,California,05-30-2020,109895,4144,,105751.0,278.12912475210516,1888595.0,,3.7708721961872698,4779.774096739634,,67.0,3273.0
2454,California,05-31-2020,111951,4172,,107779.0,283.3325778709034,1944848.0,,3.7266304008003504,4922.14269999438,,28.0,2056.0
2504,California,06-01-2020,114733,4217,,110516.0,290.37343710071684,2012583.0,,3.675490050813628,5093.570665462179,,45.0,2782.0
2554,California,06-02-2020,117215,4305,,112910.0,296.6550376069704,2071591.0,,3.6727381307853086,5242.911794661616,,88.0,2482.0
2604,California,06-03-2020,119348,4374,,114974.0,302.0533671314824,2131294.0,,3.6649126922948017,5394.011873237302,,69.0,2133.0
2654,California,06-04-2020,122168,4444,,117724.0,309.1903991329468,2182671.0,,3.6376137777486734,5524.039991371784,,70.0,2820.0
2704,California,06-05-2020,125738,4529,,121209.0,318.2255779433113,2238463.0,,3.601934180597752,5665.2418670546585,,85.0,3570.0
2754,California,06-06-2020,128593,4607,,123986.0,325.45119012919116,2308300.0,,3.5818434907032266,5841.989705312201,,78.0,2855.0
2804,California,06-07-2020,130615,4632,,125983.0,330.5685939259858,2362218.0,,3.546300195230257,5978.4487448352365,,25.0,2022.0
2854,California,06-08-2020,133816,4657,,129159.0,338.6698845063716,2431190.0,,3.4801518503019064,6153.007387106516,,25.0,3201.0
2904,California,06-09-2020,136641,4745,,131896.0,345.8195708198954,2486245.0,,3.4726033913686227,6292.344017191845,,88.0,2825.0
2954,California,06-10-2020,139715,4854,,134861.0,353.59944187397406,2540798.0,,3.474215366997101,6430.410154346416,,109.0,3074.0
3004,California,06-11-2020,143377,4934,,138443.0,362.8674600262304,2597647.0,,3.4412771922972305,6574.287151598634,,80.0,3662.0
3054,California,06-12-2020,146659,4978,,141681.0,371.1737504619773,2662258.0,,3.3942683367539668,6737.808702891762,,44.0,3282.0
3104,California,06-13-2020,150018,5076,,144942.0,379.674917303438,2724393.0,,3.383593968723753,6895.063838853105,,98.0,3359.0
3154,California,06-14-2020,152300,5099,,147201.0,385.450345327318,2801996.0,,3.3479973736047275,7091.466354601209,,23.0,2282.0
3204,California,06-15-2020,155726,5114,,150612.0,394.1210799503738,2868182.0,,3.2839731322964694,7258.974014193026,,15.0,3426.0
3254,California,06-16-2020,158961,5200,,153761.0,402.3084198527632,2937755.0,,3.2712426318405146,7435.053704773835,,86.0,3235.0
3304,California,06-17-2020,162798,5271,,157527.0,412.01933892709604,2997988.0,,3.237754763572034,7587.495140427813,,71.0,3837.0
3354,California,06-18-2020,167086,5355,,161731.0,422.871676949181,3074530.0,,3.2049363800677497,7781.212411156923,,84.0,4288.0
3404,California,06-19-2020,170862,5426,,165436.0,432.4282134163902,3155702.0,,3.1756622303379336,7986.6475748529765,,71.0,3776.0
3454,California,06-20-2020,175213,5494,,169719.0,443.43999577042274,3234412.0,,3.1356120835782733,8185.851755291014,,68.0,4351.0
3504,California,06-21-2020,178546,5515,,173031.0,451.8753601891749,3319256.0,,3.088839850794753,8400.580245763444,,21.0,3333.0
