ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
11,Idaho,04-12-2020,1407,27,,1380.0,87.36433536,14308.0,131.0,1.918976546,888.4214004,9.310589907999999,,
61,Idaho,04-13-2020,1426,27,,1399.0,88.54409539415472,14881.0,132.0,1.8934081346423561,924.0004793551308,9.256661991584851,0.0,19.0
111,Idaho,04-14-2020,1464,33,,1431.0,90.90361547,15114.0,135.0,2.254098361,938.468063,9.221311475,6.0,38.0
161,Idaho,04-15-2020,1473,39,,1434.0,91.46244916941791,15398.0,141.0,2.6476578411405294,956.1023708830256,9.572301425661914,6.0,9.0
211,Idaho,04-16-2020,1587,41,,1546.0,98.54100939026895,15831.0,143.0,2.58349086326402,982.9884811955563,9.010712035286703,2.0,114.0
261,Idaho,04-17-2020,1609,41,390.0,1568.0,99.90704732762622,16183.0,148.0,2.54816656308266,1004.845088193272,9.198259788688627,0.0,22.0
311,Idaho,04-18-2020,1655,43,453.0,1612.0,102.76330846937313,16609.0,151.0,2.598187311178248,1031.2965500711894,9.123867069486405,2.0,46.0
361,Idaho,04-19-2020,1668,44,520.0,1624.0,103.57051270508421,16869.0,151.0,2.6378896882494005,1047.440634785411,9.052757793764988,1.0,13.0
411,Idaho,04-20-2020,1672,45,585.0,1627.0,103.81888323914913,17445.0,151.0,2.691387559808613,1083.2059916907638,9.0311004784689,1.0,4.0
461,Idaho,04-21-2020,1736,48,660.0,1688.0,107.79281178418836,17660.0,157.0,2.7649769585253456,1096.5559078967551,9.04377880184332,3.0,64.0
511,Idaho,04-22-2020,1766,51,710.0,1715.0,109.65559078967549,17730.0,158.0,2.8878822197055487,1100.9023922428914,8.946772366930917,3.0,30.0
561,Idaho,04-23-2020,1836,54,767.0,1782.0,114.00207513581208,18092.0,162.0,2.9411764705882355,1123.3799255757694,8.823529411764708,3.0,70.0
611,Idaho,04-24-2020,1870,54,867.0,1816.0,116.11322467536421,19361.0,168.0,2.8877005347593583,1202.1754775078748,8.983957219251339,0.0,34.0
661,Idaho,04-25-2020,1887,56,867.0,1831.0,117.16879944514022,19361.0,168.0,2.9676735559088496,1202.1754775078748,8.903020667726551,2.0,17.0
711,Idaho,04-26-2020,1897,56,938.0,1841.0,117.7897257803026,19565.0,169.0,2.9520295202952034,1214.8423747451873,8.908803373748023,0.0,10.0
761,Idaho,04-27-2020,1897,56,983.0,1841.0,117.7897257803026,19895.0,169.0,2.9520295202952034,1235.3329438055455,8.908803373748023,0.0,0.0
811,Idaho,04-28-2020,1952,60,1039.0,1892.0,121.20482062369568,20052.0,172.0,3.0737704918032787,1245.081487267595,8.811475409836065,4.0,55.0
861,Idaho,04-29-2020,1952,60,1087.0,1892.0,121.20482062369568,28382.0,173.0,3.0737704918032787,1762.3131244578533,8.862704918032787,0.0,0.0
911,Idaho,04-30-2020,1984,60,1121.0,803.0,123.19178489621528,28693.0,175.0,3.0241935483870965,1781.6239334814036,8.820564516129034,0.0,32.0
961,Idaho,05-01-2020,2015,63,1175.0,777.0,125.11665653521864,29225.0,178.0,3.126550868486353,1814.657214512042,8.833746898263028,3.0,31.0
1011,Idaho,05-02-2020,2061,64,1215.0,782.0,127.97291767696557,29490.0,178.0,3.1052886948083454,1831.1117623938446,8.63658418243571,1.0,46.0
1061,Idaho,05-03-2020,2061,64,1267.0,730.0,127.97291767696557,29807.0,200.0,3.1052886948083454,1850.795127218492,9.704027171276081,0.0,0.0
1111,Idaho,05-04-2020,2106,64,1267.0,775.0,130.76708618519623,29807.0,200.0,3.0389363722697063,1850.795127218492,9.49667616334283,0.0,45.0
1161,Idaho,05-05-2020,2127,65,1358.0,704.0,132.07103148903724,30308.0,201.0,3.0559473436765403,1881.9035366101275,9.449929478138225,1.0,21.0
1211,Idaho,05-06-2020,2158,66,1379.0,713.0,133.9959031280406,30545.0,203.0,3.0583873957367933,1896.619490753476,9.406858202038926,1.0,31.0
1261,Idaho,05-07-2020,2178,67,1399.0,712.0,135.23775579836536,30890.0,205.0,3.076216712580349,1918.0414493165767,9.412304866850322,1.0,20.0
1311,Idaho,05-08-2020,2178,67,1420.0,691.0,135.23775579836536,31270.0,206.0,3.076216712580349,1941.636650052748,9.458218549127643,0.0,0.0
1361,Idaho,05-09-2020,2205,67,1442.0,696.0,136.91425690330377,31806.0,206.0,3.0385487528344672,1974.9183016174509,9.342403628117914,0.0,27.0
1411,Idaho,05-10-2020,2230,67,1473.0,690.0,138.4665727412097,32142.0,207.0,3.0044843049327348,1995.781426478907,9.282511210762332,0.0,25.0
1461,Idaho,05-11-2020,2260,70,1473.0,717.0,140.32935174669683,32142.0,207.0,3.0973451327433628,1995.781426478907,9.15929203539823,3.0,30.0
1511,Idaho,05-12-2020,2293,69,1508.0,716.0,142.3784086527327,32705.0,210.0,3.009158307893589,2030.7395791485485,9.158307893589184,-1.0,33.0
1561,Idaho,05-13-2020,2293,69,1536.0,688.0,142.3784086527327,33128.0,214.0,3.009158307893589,2057.004763125917,9.332751853467073,0.0,0.0
1611,Idaho,05-14-2020,2351,72,1557.0,722.0,131.55649067045687,33754.0,212.0,3.0625265844321565,1888.7953152235648,9.017439387494683,3.0,58.0
1661,Idaho,05-15-2020,2351,72,1573.0,706.0,131.55649067045687,34745.0,212.0,3.0625265844321565,1944.2493697767006,9.017439387494683,0.0,0.0
