ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
16,Kentucky,04-12-2020,1963,97,464.0,1866.0,57.34228025,24567.0,459.0,4.941416200000001,717.6402439,23.38257769,,
66,Kentucky,04-13-2020,2018,113,607.0,1905.0,58.948915710937655,25866.0,667.0,5.599603567888999,755.5860524177965,33.052527254707634,16.0,55.0
116,Kentucky,04-14-2020,2048,106,629.0,1942.0,59.82526233,26683.0,673.0,5.17578125,779.4518919,32.86132813,-7.0,30.0
166,Kentucky,04-15-2020,2210,115,653.0,2095.0,64.55753405409921,27697.0,687.0,5.203619909502263,809.0724075549257,31.08597285067873,9.0,162.0
216,Kentucky,04-16-2020,2435,129,862.0,2306.0,71.13013367499167,28324.0,807.0,5.297741273100616,827.3880518318127,33.14168377823409,14.0,225.0
266,Kentucky,04-17-2020,2522,137,956.0,2385.0,73.67153886173675,29747.0,971.0,5.4321966693100725,868.9560929897236,38.501189532117365,8.0,87.0
316,Kentucky,04-18-2020,2707,144,979.0,2563.0,79.07567632780388,30596.0,1008.0,5.319541928333949,893.7567022258912,37.23679349833764,7.0,185.0
366,Kentucky,04-19-2020,2960,146,1174.0,2814.0,86.46619945707405,32225.0,1059.0,4.9324324324324325,941.3423234811528,35.777027027027025,2.0,253.0
416,Kentucky,04-20-2020,3050,154,1174.0,2896.0,89.09523930543104,32572.0,1059.0,5.049180327868854,951.4787326742622,34.721311475409834,8.0,90.0
466,Kentucky,04-21-2020,3204,171,1174.0,3033.0,93.59381860150854,32820.0,1059.0,5.337078651685394,958.7231980341792,33.05243445692884,17.0,154.0
516,Kentucky,04-22-2020,3378,185,1266.0,3193.0,98.6766289749987,33328.0,1076.0,5.476613380698638,973.5626674004608,31.85316755476613,14.0,174.0
566,Kentucky,04-23-2020,3479,191,1311.0,3288.0,101.62699591593264,36075.0,1105.0,5.4900833572865775,1053.8068058830902,31.76200057487784,6.0,101.0
616,Kentucky,04-24-2020,3779,200,1341.0,3579.0,110.39046207712259,44962.0,1143.0,5.292405398253506,1313.4098851314068,30.24609685101879,9.0,300.0
