ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
21,Michigan,04-12-2020,24244,1479,433.0,22765.0,304.2953668,79437.0,3636.0,6.100478469,997.0430232,14.99752516,,
71,Michigan,04-13-2020,25635,1602,447.0,24033.0,321.7543197729608,82644.0,3986.0,6.249268578115858,1037.2952605155676,15.549054027696506,123.0,1391.0
121,Michigan,04-14-2020,27001,1768,452.0,25233.0,338.8994885,86226.0,3910.0,6.547905632999999,1082.254261,14.48094515,166.0,1366.0
171,Michigan,04-15-2020,28059,1921,452.0,26138.0,352.17883590830917,89697.0,3918.0,6.846288178481058,1125.8200593202755,13.963434192237784,153.0,1058.0
221,Michigan,04-16-2020,28809,1996,617.0,26813.0,361.5923619402858,94286.0,3809.0,6.928390433545072,1183.4182872679296,13.221562706098787,75.0,750.0
271,Michigan,04-17-2020,30023,2227,629.0,27796.0,376.82972274404534,98959.0,3674.0,7.4176464710388705,1242.0708301311654,12.23728474835959,231.0,1214.0
321,Michigan,04-18-2020,30791,2308,3237.0,28483.0,386.46917340078943,99727.0,3634.0,7.49569679451788,1251.7102807879096,11.802149978889934,81.0,768.0
371,Michigan,04-19-2020,31424,2391,3237.0,29033.0,394.41418937177775,109661.0,3403.0,7.608834012219959,1376.3955709234506,10.829302443991851,83.0,633.0
421,Michigan,04-20-2020,32000,2468,3237.0,29532.0,401.64377736433573,113798.0,3374.0,7.7125,1428.3205805158334,10.54375,77.0,576.0
471,Michigan,04-21-2020,32667,2575,3237.0,30092.0,410.01553984877364,117226.0,3357.0,7.882572626809933,1471.346670165988,10.276425750757646,107.0,667.0
521,Michigan,04-22-2020,33966,2813,3237.0,31153.0,426.31976693615707,118225.0,3305.0,8.281811222987692,1483.8854868405808,9.730318553847962,238.0,1299.0
571,Michigan,04-23-2020,35296,2977,3237.0,32319.0,443.0130864328624,128321.0,3611.0,8.43438349954669,1610.604098599029,10.230621033544876,164.0,1330.0
