ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
31,New York,04-12-2020,189033,9385,23887.0,179648.0,1121.124012,461601.0,42594.0,4.9647416060000005,2737.680538,22.53257368,,
81,New York,04-13-2020,195749,10058,23887.0,185691.0,1160.9555172357552,478357.0,42712.0,5.138212711176047,2837.057652188998,21.819779411389074,673.0,6716.0
131,New York,04-14-2020,203020,10842,23887.0,192178.0,1204.0786369999996,499143.0,46201.0,5.340360556,2960.336041,22.75687124,784.0,7271.0
181,New York,04-15-2020,214454,11617,23887.0,202837.0,1271.8918333849808,526012.0,46201.0,5.417012506178482,3119.6917150647723,21.5435478004607,775.0,11434.0
231,New York,04-16-2020,223691,14832,23887.0,208859.0,1326.6749797239493,550579.0,50450.0,6.630575213128825,3265.394600862048,22.55343308403109,3215.0,9237.0
281,New York,04-17-2020,230597,17131,23887.0,213466.0,1367.6333437617227,550579.0,52424.0,7.428977827118306,3265.394600862048,22.73403383391805,2299.0,6906.0
331,New York,04-18-2020,241712,17671,23887.0,224041.0,1433.5546029971488,596532.0,54339.0,7.310766532071224,3537.9343782480605,22.480886344078908,540.0,11115.0
381,New York,04-19-2020,247815,18298,23887.0,229517.0,1469.750504491868,617555.0,55723.0,7.383733833706597,3662.6183758104853,22.48572523858524,627.0,6103.0
431,New York,04-20-2020,253060,18611,23887.0,234449.0,1500.8577473789405,633861.0,57103.0,7.354382359914645,3759.3266127059296,22.56500434679523,313.0,5245.0
481,New York,04-21-2020,258361,19104,23887.0,239257.0,1532.2971171681436,649325.0,57103.0,7.394304867994782,3851.041084394336,22.102020041724572,493.0,5301.0
531,New York,04-22-2020,263292,19413,23887.0,243879.0,1561.5420770682683,669982.0,57103.0,7.373182626133722,3973.5543954178333,21.688087750482353,309.0,4931.0
581,New York,04-23-2020,263460,20973,23887.0,242487.0,1562.5384577746606,695920.0,57103.0,7.960601229788202,4127.388459479776,21.67425795187125,1560.0,168.0
631,New York,04-24-2020,271590,21411,23887.0,250179.0,1610.7561669590075,730656.0,57103.0,7.883574505688722,4333.402032201482,21.02544276298833,438.0,8130.0
681,New York,04-25-2020,282143,22009,23887.0,260134.0,1673.3442954980496,777568.0,57103.0,7.800654278149732,4611.629482786486,20.239027727074564,598.0,10553.0
731,New York,04-26-2020,288045,22269,23887.0,265776.0,1708.3480986476209,805350.0,57103.0,7.73108368484091,4776.400011268592,19.824333003523755,260.0,5902.0
781,New York,04-27-2020,291996,22668,23887.0,269328.0,1731.7808377604565,826095.0,57103.0,7.7631200427403115,4899.435235995439,19.55608980944945,399.0,3951.0
831,New York,04-28-2020,295106,22912,51630.0,272194.0,1750.2257425037922,844994.0,64275.0,7.763989888379091,5011.5221346270455,21.780309448130502,244.0,3110.0
881,New York,04-29-2020,299691,23477,53238.0,276214.0,1777.4186326157517,872481.0,65397.0,7.8337354141432325,5174.543066035428,21.82147612040401,565.0,4585.0
931,New York,04-30-2020,304372,23587,54771.0,226014.0,1805.1808831313635,900636.0,66369.0,7.749398762041188,5341.525796919226,21.805225184971018,110.0,4681.0
981,New York,05-01-2020,308314,24039,56187.0,228088.0,1828.5602447063568,927438.0,67180.0,7.796921320471988,5500.4841046140455,21.789474367041393,452.0,3942.0
1031,New York,05-02-2020,312977,24198,57540.0,231239.0,1856.215740146284,959071.0,67890.0,7.731558549030759,5688.09428845518,21.69168980468213,159.0,4663.0
1081,New York,05-03-2020,316415,24708,58950.0,232757.0,1876.6059596020998,985911.0,68736.0,7.808732202961299,5847.277967976443,21.723369625333813,510.0,3438.0
1131,New York,05-04-2020,318953,24999,58950.0,235004.0,1891.6584252736716,1007310.0,69331.0,7.837831906268321,5974.191960453175,21.737058438077092,291.0,2538.0
1181,New York,05-05-2020,321192,25124,58950.0,237118.0,1904.9375705213647,1028899.0,69867.0,7.822112630451567,6102.232812062138,21.752409773593364,125.0,2239.0
