ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
43,Utah,04-12-2020,2303,18,,2285.0,80.3592053,44234.0,195.0,0.781589231,1543.468991,8.467216674,,
93,Utah,04-13-2020,2363,13,218.0,2350.0,82.45280161569806,45787.0,201.0,0.5501481168006771,1597.6582427329529,8.506136267456624,-5.0,60.0
143,Utah,04-14-2020,2417,18,218.0,2399.0,84.33703829999997,46476.0,213.0,0.744724866,1621.699707,8.812577576,5.0,54.0
193,Utah,04-15-2020,2548,20,218.0,2528.0,88.90805692627958,47614.0,221.0,0.7849293563579278,1661.408250583939,8.673469387755103,2.0,131.0
243,Utah,04-16-2020,2683,20,357.0,2663.0,93.61864863940664,49678.0,238.0,0.7454342154304883,1733.427963886859,8.87066716362281,0.0,135.0
293,Utah,04-17-2020,2793,23,443.0,2770.0,97.45690855380647,55771.0,244.0,0.8234872896527032,1946.0326698726608,8.736126029359111,3.0,110.0
343,Utah,04-18-2020,2917,25,565.0,2892.0,101.78367427549357,59944.0,251.0,0.8570449091532396,2091.64229371621,8.604730887898526,2.0,124.0
393,Utah,04-19-2020,3069,27,679.0,3042.0,107.08745161175513,63555.0,259.0,0.8797653958944281,2217.641898724372,8.439231019876182,2.0,152.0
443,Utah,04-20-2020,3213,28,776.0,3185.0,112.11208277242399,68311.0,268.0,0.8714596949891068,2383.5943001142405,8.341114223467164,1.0,144.0
493,Utah,04-21-2020,3297,32,888.0,3265.0,115.04311761614748,72358.0,277.0,0.9705793145283592,2524.807371692205,8.401577191386107,4.0,84.0
543,Utah,04-22-2020,3445,32,970.0,3413.0,120.20732186461271,76460.0,288.0,0.9288824383164006,2667.9395732273692,8.359941944847606,0.0,148.0
593,Utah,04-23-2020,3612,35,1050.0,3577.0,126.03449828011064,80627.0,301.0,0.9689922480620154,2813.339837439224,8.333333333333334,3.0,167.0
643,Utah,04-24-2020,3782,39,1252.0,3743.0,131.96635451145582,84697.0,315.0,1.031200423056584,2955.355454272017,8.328926493918562,4.0,170.0
693,Utah,04-25-2020,3948,41,1399.0,3907.0,137.75863765500463,90206.0,329.0,1.038500506585613,3147.5824894395514,8.333333333333334,2.0,166.0
743,Utah,04-26-2020,4123,41,1568.0,4082.0,143.86496024609528,95702.0,345.0,0.9944215377152559,3339.3559120717464,8.367693427116178,0.0,175.0
793,Utah,04-27-2020,4236,41,1641.0,4195.0,147.80789997634238,100195.0,349.0,0.967894239848914,3496.131382939005,8.23890462700661,0.0,113.0
843,Utah,04-28-2020,4345,41,1704.0,4304.0,151.61126661879308,102439.0,370.0,0.9436133486766398,3574.4318851927615,8.51553509781358,0.0,109.0
893,Utah,04-29-2020,4497,45,1790.0,4452.0,156.91504395505467,105778.0,383.0,1.0006671114076051,3690.9405202307703,8.516788970424727,4.0,152.0
943,Utah,04-30-2020,4672,46,1939.0,2687.0,163.02136654614532,108501.0,390.0,0.9845890410958904,3785.95489974814,8.347602739726026,1.0,175.0
993,Utah,05-01-2020,4828,46,2062.0,2720.0,168.46471697020326,112558.0,403.0,0.9527754763877382,3927.5169040455958,8.347141673570839,0.0,156.0
1043,Utah,05-02-2020,4985,49,2185.0,2751.0,173.94296066621033,117804.0,418.0,0.9829488465396188,4110.567008690518,8.385155466399198,3.0,157.0
1093,Utah,05-03-2020,5175,50,2238.0,2887.0,180.57268233653724,122102.0,436.0,0.966183574879227,4260.538291527704,8.42512077294686,1.0,190.0
1143,Utah,05-04-2020,5317,50,2342.0,2925.0,185.52752695330798,124661.0,441.0,0.940379913485048,4349.830174445424,8.294150836938122,0.0,142.0
1193,Utah,05-05-2020,5449,56,2387.0,3006.0,190.13343885058768,126715.0,456.0,1.0277115066984768,4421.500955028853,8.368507983116167,6.0,132.0
1243,Utah,05-06-2020,5595,58,2509.0,3028.0,195.2278565551548,131002.0,464.0,1.0366398570151922,4571.088411874599,8.293118856121538,2.0,146.0
1293,Utah,05-07-2020,5724,61,2640.0,3023.0,199.7290886365873,134543.0,476.0,1.0656883298392732,4694.645487846326,8.315863032844165,3.0,129.0
1343,Utah,05-08-2020,5919,61,2769.0,3089.0,206.5332766666597,138688.0,488.0,1.0305794897786789,4839.278100075299,8.244635918229429,0.0,195.0
1393,Utah,05-09-2020,6103,66,2901.0,3136.0,212.9536387052921,143294.0,498.0,1.081435359659184,4999.996510672805,8.159921350155662,5.0,184.0
1443,Utah,05-10-2020,6251,67,3033.0,3151.0,218.11784295375733,146510.0,512.0,1.07182850743881,5112.213273261076,8.19068948968165,1.0,148.0
1493,Utah,05-11-2020,6362,68,3181.0,3113.0,221.99099614010623,150585.0,517.0,1.0688462747563658,5254.403356453616,8.12637535366237,1.0,111.0
1543,Utah,05-12-2020,6432,73,3267.0,3092.0,224.4335251765425,153485.0,535.0,1.1349502487562189,5355.593845105975,8.317786069651742,5.0,70.0
1593,Utah,05-13-2020,6620,75,3406.0,3139.0,230.9934603029713,156786.0,553.0,1.1329305135951662,5470.776535809919,8.353474320241691,2.0,188.0
1643,Utah,05-14-2020,6749,75,3566.0,3108.0,210.5142986901263,160119.0,558.0,1.1112757445547488,4994.4197647005985,8.267891539487332,0.0,129.0
1693,Utah,05-15-2020,6913,77,3719.0,3117.0,215.6297743139492,163218.0,566.0,1.1138434832923478,5091.083538836129,8.187472877187908,2.0,164.0
1743,Utah,05-16-2020,7068,78,3896.0,3094.0,220.46452261695256,166774.0,578.0,1.1035653650254669,5202.002022484386,8.177702320316921,1.0,155.0
1793,Utah,05-17-2020,7238,80,4075.0,3083.0,225.7671497879885,170752.0,586.0,1.1052777010223818,5326.083498286627,8.096159159988947,2.0,170.0
1843,Utah,05-18-2020,7384,80,4183.0,3121.0,230.32117077017227,174022.0,595.0,1.0834236186348862,5428.081091517731,8.057963163596966,0.0,146.0
1893,Utah,05-19-2020,7518,88,4183.0,3247.0,234.50088865793,174022.0,595.0,1.1705240755520083,5428.081091517731,7.914338919925513,8.0,134.0
1943,Utah,05-20-2020,7710,90,4423.0,3197.0,240.4897381687471,179664.0,631.0,1.1673151750972763,5604.065929747052,8.184176394293125,2.0,192.0
1993,Utah,05-21-2020,7874,92,4596.0,3186.0,245.60521379257003,182874.0,647.0,1.1684023368046736,5704.192007506024,8.216916433832868,2.0,164.0
2043,Utah,05-22-2020,8057,93,4748.0,3216.0,251.31333598256745,186834.0,1036.0,1.1542757850316494,5827.712028666626,12.858384013900954,1.0,183.0
2093,Utah,05-23-2020,8260,97,4898.0,3265.0,257.64529666327513,190779.0,1053.0,1.1743341404358354,5950.764170959195,12.748184019370461,4.0,203.0
2143,Utah,05-24-2020,8392,97,5081.0,3214.0,261.76263070196177,194433.0,688.0,1.1558627264061008,6064.739463211932,8.198284080076263,0.0,132.0
2193,Utah,05-25-2020,8521,98,5218.0,3205.0,265.786388967042,196468.0,692.0,1.1500997535500528,6128.215029641686,8.121112545475881,1.0,129.0
2243,Utah,05-26-2020,8620,101,5346.0,3173.0,268.874389496057,198592.0,696.0,1.17169373549884,6194.4666773551,8.074245939675174,3.0,99.0
2293,Utah,05-27-2020,8706,105,5499.0,3102.0,271.5568950061105,200626.0,716.0,1.206064782908339,6257.911051860318,8.224213186308294,4.0,86.0
2343,Utah,05-28-2020,8921,106,5623.0,3192.0,278.26315878124416,203507.0,734.0,1.1882076000448378,6347.774986447111,8.227777155027464,1.0,215.0
2393,Utah,05-29-2020,9264,107,5813.0,3344.0,288.9619888969225,205855.0,753.0,1.1550086355785838,6421.013625256474,8.128238341968911,1.0,343.0
2443,Utah,05-30-2020,9533,112,5995.0,3426.0,297.3526165969735,210105.0,763.0,1.1748662540648274,6553.579304532374,8.003776355816637,5.0,269.0
2493,Utah,05-31-2020,9797,113,6137.0,3547.0,305.5872846743469,213914.0,775.0,1.1534143105032153,6672.389345088114,7.910584872920282,1.0,264.0
2543,Utah,06-01-2020,9999,113,6251.0,3635.0,311.88805343051905,218112.0,789.0,1.1301130113011302,6803.333044288166,7.8907890789078925,0.0,202.0
2593,Utah,06-02-2020,10202,113,6319.0,3770.0,318.2200141112266,221791.0,801.0,1.1076259556949617,6918.088134654289,7.851401685943933,0.0,203.0
2643,Utah,06-03-2020,10497,117,6501.0,3879.0,327.4216318492008,223981.0,829.0,1.1146041726207487,6986.398449387049,7.8974945222444495,4.0,295.0
2693,Utah,06-04-2020,10813,117,6628.0,4068.0,337.2782800024205,227507.0,850.0,1.0820308887450292,7096.381175299241,7.860908166096365,0.0,316.0
2743,Utah,06-05-2020,11252,120,6788.0,4344.0,350.9715348735074,232197.0,870.0,1.0664770707429791,7242.671301370758,7.731958762886598,3.0,439.0
2793,Utah,06-06-2020,11798,121,6939.0,4738.0,368.00232566989337,235149.0,890.0,1.0255975589082895,7334.749862599571,7.543651466350229,1.0,546.0
2843,Utah,06-07-2020,12066,121,7108.0,4837.0,376.3617614454088,237951.0,900.0,1.002817835239516,7422.149635148059,7.458975634012929,0.0,268.0
2893,Utah,06-08-2020,12322,124,7255.0,4943.0,384.34689412649817,242899.0,918.0,1.0063301412108423,7576.487277749738,7.450089271222204,3.0,256.0
2943,Utah,06-09-2020,12559,127,7391.0,5041.0,391.73938024141296,246860.0,931.0,1.0112270085197863,7700.038490834877,7.413010590015127,3.0,237.0
2993,Utah,06-10-2020,12864,128,7587.0,5149.0,401.2529172247422,249760.0,954.0,0.9950248756218906,7790.495071987842,7.416044776119403,1.0,305.0
3043,Utah,06-11-2020,13252,131,7745.0,5376.0,413.3553839445183,254668.0,968.0,0.9885300332025356,7943.585037608103,7.304557802595832,3.0,388.0
3093,Utah,06-12-2020,13577,139,7935.0,5503.0,423.4927594185577,258786.0,988.0,1.0237902334830964,8072.033382845315,7.2770125948294915,8.0,325.0
3143,Utah,06-13-2020,13981,139,8114.0,5728.0,436.0942969309018,262782.0,1012.0,0.9942064230026464,8196.676313289194,7.238394964594808,0.0,404.0
3193,Utah,06-14-2020,14313,139,8252.0,5922.0,446.45001587668963,267713.0,1028.0,0.9711451128344859,8350.483693173772,7.182281841682388,0.0,332.0
3243,Utah,06-15-2020,14608,143,8380.0,6085.0,455.6516336146637,272938.0,1041.0,0.9789156626506024,8513.461498871788,7.126232201533407,4.0,295.0
3293,Utah,06-16-2020,14937,145,8470.0,6322.0,465.913776786845,275700.0,1073.0,0.9707437905871328,8599.613594438853,7.183504050344782,2.0,329.0
3343,Utah,06-17-2020,15344,149,8552.0,6643.0,478.6088900727957,278692.0,1102.0,0.9710636079249216,8692.939832649086,7.181960375391033,4.0,407.0
3393,Utah,06-18-2020,15839,152,8786.0,6901.0,494.04889271787084,282685.0,1120.0,0.9596565439737356,8817.48918731936,7.071153481911737,3.0,495.0
3443,Utah,06-19-2020,16425,155,9113.0,7157.0,512.3273604956771,287358.0,1145.0,0.9436834094368342,8963.249050673776,6.971080669710807,3.0,586.0
3493,Utah,06-20-2020,17068,155,9390.0,7523.0,532.3837679720071,292877.0,1161.0,0.9081321771736584,9135.397282185231,6.802202952894305,0.0,643.0
3543,Utah,06-21-2020,17462,158,9659.0,7645.0,544.6733862389963,296395.0,1184.0,0.9048218989806436,9245.13047270114,6.780437521475204,3.0,394.0
3593,Utah,06-22-2020,17906,158,9863.0,7885.0,558.5226007327607,299312.0,1192.0,0.8823857924717972,9336.11731657121,6.656986484977102,0.0,444.0
3643,Utah,06-23-2020,18300,163,10057.0,8080.0,570.8122189997498,302276.0,1226.0,0.8907103825136612,9428.570180894449,6.699453551912567,5.0,394.0
3693,Utah,06-24-2020,18784,163,10334.0,8287.0,585.9091104749344,304738.0,1256.0,0.8677597955706985,9505.36469910086,6.686541737649063,0.0,484.0
3743,Utah,06-25-2020,19374,164,10642.0,8568.0,604.3123459508827,312054.0,1290.0,0.8464953029833798,9733.56481900262,6.658408175905852,1.0,590.0
3793,Utah,06-26-2020,20050,166,11097.0,8787.0,625.3980869368844,317568.0,1321.0,0.8279301745635909,9905.557090891396,6.5885286783042405,2.0,676.0
3843,Utah,06-27-2020,20628,167,11658.0,8803.0,643.4270193184066,322802.0,1365.0,0.8095792127205741,10068.815623910232,6.617219313554393,1.0,578.0
