ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
44,Vermont,04-12-2020,727,27,15.0,700.0,119.0649715,9841.0,34.0,3.71389271,1611.717172,4.6767537830000006,,
94,Vermont,04-13-2020,748,28,15.0,720.0,122.50426226393772,10366.0,33.0,3.7433155080213902,1697.699442016014,4.411764705882354,1.0,21.0
144,Vermont,04-14-2020,752,29,15.0,723.0,123.1593653,10585.0,64.0,3.856382979,1733.566332,8.510638298,1.0,4.0
194,Vermont,04-15-2020,759,29,15.0,730.0,124.30579553252504,11081.0,63.0,3.820816864295125,1814.7991044741896,8.300395256916996,0.0,7.0
244,Vermont,04-16-2020,774,33,15.0,741.0,126.7624318078714,11507.0,58.0,4.263565891472869,1884.5675746940256,7.493540051679586,4.0,15.0
294,Vermont,04-17-2020,779,35,15.0,744.0,127.58131056632016,12116.0,32.0,4.492939666238769,1984.307007473088,4.10783055198973,2.0,5.0
344,Vermont,04-18-2020,803,38,15.0,765.0,131.5119286068743,12566.0,56.0,4.732254047322541,2058.006095733478,6.973848069738481,3.0,24.0
394,Vermont,04-19-2020,813,38,15.0,775.0,133.14968612377191,12726.0,53.0,4.674046740467404,2084.210216003839,6.519065190651907,0.0,10.0
444,Vermont,04-20-2020,816,38,15.0,778.0,133.64101337884117,12981.0,49.0,4.65686274509804,2125.9730326847266,6.004901960784314,0.0,3.0
494,Vermont,04-21-2020,818,40,1710.0,778.0,133.96856488222068,13111.0,41.0,4.88997555012225,2147.263880404395,5.0122249388753035,2.0,2.0
544,Vermont,04-22-2020,823,40,1710.0,783.0,134.78744364066944,13462.0,37.0,4.860267314702309,2204.7491692475,4.4957472660996345,0.0,5.0
594,Vermont,04-23-2020,825,43,1710.0,782.0,135.11499514404898,13852.0,44.0,5.212121212121212,2268.621712406505,5.333333333333333,3.0,2.0
644,Vermont,04-24-2020,827,44,1710.0,783.0,135.4425466474285,14310.0,32.0,5.32043530834341,2343.631006680413,3.8694074969770256,1.0,2.0
694,Vermont,04-25-2020,843,46,1710.0,797.0,138.06295867446457,14682.0,37.0,5.456702253855278,2404.555586309002,4.389086595492288,2.0,16.0
744,Vermont,04-26-2020,851,46,,805.0,139.37316468798264,14797.0,34.0,5.405405405405406,2423.3897977533247,3.9952996474735607,0.0,8.0
794,Vermont,04-27-2020,855,47,,808.0,140.02826769474166,15073.0,33.0,5.497076023391813,2468.591905219697,3.8596491228070176,1.0,4.0
844,Vermont,04-28-2020,862,47,,815.0,141.17469795657,15215.0,,5.452436194895592,2491.8480619596426,,0.0,7.0
894,Vermont,04-29-2020,862,47,,815.0,141.17469795657,15429.0,,5.452436194895592,2526.89607282125,,0.0,0.0
944,Vermont,04-30-2020,866,49,0.0,817.0,141.82980096332898,15652.0,,5.658198614318707,2563.418065448066,,2.0,4.0
994,Vermont,05-01-2020,879,50,0.0,829.0,143.9588857352958,16233.0,,5.688282138794084,2658.5717771798145,,1.0,13.0
1044,Vermont,05-02-2020,886,51,0.0,835.0,145.1053159971241,16591.0,,5.756207674943568,2717.203496284747,,1.0,7.0
1094,Vermont,05-03-2020,897,53,0.0,844.0,146.90684926571143,16954.0,,5.908584169453737,2776.6540941481285,,2.0,11.0
1144,Vermont,05-04-2020,902,52,0.0,850.0,147.7257280241602,17332.0,,5.764966740576496,2838.561328286857,,-1.0,5.0
1194,Vermont,05-05-2020,907,52,,855.0,148.54460678260898,17518.0,,5.733186328555679,2869.023618101151,,0.0,5.0
1244,Vermont,05-06-2020,908,52,706.0,150.0,148.70838253429875,17876.0,,5.7268722466960345,2927.655337206084,,0.0,1.0
1294,Vermont,05-07-2020,916,53,718.0,145.0,150.01858854781682,18451.0,,5.786026200873362,3021.8263944276937,,1.0,8.0
1344,Vermont,05-08-2020,919,53,737.0,129.0,150.5099158028861,19008.0,,5.767138193688793,3113.049488118888,,0.0,3.0
1394,Vermont,05-09-2020,921,53,744.0,124.0,150.8374673062656,19527.0,,5.754614549402822,3198.049103245872,,0.0,2.0
1444,Vermont,05-10-2020,927,53,777.0,97.0,151.82012181640408,20048.0,,5.717367853290184,3283.376269876235,,0.0,6.0
1494,Vermont,05-11-2020,926,53,785.0,88.0,151.65634606471434,20871.0,,5.72354211663067,3418.1637135169044,,0.0,-1.0
1544,Vermont,05-12-2020,927,53,787.0,87.0,151.82012181640408,21262.0,,5.717367853290184,3482.2000324275987,,0.0,1.0
1594,Vermont,05-13-2020,929,53,789.0,87.0,152.14767331978362,21676.0,,5.705059203444562,3550.003193627158,,0.0,2.0
1644,Vermont,05-14-2020,932,53,792.0,87.0,149.36160733602674,22505.0,,5.686695278969957,3606.6340913060967,,0.0,3.0
1694,Vermont,05-15-2020,933,53,796.0,84.0,149.52186657136585,23205.0,,5.680600214362272,3718.8155560434557,,0.0,1.0
1744,Vermont,05-16-2020,934,53,804.0,77.0,149.6821258067049,22276.0,,5.674518201284799,3569.934726413447,,0.0,1.0
1794,Vermont,05-17-2020,940,54,810.0,76.0,150.64368121873943,22282.0,,5.74468085106383,3570.896281825481,,1.0,6.0
1844,Vermont,05-18-2020,940,54,815.0,71.0,150.64368121873943,23825.0,,5.74468085106383,3818.1762819536875,,0.0,0.0
1894,Vermont,05-19-2020,944,54,820.0,70.0,151.28471816009574,24591.0,,5.720338983050849,3940.9348562234272,,0.0,4.0
1944,Vermont,05-20-2020,944,54,824.0,66.0,151.28471816009574,25058.0,,5.720338983050849,4015.7759191267796,,0.0,0.0
1994,Vermont,05-21-2020,950,54,827.0,69.0,152.24627357213032,25701.0,,5.684210526315789,4118.822607449811,,0.0,6.0
2044,Vermont,05-22-2020,952,54,834.0,64.0,152.5667920428085,25733.0,,5.6722689075630255,4123.950902980661,,0.0,2.0
2094,Vermont,05-23-2020,954,54,837.0,63.0,152.88731051348663,27424.0,,5.660377358490566,4394.949269939053,,0.0,2.0
2144,Vermont,05-24-2020,956,54,839.0,63.0,153.20782898416482,28590.0,,5.648535564853558,4581.8115383444265,,0.0,2.0
2194,Vermont,05-25-2020,962,54,843.0,65.0,154.16938439619932,29669.0,,5.613305613305613,4754.731253275298,,0.0,6.0
2244,Vermont,05-26-2020,967,54,848.0,65.0,154.97068057289468,30423.0,,5.584281282316444,4875.566716720968,,0.0,5.0
2294,Vermont,05-27-2020,971,54,849.0,68.0,155.611717514251,30999.0,,5.561277033985583,4967.876036276281,,0.0,4.0
2344,Vermont,05-28-2020,974,55,855.0,64.0,156.09249522026832,31152.0,,5.646817248459959,4992.395699283161,,1.0,3.0
2394,Vermont,05-29-2020,975,55,859.0,61.0,156.2527544556074,31885.0,,5.641025641025642,5109.865718786709,,0.0,1.0
2444,Vermont,05-30-2020,977,55,865.0,57.0,156.57327292628554,32667.0,,5.629477993858751,5235.188440821874,,0.0,2.0
2494,Vermont,05-31-2020,981,55,873.0,53.0,157.2143098676419,33970.0,,5.606523955147809,5444.0062244687015,,0.0,4.0
2544,Vermont,06-01-2020,983,55,880.0,48.0,157.5348283383201,35326.0,,5.595116988809767,5661.3177475884995,,0.0,2.0
2594,Vermont,06-02-2020,988,55,879.0,54.0,158.33612451501546,36619.0,,5.566801619433198,5868.532938881936,,0.0,5.0
2644,Vermont,06-03-2020,990,55,879.0,56.0,158.65664298569362,37195.0,,5.5555555555555545,5960.842258437248,,0.0,2.0
2694,Vermont,06-04-2020,1026,55,881.0,90.0,164.4259754579007,37834.0,,5.360623781676413,6063.247909818923,,0.0,36.0
2744,Vermont,06-05-2020,1027,55,882.0,90.0,164.58623469323982,39117.0,,5.355404089581305,6268.8605087589685,,0.0,1.0
2794,Vermont,06-06-2020,1046,55,888.0,103.0,167.6311601646824,40083.0,,5.258126195028682,6423.670930096523,,0.0,19.0
2844,Vermont,06-07-2020,1063,55,890.0,118.0,170.35556716544681,41218.0,,5.174035747883348,6605.565162206385,,0.0,17.0
2894,Vermont,06-08-2020,1075,55,895.0,125.0,172.27867798951584,42798.0,,5.116279069767441,6858.774754042139,,0.0,12.0
2944,Vermont,06-09-2020,1084,55,901.0,128.0,173.7210111075676,44228.0,,5.07380073800738,7087.94546057703,,0.0,9.0
2994,Vermont,06-10-2020,1095,55,903.0,137.0,175.48386269629754,45742.0,,5.0228310502283104,7330.577942880403,,0.0,11.0
3044,Vermont,06-11-2020,1110,55,905.0,150.0,177.88775122638378,47209.0,,4.954954954954955,7565.6782411228405,,0.0,15.0
3094,Vermont,06-12-2020,1119,55,907.0,157.0,179.3300843444356,48634.0,,4.915102770330654,7794.047651481036,,0.0,9.0
3144,Vermont,06-13-2020,1125,55,908.0,162.0,180.29163975647012,49933.0,,4.888888888888889,8002.224398186508,,0.0,6.0
3194,Vermont,06-14-2020,1127,55,909.0,163.0,180.61215822714826,50982.0,,4.880212954747116,8170.336336057206,,0.0,2.0
3244,Vermont,06-15-2020,1128,55,912.0,161.0,180.77241746248728,52557.0,,4.875886524822695,8422.744631716265,,0.0,1.0
3294,Vermont,06-16-2020,1131,55,914.0,162.0,181.25319516850456,52890.0,,4.862953138815207,8476.11095708418,,0.0,3.0
3344,Vermont,06-17-2020,1130,55,915.0,160.0,181.09293593316548,53663.0,,4.867256637168142,8599.991346001292,,0.0,-1.0
3394,Vermont,06-18-2020,1135,56,917.0,162.0,181.89423210986087,54745.0,,4.933920704845815,8773.391838638181,,1.0,5.0
