ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
19,Maryland,04-12-2020,8225,236,456.0,7989.0,138.3903145,49764.0,1860.0,2.869300912,837.3076732000002,22.61398176,,
69,Maryland,04-13-2020,8936,262,603.0,8674.0,150.3532949093396,51751.0,1975.0,2.9319606087735006,870.7400811160737,22.10161145926589,26.0,711.0
119,Maryland,04-14-2020,9472,302,607.0,9170.0,159.371801,53733.0,2122.0,3.18834459,904.0883612,22.4028716,40.0,536.0
169,Maryland,04-15-2020,10032,311,607.0,9721.0,168.79411979974208,55763.0,2231.0,3.100079744816587,938.244268579846,22.238835725677827,9.0,560.0
219,Maryland,04-16-2020,10784,319,736.0,10465.0,181.44694855666046,58843.0,2451.0,2.958086053412463,990.0670246587144,22.72811572700297,8.0,752.0
269,Maryland,04-17-2020,11572,334,736.0,11238.0,194.70549783917613,62009.0,2612.0,2.886277220877981,1043.3367797709536,22.57172485309368,15.0,788.0
319,Maryland,04-18-2020,12326,421,771.0,11905.0,207.3919777364056,65370.0,2757.0,3.4155443777381147,1099.8875210635106,22.367353561577158,87.0,754.0
369,Maryland,04-19-2020,12847,461,914.0,12386.0,216.1580997874089,67891.0,2886.0,3.5883863937105938,1142.3047834254671,22.46438857320776,40.0,521.0
419,Maryland,04-20-2020,13684,582,917.0,13102.0,230.2411020075429,71397.0,3014.0,4.253142356036247,1201.2952323905686,22.02572347266881,121.0,837.0
469,Maryland,04-21-2020,14193,652,930.0,13541.0,238.80531721668046,73635.0,3158.0,4.593813851898823,1238.9508583985255,22.25040512928909,70.0,509.0
519,Maryland,04-22-2020,14775,698,981.0,14077.0,248.597799047168,76529.0,3325.0,4.7241962774957695,1287.6440584284744,22.50423011844332,46.0,582.0
569,Maryland,04-23-2020,15737,748,1040.0,14989.0,264.78399753673654,80100.0,3477.0,4.753129567261867,1347.7281694536819,22.094427146215924,50.0,962.0
619,Maryland,04-24-2020,16616,798,1108.0,15818.0,279.5736737034005,84716.0,3618.0,4.80259990370727,1425.3950012913626,21.774193548387093,50.0,879.0
669,Maryland,04-25-2020,17766,875,1165.0,16891.0,298.9230793821987,89123.0,3760.0,4.925137903861309,1499.5452889665482,21.164021164021165,77.0,1150.0
719,Maryland,04-26-2020,18581,910,1177.0,17671.0,312.63591905891224,96665.0,3962.0,4.897475916258544,1626.4437390791534,21.322856681556424,35.0,815.0
769,Maryland,04-27-2020,19487,945,1263.0,18542.0,327.87988561977414,104976.0,4101.0,4.849386770667625,1766.2810526413198,21.04479909683379,35.0,906.0
819,Maryland,04-28-2020,20113,1016,1295.0,19097.0,338.4126925371025,107785.0,4268.0,5.051459255208076,1813.544079208054,21.220106398846518,71.0,626.0
869,Maryland,04-29-2020,20849,1078,1361.0,19771.0,350.79631217153326,110929.0,4402.0,5.170511775145091,1866.4436717768729,21.11372248069452,62.0,736.0
919,Maryland,04-30-2020,21742,1140,1432.0,19170.0,365.821546320374,114359.0,4559.0,5.243307883359396,1924.1553774101571,20.96863214055745,62.0,893.0
969,Maryland,05-01-2020,23472,1080,1517.0,20875.0,394.9297826893488,120983.0,4718.0,4.601226993865031,2035.6079541200354,20.10054533060668,-60.0,1730.0
1019,Maryland,05-02-2020,24473,1251,1590.0,21632.0,411.77217841498083,125522.0,4910.0,5.111755812528092,2111.979217055744,20.06292649041801,171.0,1001.0
1069,Maryland,05-03-2020,25462,1281,1666.0,22515.0,428.4126672987472,132794.0,5051.0,5.03102662791611,2234.3347632263703,19.837404760034566,30.0,989.0
1119,Maryland,05-04-2020,26408,1317,1695.0,23396.0,444.32965666582817,136995.0,5199.0,4.987125113601938,2305.0189834495277,19.687215995152982,36.0,946.0
1169,Maryland,05-05-2020,27117,1390,1810.0,23917.0,456.2589859060612,140103.0,5337.0,5.125935759855442,2357.312855492749,19.68138068370395,73.0,709.0
1219,Maryland,05-06-2020,28163,1437,1903.0,24823.0,473.8585322886898,144012.0,5497.0,5.102439370805668,2423.084009230508,19.51851720342293,47.0,1046.0
