ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
24,Missouri,04-12-2020,4269,118,,4151.0,72.85659283,45200.0,988.0,2.764113375,771.4026695,23.14359335,,
74,Missouri,04-13-2020,4515,123,,4392.0,77.05493479258142,45428.0,988.0,2.7242524916943522,775.2938156716257,21.882613510520486,5.0,246.0
124,Missouri,04-14-2020,4746,149,,4597.0,80.99728029,47978.0,1041.0,3.1394858830000003,818.8132141,21.93426043,26.0,231.0
174,Missouri,04-15-2020,4791,153,,4638.0,81.76526967691198,49012.0,1024.0,3.1934877896055105,836.4599034449617,21.3734084742225,4.0,45.0
224,Missouri,04-16-2020,5174,169,,5005.0,88.30171265045765,50648.0,1043.0,3.2663316582914574,864.3805841361383,20.158484731349045,16.0,383.0
274,Missouri,04-17-2020,5371,184,,5187.0,91.6637995063023,51717.0,1043.0,3.4258052504189163,882.6245985975488,19.41910258797245,15.0,197.0
324,Missouri,04-18-2020,5579,197,,5382.0,95.2136171002905,53759.0,875.0,3.5310987632192146,917.474250169299,15.683814303638645,13.0,208.0
374,Missouri,04-19-2020,5743,199,,5544.0,98.01251174170434,53909.0,875.0,3.4650879331359916,920.0342147803482,15.235939404492425,2.0,164.0
424,Missouri,04-20-2020,5890,200,,5690.0,100.52127706053257,56013.0,873.0,3.3955857385398978,955.9419850579984,14.821731748726654,1.0,147.0
474,Missouri,04-21-2020,6066,224,,5842.0,103.52496887083036,57120.0,1001.0,3.692713484998352,974.8345238875418,16.501813386086386,24.0,176.0
524,Missouri,04-22-2020,6277,238,,6039.0,107.12598575703957,58156.0,1001.0,3.7916202007328335,992.5153461345217,15.947108491317508,14.0,211.0
574,Missouri,04-23-2020,6506,252,,6254.0,111.03419839657472,59450.0,884.0,3.873347679065478,1014.5993075125062,13.58745773132493,14.0,229.0
624,Missouri,04-24-2020,6788,272,,6516.0,115.84693186534723,67017.0,877.0,4.007071302298173,1143.7409889245691,12.919858573954036,20.0,282.0
674,Missouri,04-25-2020,6935,281,,6654.0,118.35569718417544,67218.0,850.0,4.051910598413843,1147.1713415033748,12.256669069935114,9.0,147.0
724,Missouri,04-26-2020,7120,283,,6837.0,121.51298687113615,69748.0,679.0,3.9747191011235965,1190.3494112764051,9.536516853932584,2.0,185.0
774,Missouri,04-27-2020,7305,343,,6962.0,124.67027655809687,71106.0,679.0,4.695414099931553,1213.5256242217708,9.295003422313483,60.0,185.0
824,Missouri,04-28-2020,7450,330,,7120.0,127.14490901544443,73503.0,,4.429530201342282,1254.4338587063373,,-13.0,145.0
874,Missouri,04-29-2020,7660,338,,7322.0,130.7288594709133,77159.0,,4.412532637075718,1316.828729492977,,8.0,210.0
924,Missouri,04-30-2020,7818,350,0.0,7468.0,133.42535552788522,80687.0,,4.476848298797647,1377.0390971448544,,12.0,158.0
974,Missouri,05-01-2020,8067,360,0.0,7707.0,137.67489678222688,82425.0,,4.462625511342506,1406.7005537715447,,10.0,249.0
1024,Missouri,05-02-2020,8356,376,0.0,7980.0,142.60709526618172,82744.0,,4.4997606510292005,1412.1447451777094,,16.0,289.0
1074,Missouri,05-03-2020,8618,381,0.0,8237.0,147.07850012014768,82976.0,,4.420979345555813,1416.1041571094656,,5.0,262.0
1124,Missouri,05-04-2020,8946,386,0.0,8560.0,152.6762894029753,91451.0,,4.3147775542141735,1560.7421576337467,,5.0,328.0
1174,Missouri,05-05-2020,9121,409,,8712.0,155.66291478253268,95066.0,,4.484157438877316,1622.4373047600322,,23.0,175.0
1224,Missouri,05-06-2020,9323,428,,8895.0,159.110333792079,100747.0,,4.590796953770246,1719.3916977958365,,19.0,202.0
1274,Missouri,05-07-2020,9581,449,,9132.0,163.51347292308364,103622.0,,4.686358417701701,1768.4576861742794,,21.0,258.0
1324,Missouri,05-08-2020,9733,483,,9250.0,166.10757039561355,108721.0,,4.962498715709441,1855.4794165192127,,34.0,152.0
1374,Missouri,05-09-2020,9911,494,,9417.0,169.14539506739192,108898.0,,4.984360811219856,1858.500174760251,,11.0,178.0
1424,Missouri,05-10-2020,10068,503,,9565.0,171.82482469362344,115546.0,,4.996027016289234,1971.957806321952,,9.0,157.0
1474,Missouri,05-11-2020,10157,514,,9643.0,173.34373702951262,115620.0,,5.060549374815398,1973.2207221967365,,11.0,89.0
1524,Missouri,05-12-2020,10269,529,,9740.0,175.2551772724294,121296.0,,5.151426623819262,2070.0897830788385,,15.0,112.0
1574,Missouri,05-13-2020,10404,551,,9853.0,177.5591454223737,124142.0,,5.2960399846213,2118.6608449658124,,22.0,135.0
1624,Missouri,05-14-2020,10594,566,,10028.0,172.61302291448467,127110.0,,5.342646781196904,2071.062992510869,,15.0,190.0
1674,Missouri,05-15-2020,10766,581,,10185.0,175.4154997826451,134458.0,,5.3966189856957065,2190.787411273908,,15.0,172.0
1724,Missouri,05-16-2020,10959,594,,10365.0,178.5601395242437,139340.0,,5.420202573227483,2270.332132613205,,13.0,193.0
1774,Missouri,05-17-2020,11108,600,,10508.0,180.9878665786385,157044.0,,5.401512423478575,2558.791728391763,,6.0,149.0
1824,Missouri,05-18-2020,11242,611,,10631.0,183.17119158057739,151338.0,,5.4349759829211886,2465.821187637557,,11.0,134.0
1874,Missouri,05-19-2020,11393,631,,10762.0,185.6315055752996,154110.0,,5.538488545598175,2510.9866869313987,,20.0,151.0
1924,Missouri,05-20-2020,11528,640,,10888.0,187.83112404740226,161984.0,,5.551700208188758,2639.281471000556,,9.0,135.0
1974,Missouri,05-21-2020,11689,668,,11021.0,190.45437274376167,162092.0,,5.7147745743861735,2641.041165778238,,28.0,161.0
2024,Missouri,05-22-2020,11836,677,,11159.0,192.849512857829,172946.0,,5.7198377830348095,2817.890490935291,,9.0,147.0
2074,Missouri,05-23-2020,11966,682,,11284.0,194.96766397911307,148304.0,,5.699481865284972,2416.386799160821,,5.0,130.0
2124,Missouri,05-24-2020,12149,686,,11463.0,197.94936901907445,151619.0,,5.646555272038852,2470.399652753564,,4.0,183.0
2174,Missouri,05-25-2020,12476,689,,11787.0,203.277333762612,157385.0,,5.522603398525169,2564.347801717593,,3.0,327.0
2224,Missouri,05-26-2020,12579,693,,11886.0,204.95556118947547,160298.0,,5.509181969949917,2611.8106803045184,,4.0,103.0
2274,Missouri,05-27-2020,12816,689,,12127.0,208.8171136182779,165521.0,,5.376092384519351,2696.911474969645,,-4.0,237.0
2324,Missouri,05-28-2020,12981,708,,12273.0,211.50553619529225,171067.0,,5.454125259995378,2787.2750604976545,,19.0,165.0
2374,Missouri,05-29-2020,13084,730,,12354.0,213.18376362215574,177850.0,,5.5793335371446044,2897.7936686181897,,22.0,103.0
2424,Missouri,05-30-2020,13298,774,,12524.0,216.67056623719253,185430.0,,5.820424123928411,3021.298172459213,,44.0,214.0
2474,Missouri,05-31-2020,13438,776,,12662.0,218.95165206011384,193561.0,,5.774668849531182,3153.780378360447,,2.0,140.0
2524,Missouri,06-01-2020,13724,776,,12948.0,223.61158452693863,199708.0,,5.654328184202857,3253.936339456854,,0.0,286.0
2574,Missouri,06-02-2020,14015,786,,13229.0,228.35298434458213,205430.0,,5.608276846236175,3347.1675757336793,,10.0,291.0
2624,Missouri,06-03-2020,14189,791,,13398.0,231.18804815306999,211353.0,,5.5747409965466215,3443.6737995134117,,5.0,174.0
2674,Missouri,06-04-2020,14438,795,,13643.0,235.2451222238371,218661.0,,5.506302812023826,3562.7464794699017,,4.0,249.0
2724,Missouri,06-05-2020,14572,805,,13767.0,237.42844722577598,224542.0,,5.524293164973923,3658.5683775027587,,10.0,134.0
2774,Missouri,06-06-2020,14951,815,,14136.0,243.60367241782714,230065.0,,5.451140391947027,3748.5572132170014,,10.0,379.0
2824,Missouri,06-07-2020,15023,815,,14208.0,244.77680226961516,236858.0,,5.425014977035213,3859.238756039175,,0.0,72.0
2874,Missouri,06-08-2020,15158,823,,14335.0,246.97642074171787,241461.0,,5.429476184193165,3934.237599202793,,8.0,135.0
2924,Missouri,06-09-2020,15352,845,,14507.0,250.1373539534802,245695.0,,5.504168837936425,4003.2241518759965,,22.0,194.0
2974,Missouri,06-10-2020,15512,851,,14661.0,252.7443091796759,251629.0,,5.4860752965446125,4099.909603827532,,6.0,160.0
3024,Missouri,06-11-2020,15699,862,,14837.0,255.79118810029217,259040.0,,5.490795592075927,4220.6605112108855,,11.0,187.0
3074,Missouri,06-12-2020,15997,881,,15116.0,260.64664220908173,265135.0,,5.507282615490404,4319.969211858778,,19.0,298.0
3124,Missouri,06-13-2020,16232,885,,15347.0,264.4756076975567,269796.0,,5.45219319862001,4395.913076291893,,4.0,235.0
3174,Missouri,06-14-2020,16262,885,,15377.0,264.9644118024684,275489.0,,5.442135038740623,4488.6718019339705,,0.0,30.0
3224,Missouri,06-15-2020,16611,887,,15724.0,270.65083288960784,279941.0,,5.339835049063874,4561.210331102866,,2.0,349.0
3274,Missouri,06-16-2020,16857,891,,15966.0,274.6590265498838,284791.0,,5.285638013881473,4640.233661396924,,4.0,246.0
3324,Missouri,06-17-2020,17069,909,,16160.0,278.1132422245931,285002.0,,5.325443786982248,4643.671583601469,,18.0,212.0
