ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
26,Nebraska,04-12-2020,791,17,,774.0,51.85960275,10691.0,,2.149178255,700.924163,,,
76,Nebraska,04-13-2020,814,17,,797.0,53.36753051259054,10972.0,,2.0884520884520885,719.3471066144267,,0.0,23.0
126,Nebraska,04-14-2020,897,20,,877.0,58.80918289,11357.0,,2.229654404,744.5885062000001,,3.0,83.0
176,Nebraska,04-15-2020,901,20,,881.0,59.071431193911636,11729.0,,2.2197558268590454,768.9775987496,,0.0,4.0
226,Nebraska,04-16-2020,952,21,,931.0,62.41509711054815,12294.0,,2.2058823529411766,806.0201721397888,,1.0,51.0
276,Nebraska,04-17-2020,1066,24,,1042.0,69.8891738653827,13104.0,,2.25140712945591,859.1254543451922,,3.0,114.0
326,Nebraska,04-18-2020,1249,24,,1225.0,81.88703391919606,13677.0,,1.9215372297838271,896.6925243497552,,0.0,183.0
376,Nebraska,04-19-2020,1474,28,,1446.0,96.63850119847477,14575.0,,1.899592944369064,955.5672693132768,,4.0,225.0
426,Nebraska,04-20-2020,1648,33,,1615.0,108.04630256111696,15680.0,,2.00242718446602,1028.0133641737345,,5.0,174.0
476,Nebraska,04-21-2020,1685,33,,1652.0,110.47209940259836,16372.0,,1.9584569732937684,1073.3823213171158,,0.0,37.0
526,Nebraska,04-22-2020,1813,38,,1775.0,118.86404523258804,16679.0,,2.095973524544953,1093.5098788937316,,5.0,128.0
576,Nebraska,04-23-2020,2202,47,,2155.0,144.367693106541,17360.0,,2.1344232515894643,1138.1576531923486,,9.0,389.0
626,Nebraska,04-24-2020,2424,50,,2374.0,158.9224741554293,19973.0,,2.062706270627064,1309.471359862372,,3.0,222.0
676,Nebraska,04-25-2020,2719,50,,2669.0,178.26328681048363,19973.0,,1.8389113644722324,1309.471359862372,,0.0,295.0
726,Nebraska,04-26-2020,3028,56,,2972.0,198.52196854069308,21228.0,,1.8494055482166447,1391.7517662423486,,6.0,309.0
776,Nebraska,04-27-2020,3358,56,,3302.0,220.15745388363518,22363.0,,1.6676593210244193,1466.1647234067104,,0.0,330.0
826,Nebraska,04-28-2020,3517,56,,3461.0,230.5818240943255,23605.0,,1.592266135911288,1547.592822788329,,0.0,159.0
876,Nebraska,04-29-2020,3851,56,,3795.0,252.47955774445475,23631.0,,1.4541677486367175,1549.2974367850454,,0.0,334.0
926,Nebraska,04-30-2020,4281,70,0.0,4211.0,280.6712507670763,25321.0,,1.635131978509694,1660.0973465716281,,14.0,430.0
976,Nebraska,05-01-2020,5008,73,0.0,4935.0,328.33488059834576,27385.0,,1.4576677316293931,1795.4174730802113,,3.0,727.0
1026,Nebraska,05-02-2020,5317,73,0.0,5244.0,348.5935623285552,29348.0,,1.37295467368817,1924.1158298323185,,0.0,309.0
1076,Nebraska,05-03-2020,5661,78,0.0,5583.0,371.1469167466524,31262.0,,1.3778484366719657,2049.6016448213827,,5.0,344.0
1126,Nebraska,05-04-2020,6037,78,0.0,5959.0,395.79825762224715,33754.0,,1.2920324664568494,2212.9823401989943,,0.0,376.0
1176,Nebraska,05-05-2020,6373,78,,6295.0,417.82711542596985,34609.0,,1.2239133845912442,2269.037915860253,,0.0,336.0
1226,Nebraska,05-06-2020,6689,78,,6611.0,438.54473169375694,36128.0,,1.1660935864852744,2368.6267105145835,,0.0,316.0
1276,Nebraska,05-07-2020,7334,91,,7243.0,480.8322712276892,37758.0,,1.2407962912462502,2475.4928956933577,,13.0,645.0
1326,Nebraska,05-08-2020,7818,90,,7728.0,512.5643163973376,40412.0,,1.1511895625479662,2649.4946475120505,,-1.0,484.0
