ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
28,New Hampshire,04-12-2020,929,23,236.0,906.0,69.94702398,10925.0,146.0,2.475780409,822.5739902,15.71582347,,
78,New Hampshire,04-13-2020,985,23,239.0,962.0,74.16342154639392,11207.0,152.0,2.33502538071066,843.8065637263318,15.431472081218276,0.0,56.0
128,New Hampshire,04-14-2020,922,25,249.0,897.0,69.41997428,11610.0,152.0,2.7114967460000003,874.1495677000001,16.48590022,2.0,-63.0
178,New Hampshire,04-15-2020,1139,32,365.0,1107.0,85.7585148643073,12166.0,178.0,2.809482001755926,916.0123721151558,15.62774363476734,7.0,217.0
228,New Hampshire,04-16-2020,1139,32,365.0,1107.0,85.7585148643073,12166.0,178.0,2.809482001755926,916.0123721151558,15.62774363476734,0.0,0.0
278,New Hampshire,04-17-2020,1287,37,455.0,1250.0,96.90185129970457,12708.0,190.0,2.8749028749028747,956.8210771691107,14.763014763014764,5.0,148.0
328,New Hampshire,04-18-2020,1342,38,468.0,1304.0,101.04295605610218,12852.0,190.0,2.831594634873324,967.6632423494972,14.157973174366616,1.0,55.0
378,New Hampshire,04-19-2020,1390,38,513.0,1352.0,104.65701111623102,13424.0,192.0,2.7338129496402885,1010.7307318160324,13.81294964028777,0.0,48.0
428,New Hampshire,04-20-2020,1447,42,521.0,1405.0,108.94870150013399,14118.0,198.0,2.902557014512785,1062.9839445603957,13.683483068417413,4.0,57.0
478,New Hampshire,04-21-2020,1490,42,521.0,1448.0,112.18629249149944,14339.0,206.0,2.8187919463087248,1079.6236563997386,13.825503355704695,0.0,43.0
528,New Hampshire,04-22-2020,1588,48,546.0,1540.0,119.56498823926249,15041.0,206.0,3.022670025188917,1132.479211654123,12.972292191435768,6.0,98.0
578,New Hampshire,04-23-2020,1670,51,550.0,1619.0,125.73899896698259,16012.0,213.0,3.053892215568862,1205.5885338079793,12.754491017964073,3.0,82.0
628,New Hampshire,04-24-2020,1720,53,578.0,1667.0,129.5036396546168,17727.0,224.0,3.0813953488372086,1334.7157093938326,13.023255813953488,2.0,50.0
678,New Hampshire,04-25-2020,1797,53,578.0,1744.0,135.30118631357348,17727.0,224.0,2.9493600445186416,1334.7157093938326,12.465219810795775,0.0,77.0
728,New Hampshire,04-26-2020,1864,60,777.0,1804.0,140.34580483500332,18751.0,238.0,3.218884120171674,1411.815550676581,12.76824034334764,7.0,67.0
778,New Hampshire,04-27-2020,1938,60,779.0,1878.0,145.91747305270198,19724.0,242.0,3.0959752321981417,1485.0754584579431,12.487100103199177,0.0,74.0
828,New Hampshire,04-28-2020,2010,60,798.0,1950.0,151.33855564289522,20145.0,246.0,2.985074626865672,1516.7737330478228,12.238805970149254,0.0,72.0
878,New Hampshire,04-29-2020,2058,60,936.0,1998.0,154.95261070302402,20746.0,249.0,2.915451895043732,1562.0247141131867,12.099125364431488,0.0,48.0
928,New Hampshire,04-30-2020,2146,72,980.0,1094.0,161.57837831326026,21921.0,259.0,3.3550792171481825,1650.4937702725906,12.06896551724138,12.0,88.0
978,New Hampshire,05-01-2020,2310,81,980.0,1249.0,173.9263997687005,22049.0,262.0,3.5064935064935066,1660.1312504329333,11.341991341991339,9.0,164.0
1028,New Hampshire,05-02-2020,2429,84,980.0,1365.0,182.8862446052699,24349.0,270.0,3.4582132564841497,1833.3047220641074,11.115685467270481,3.0,119.0
