ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
35,Oklahoma,04-12-2020,1970,96,865.0,1874.0,53.85995428,22760.0,446.0,4.873096447,622.2601824,22.63959391,,
85,Oklahoma,04-13-2020,2069,99,865.0,1970.0,56.566622029432146,22859.0,457.0,4.784920251329145,624.9668501550458,22.087965200579987,3.0,99.0
135,Oklahoma,04-14-2020,2184,108,1060.0,2076.0,59.71073104,28269.0,488.0,4.945054945,772.8766737999998,22.34432234,9.0,115.0
185,Oklahoma,04-15-2020,2263,123,1115.0,2140.0,61.87059722213869,29219.0,510.0,5.435262925320371,798.8497482252188,22.536456031816172,15.0,79.0
235,Oklahoma,04-16-2020,2357,131,1240.0,2226.0,64.4405645835532,30899.0,528.0,5.557912600763682,844.781079790925,22.40135765803988,8.0,94.0
285,Oklahoma,04-17-2020,2465,136,1331.0,2329.0,67.39329304134858,33620.0,528.0,5.517241379310343,919.1734328803814,21.419878296146052,5.0,108.0
335,Oklahoma,04-18-2020,2465,136,1515.0,2329.0,67.39329304134858,35536.0,541.0,5.517241379310343,971.5570229279364,21.947261663286003,0.0,0.0
385,Oklahoma,04-19-2020,2567,140,1575.0,2427.0,70.18198102926647,35565.0,541.0,5.453837164004675,972.3498851990113,21.07518504090378,4.0,102.0
435,Oklahoma,04-20-2020,2680,143,1614.0,2537.0,73.27140987862646,35646.0,541.0,5.335820895522388,974.5644315423576,20.186567164179106,3.0,113.0
485,Oklahoma,04-21-2020,2807,164,1702.0,2643.0,76.74359982436734,44344.0,561.0,5.842536515853224,1212.3684327081387,19.985749910936946,21.0,127.0
535,Oklahoma,04-22-2020,2894,170,1772.0,2724.0,79.12218663759141,45913.0,588.0,5.874222529371113,1255.2650155811107,20.317899101589497,6.0,87.0
585,Oklahoma,04-23-2020,3017,179,1884.0,2838.0,82.48501627008059,46036.0,622.0,5.933046072257209,1258.6278452135998,20.61650646337421,9.0,123.0
635,Oklahoma,04-24-2020,3121,188,1961.0,2933.0,85.32838441462431,53012.0,637.0,6.023710349247036,1449.3522315245318,20.410124959948735,9.0,104.0
685,Oklahoma,04-25-2020,3194,194,2080.0,3000.0,87.3242101314675,53084.0,637.0,6.073888541014402,1451.3207171630622,19.94364433312461,6.0,73.0
735,Oklahoma,04-26-2020,3254,195,2139.0,3059.0,88.96461483024271,53144.0,653.0,5.992624462200369,1452.9611218618375,20.067609096496614,1.0,60.0
