ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
39,South Carolina,04-12-2020,3320,82,,3238.0,65.87334263,31425.0,496.0,2.469879518,623.5149976,14.93975904,,
89,South Carolina,04-13-2020,3391,82,,3309.0,67.2820797722211,31425.0,496.0,2.4181657328221764,623.514997594234,14.626953700973164,0.0,71.0
139,South Carolina,04-14-2020,3553,97,,3456.0,70.49638143,33872.0,675.0,2.73008725,672.0668257,18.99802983,15.0,162.0
189,South Carolina,04-15-2020,3656,106,,3550.0,72.54004236132123,34733.0,675.0,2.899343544857768,689.1502438008125,18.462800875273523,9.0,103.0
239,South Carolina,04-16-2020,3931,111,,3820.0,77.99641863302894,34733.0,675.0,2.8237089799033326,689.1502438008125,17.171203256168912,5.0,275.0
289,South Carolina,04-17-2020,4099,116,,3983.0,81.32976850083581,36284.0,675.0,2.829958526469871,719.9242059732437,16.467431080751403,5.0,168.0
339,South Carolina,04-18-2020,4248,119,2633.0,4129.0,84.28613237168835,38833.0,776.0,2.8013182674199624,770.499853669909,18.26741996233521,3.0,149.0
389,South Carolina,04-19-2020,4377,120,2633.0,4257.0,86.84566887732578,40480.0,776.0,2.7416038382453736,803.1785871953729,17.72903815398675,1.0,129.0
439,South Carolina,04-20-2020,4446,123,2063.0,4323.0,88.21472328731791,40480.0,776.0,2.766531713900134,803.1785871953729,17.453891138101664,3.0,69.0
489,South Carolina,04-21-2020,4439,124,2063.0,4315.0,88.07583370949261,41277.0,776.0,2.7934219418788016,818.992157699195,17.481414733047984,1.0,-7.0
539,South Carolina,04-22-2020,4761,140,3317.0,4621.0,94.4647542894558,43111.0,837.0,2.9405587061541687,855.3812270894201,17.580340264650285,16.0,322.0
589,South Carolina,04-23-2020,4917,150,3317.0,4767.0,97.56000773813362,44463.0,837.0,3.050640634533252,882.2067569779613,17.022574740695546,10.0,156.0
639,South Carolina,04-24-2020,5070,157,3701.0,4913.0,100.59573708202915,46996.0,944.0,3.0966469428007883,932.4649427824544,18.61932938856016,7.0,153.0
689,South Carolina,04-25-2020,5253,166,3701.0,5087.0,104.22670747374741,49014.0,944.0,3.160098991052732,972.5048239326584,17.970683418998668,9.0,183.0
739,South Carolina,04-26-2020,5498,174,3701.0,5324.0,109.08784269763242,50761.0,944.0,3.1647871953437616,1007.167694284198,17.169879956347767,8.0,245.0
789,South Carolina,04-27-2020,5613,177,3701.0,5436.0,111.36960004761929,50761.0,944.0,3.1533939070016035,1007.167694284198,16.818100837341884,3.0,115.0
839,South Carolina,04-28-2020,5735,192,2830.0,5543.0,113.79024697543144,52145.0,944.0,3.347863993025283,1034.6281479570832,16.460331299040977,15.0,122.0
889,South Carolina,04-29-2020,5882,231,3252.0,5651.0,116.70692810976244,54217.0,1000.0,3.9272356341380483,1075.739462993368,17.001020061203672,39.0,147.0
939,South Carolina,04-30-2020,6095,244,3252.0,2599.0,120.93313954930332,56512.0,1000.0,4.003281378178835,1121.2754031518014,16.406890894175557,13.0,213.0
989,South Carolina,05-01-2020,6258,256,3622.0,2380.0,124.16728257580642,59379.0,1110.0,4.090763822307446,1178.1606059553867,17.737296260786195,12.0,163.0
1039,South Carolina,05-02-2020,6489,267,3622.0,2600.0,128.75063864404092,61616.0,1110.0,4.1146555709662485,1222.5457467546962,17.105871474803514,11.0,231.0
1089,South Carolina,05-03-2020,6626,275,3622.0,2729.0,131.46890609576434,64188.0,1110.0,4.150316933293088,1273.5777459213589,16.752188348928467,8.0,137.0
1139,South Carolina,05-04-2020,6757,283,3622.0,2852.0,134.0681253379233,64188.0,1110.0,4.188249223027971,1273.5777459213589,16.42740861328992,8.0,131.0
1189,South Carolina,05-05-2020,6841,296,3622.0,2923.0,135.7348002718267,67771.0,1110.0,4.326852799298348,1344.6693683996448,16.225697997368805,13.0,84.0
1239,South Carolina,05-06-2020,6936,305,3816.0,2815.0,137.6197302565985,77482.0,1152.0,4.397347174163783,1537.3488955798389,16.608996539792386,9.0,95.0
1289,South Carolina,05-07-2020,7142,316,3816.0,3010.0,141.7070521183141,77482.0,1152.0,4.424530943713245,1537.3488955798389,16.12993559227107,11.0,206.0
1339,South Carolina,05-08-2020,7367,320,3816.0,3231.0,146.171359976984,73442.0,1152.0,4.3436948554364045,1457.1897678063879,15.637301479571061,4.0,225.0
1389,South Carolina,05-09-2020,7531,330,4120.0,3081.0,149.42534437174788,80963.0,1252.0,4.38188819545877,1606.4166984955282,16.624618244589033,10.0,164.0
1439,South Carolina,05-10-2020,7653,331,4120.0,3202.0,151.84599129956,84457.0,1252.0,4.325101267476806,1675.7424391986071,16.359597543447013,1.0,122.0
1489,South Carolina,05-11-2020,7792,346,4120.0,3326.0,154.603941487805,84457.0,1252.0,4.440451745379876,1675.7424391986071,16.06776180698152,15.0,139.0
1539,South Carolina,05-12-2020,7927,355,6817.0,755.0,157.28252620300697,93140.0,1338.0,4.478365081367478,1848.025039806745,16.87902106723855,9.0,135.0
1589,South Carolina,05-13-2020,8030,362,6817.0,851.0,159.32618713386475,93140.0,1338.0,4.5080946450809485,1848.025039806745,16.662515566625153,7.0,103.0
1639,South Carolina,05-14-2020,8189,371,4914.0,2904.0,159.04942476898114,102535.0,1338.0,4.530467700573942,1991.468160787335,16.338991329832698,9.0,159.0
1689,South Carolina,05-15-2020,8407,380,5076.0,2951.0,163.28349176124368,109616.0,1421.0,4.520042821458309,2128.9976487332565,16.902581182348044,9.0,218.0
1739,South Carolina,05-16-2020,8661,380,5076.0,3205.0,168.21676247699912,109616.0,1421.0,4.387484124235077,2128.9976487332565,16.406881422468537,0.0,254.0
1789,South Carolina,05-17-2020,8816,385,5076.0,3355.0,171.2272229531491,120331.0,1421.0,4.367059891107078,2337.107868100656,16.118421052631582,5.0,155.0
