ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
40,South Dakota,04-12-2020,730,6,197.0,724.0,99.19933903,8553.0,43.0,0.8219178079999999,1162.262941,5.890410959,,
90,South Dakota,04-13-2020,868,6,207.0,862.0,117.95209079593201,9002.0,44.0,0.6912442396313364,1223.2773287384562,5.0691244239631335,0.0,138.0
140,South Dakota,04-14-2020,988,6,261.0,982.0,134.2588315,9296.0,45.0,0.607287449,1263.228843,4.55465587,0.0,120.0
190,South Dakota,04-15-2020,1168,6,329.0,1162.0,158.7189424535122,9859.0,51.0,0.5136986301369864,1339.7346349736106,4.366438356164384,0.0,180.0
240,South Dakota,04-16-2020,1311,7,373.0,1304.0,178.15114174362546,10550.0,55.0,0.5339435545385202,1433.6342832915698,4.195270785659802,1.0,143.0
290,South Dakota,04-17-2020,1411,7,457.0,1404.0,191.74009229615208,11062.0,63.0,0.4961020552799433,1503.209710120507,4.4649184975194895,0.0,100.0
340,South Dakota,04-18-2020,1542,7,552.0,1535.0,209.54161751996216,11660.0,68.0,0.4539559014267186,1584.4716344246167,4.409857328145267,0.0,131.0
390,South Dakota,04-19-2020,1635,7,646.0,1628.0,222.179341533812,12062.0,74.0,0.4281345565749236,1639.0992156457742,4.525993883792049,0.0,93.0
440,South Dakota,04-20-2020,1685,7,709.0,1678.0,228.97381681007545,12326.0,87.0,0.41543026706231456,1674.974045104445,5.163204747774481,0.0,50.0
490,South Dakota,04-21-2020,1755,8,824.0,1747.0,238.4860821968441,12815.0,100.0,0.4558404558404559,1741.4240133063004,5.698005698005698,1.0,70.0
540,South Dakota,04-22-2020,1858,9,937.0,1849.0,252.48270126594662,13446.0,111.0,0.4843918191603875,1827.1702912927442,5.974165769644777,1.0,103.0
590,South Dakota,04-23-2020,1956,9,1064.0,1947.0,265.79987280742284,14065.0,119.0,0.4601226993865031,1911.2858952128845,6.0838445807770976,0.0,98.0
640,South Dakota,04-24-2020,2040,10,1190.0,2030.0,277.2145912715453,14824.0,124.0,0.4901960784313725,2014.4260299065625,6.0784313725490176,1.0,84.0
