ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
41,Tennessee,04-12-2020,5508,106,1504.0,5402.0,83.90037425,70677.0,567.0,1.924473493,1076.584377,10.29411765,,
91,Tennessee,04-13-2020,5610,109,1671.0,5501.0,85.45408488043054,76195.0,579.0,1.9429590017825311,1160.6370761968635,10.320855614973262,3.0,102.0
141,Tennessee,04-14-2020,5827,124,1969.0,5703.0,88.75952809,78831.0,633.0,2.1280247130000003,1200.789833,10.86322293,15.0,217.0
191,Tennessee,04-15-2020,5827,124,2196.0,5703.0,88.75952809238302,80896.0,663.0,2.128024712545049,1232.2448574843688,11.378067616269092,0.0,0.0
241,Tennessee,04-16-2020,6375,136,2786.0,6239.0,97.10691463685288,85049.0,691.0,2.1333333333333333,1295.505252227404,10.839215686274507,12.0,548.0
291,Tennessee,04-17-2020,6263,141,3017.0,6122.0,95.40087943068389,87273.0,711.0,2.251317260098994,1329.3822370356174,11.352387034967267,5.0,-112.0
341,Tennessee,04-18-2020,6589,142,3234.0,6447.0,100.36666047721157,90586.0,719.0,2.1551069965093337,1379.8473677323852,10.912126271057826,1.0,326.0
391,Tennessee,04-19-2020,7070,148,3344.0,6922.0,107.6934723894196,97098.0,724.0,2.0933521923620932,1479.0411290053555,10.24045261669024,6.0,481.0
441,Tennessee,04-20-2020,7238,152,3575.0,7086.0,110.25252519867314,100689.0,730.0,2.1000276319425257,1533.7408828031498,10.085659021829237,4.0,168.0
491,Tennessee,04-21-2020,7394,157,3828.0,7237.0,112.6287885215514,108182.0,760.0,2.1233432512848256,1647.8776845872974,10.27860427373546,5.0,156.0
541,Tennessee,04-22-2020,7394,157,4012.0,7237.0,112.6287885215514,114980.0,775.0,2.1233432512848256,1751.4279286188778,10.481471463348662,0.0,0.0
591,Tennessee,04-23-2020,8266,171,4193.0,8095.0,125.9114911981531,123100.0,793.0,2.068715218969272,1875.115481066132,9.593515606097268,14.0,872.0
