ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
45,Virginia,04-12-2020,5274,141,,5133.0,66.69845192,39985.0,751.0,2.673492605,505.6764505,14.23966629,,
95,Virginia,04-13-2020,5747,149,,5598.0,72.68031915095425,41401.0,1238.0,2.592657038454846,523.5841122618161,21.541673916826173,8.0,473.0
145,Virginia,04-14-2020,6182,154,721.0,6028.0,78.18161354,42763.0,1282.0,2.491103203,540.8088547,20.73762536,5.0,435.0
195,Virginia,04-15-2020,6500,195,752.0,6305.0,82.20324943121675,44169.0,1298.0,3.0,558.5900498657559,19.96923076923077,41.0,318.0
245,Virginia,04-16-2020,6889,208,951.0,6681.0,87.12279774333109,46444.0,1337.0,3.0193061402235446,587.3611871666816,19.407751487879228,13.0,389.0
295,Virginia,04-17-2020,7491,231,1110.0,7260.0,94.73608330603764,48997.0,1308.0,3.0837004405286343,619.6480942125119,17.460953143772528,23.0,602.0
345,Virginia,04-18-2020,8053,258,1228.0,7795.0,101.84350271839823,51931.0,1307.0,3.203774990686701,656.7533763403873,16.229976406308207,27.0,562.0
395,Virginia,04-19-2020,8542,277,1267.0,8265.0,108.02771640637744,54733.0,1422.0,3.2428002809646452,692.189300172121,16.64715523296652,19.0,489.0
445,Virginia,04-20-2020,8990,300,1324.0,8690.0,113.69341729025207,56735.0,1500.0,3.3370411568409337,717.5079009969357,16.685205784204673,23.0,448.0
495,Virginia,04-21-2020,9630,324,1418.0,9306.0,121.78727569578727,58354.0,1581.0,3.364485981308411,737.9828334321878,16.417445482866043,24.0,640.0
545,Virginia,04-22-2020,10266,349,1497.0,9917.0,129.83054748628786,58354.0,1581.0,3.399571400740308,737.9828334321878,15.400350672121569,25.0,636.0
595,Virginia,04-23-2020,10998,373,1567.0,10625.0,139.08789803761874,64518.0,1753.0,3.3915257319512637,815.9368072004988,15.939261683942535,24.0,732.0
645,Virginia,04-24-2020,11594,411,1672.0,11183.0,146.6253036777734,69440.0,1837.0,3.5449370363981365,878.1836370005677,15.844402277039848,38.0,596.0
695,Virginia,04-25-2020,12366,437,1717.0,11929.0,156.3885203794502,72178.0,1942.0,3.5338832282063724,912.810174991748,15.704350638848455,26.0,772.0
745,Virginia,04-26-2020,12970,449,1815.0,12521.0,164.02709924967402,76118.0,2014.0,3.4618350038550503,962.637990800824,15.528141865844256,12.0,604.0
795,Virginia,04-27-2020,13538,460,1843.0,13078.0,171.2103985845865,80679.0,3298.0,3.3978431082877827,1020.3193785940207,24.361057763332838,11.0,568.0
845,Virginia,04-28-2020,14339,492,1914.0,13847.0,181.34036824526413,82753.0,3422.0,3.4312016179649905,1046.5485384894582,23.86498361113049,32.0,801.0
895,Virginia,04-29-2020,14962,522,2042.0,14440.0,189.21923353690232,85940.0,3608.0,3.488838390589493,1086.8534240182719,24.11442320545381,30.0,623.0
945,Virginia,04-30-2020,15847,552,2104.0,13191.0,200.41152211330643,91509.0,3654.0,3.483309143686502,1157.2826388001868,23.057992048968266,30.0,885.0
995,Virginia,05-01-2020,16902,581,2196.0,14125.0,213.75374182868083,105648.0,3654.0,3.4374630221275586,1336.093676293721,21.61874334398296,29.0,1055.0
