ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
49,Wyoming,04-12-2020,270,0,137.0,270.0,54.29973453,5459.0,40.0,0.0,1097.860188,14.81481481,,
99,Wyoming,04-13-2020,275,1,138.0,274.0,55.30528517416137,5964.0,41.0,0.3636363636363637,1199.4208028316307,14.909090909090908,1.0,5.0
149,Wyoming,04-14-2020,282,1,140.0,281.0,56.71305607,5964.0,43.0,0.354609929,1199.420803,15.24822695,0.0,7.0
199,Wyoming,04-15-2020,287,1,129.0,286.0,57.718606709033864,6329.0,43.0,0.3484320557491289,1272.8259995173355,14.982578397212546,0.0,5.0
249,Wyoming,04-16-2020,296,2,148.0,294.0,59.52859786018825,6427.0,43.0,0.6756756756756757,1292.5347920521276,14.527027027027025,1.0,9.0
299,Wyoming,04-17-2020,305,2,148.0,303.0,61.33858901134261,6427.0,43.0,0.6557377049180327,1292.5347920521276,14.098360655737705,0.0,9.0
349,Wyoming,04-18-2020,309,2,206.0,307.0,62.143029522966785,6522.0,50.0,0.6472491909385113,1311.6402542032015,16.181229773462785,0.0,4.0
399,Wyoming,04-19-2020,313,2,227.0,311.0,62.94747003459094,7281.0,50.0,0.6389776357827476,1464.2828412838876,15.974440894568687,0.0,4.0
449,Wyoming,04-20-2020,317,2,233.0,315.0,63.75191054621511,7386.0,51.0,0.6309148264984227,1485.3994047140213,16.08832807570978,0.0,4.0
499,Wyoming,04-21-2020,443,2,237.0,441.0,89.09178666237631,7621.0,52.0,0.4514672686230248,1532.6602847719412,11.738148984198643,0.0,126.0
549,Wyoming,04-22-2020,447,6,254.0,441.0,89.89622717400049,7623.0,52.0,1.342281879194631,1533.0625050277526,11.6331096196868,4.0,4.0
599,Wyoming,04-23-2020,453,7,275.0,446.0,91.1028879414367,7567.0,52.0,1.5452538631346575,1521.8003378650146,11.479028697571746,1.0,6.0
649,Wyoming,04-24-2020,473,7,321.0,466.0,95.12509049955757,8045.0,54.0,1.4799154334038056,1617.9309790041027,11.416490486257928,0.0,20.0
699,Wyoming,04-25-2020,491,7,321.0,484.0,98.7450728018663,8146.0,54.0,1.4256619144602851,1638.2431019226126,10.9979633401222,0.0,18.0
749,Wyoming,04-26-2020,502,7,334.0,495.0,100.95728420883276,8159.0,54.0,1.3944223107569722,1640.8575335853916,10.756972111553784,0.0,11.0
799,Wyoming,04-27-2020,520,7,342.0,513.0,104.57726651114149,8167.0,54.0,1.3461538461538465,1642.4664146086398,10.384615384615383,0.0,18.0
849,Wyoming,04-28-2020,536,7,343.0,529.0,107.79502855763815,8615.0,56.0,1.3059701492537314,1732.5637519105462,10.447761194029852,0.0,16.0
899,Wyoming,04-29-2020,545,7,362.0,538.0,109.60501970879257,9217.0,56.0,1.2844036697247707,1853.6320489099826,10.275229357798166,0.0,9.0
949,Wyoming,04-30-2020,559,7,371.0,181.0,112.42056149947712,9446.0,56.0,1.2522361359570662,1899.6862682004667,10.01788908765653,0.0,14.0
999,Wyoming,05-01-2020,566,7,373.0,186.0,113.82833239481941,9695.0,56.0,1.2367491166077738,1949.7626900490714,9.89399293286219,0.0,7.0
1049,Wyoming,05-02-2020,579,7,387.0,185.0,116.44276405759794,10029.0,58.0,1.2089810017271156,2016.9334727696887,10.01727115716753,0.0,13.0
1099,Wyoming,05-03-2020,586,7,391.0,188.0,117.85053495294024,10219.0,60.0,1.1945392491467577,2055.1443970718365,10.238907849829351,0.0,7.0
1149,Wyoming,05-04-2020,596,7,391.0,198.0,119.86163623200063,10454.0,60.0,1.174496644295302,2102.405277129756,10.06711409395973,0.0,10.0
1199,Wyoming,05-05-2020,604,7,405.0,192.0,121.47051725524898,10915.0,60.0,1.1589403973509933,2195.1170460944413,9.933774834437086,0.0,8.0
1249,Wyoming,05-06-2020,631,7,409.0,215.0,126.90049070871208,12007.0,60.0,1.109350237717908,2414.7293057678385,9.508716323296355,0.0,27.0
1299,Wyoming,05-07-2020,635,7,416.0,212.0,127.70493122033626,12034.0,59.0,1.1023622047244095,2420.159279221301,9.291338582677165,0.0,4.0
1349,Wyoming,05-08-2020,644,7,428.0,209.0,129.51492237149063,12038.0,60.0,1.0869565217391304,2420.9637197329253,9.316770186335404,0.0,9.0
1399,Wyoming,05-09-2020,653,7,438.0,208.0,131.324913522645,12047.0,64.0,1.0719754977029097,2422.77371088408,9.800918836140886,0.0,9.0
1449,Wyoming,05-10-2020,662,7,443.0,212.0,133.13490467379938,12064.0,65.0,1.0574018126888218,2426.192583058483,9.818731117824774,0.0,9.0
1499,Wyoming,05-11-2020,669,7,443.0,219.0,134.54267556914166,12065.0,66.0,1.0463378176382658,2426.3936931863886,9.865470852017935,0.0,7.0
1549,Wyoming,05-12-2020,675,7,477.0,191.0,135.7493363365779,15059.0,67.0,1.037037037037037,3028.5174161370765,9.925925925925926,0.0,6.0
1599,Wyoming,05-13-2020,688,7,477.0,204.0,138.36376799935644,15059.0,67.0,1.0174418604651163,3028.5174161370765,9.738372093023257,0.0,13.0
1649,Wyoming,05-14-2020,701,7,480.0,214.0,121.12122662455357,15430.0,67.0,0.9985734664764622,2666.049253661714,9.557774607703283,0.0,13.0
1699,Wyoming,05-15-2020,716,7,487.0,222.0,123.71297897743277,16022.0,68.0,0.9776536312849162,2768.3370798553456,9.497206703910617,0.0,15.0
1749,Wyoming,05-16-2020,741,7,496.0,238.0,128.03256623223135,16394.0,69.0,0.9446693657219972,2832.6125382067494,9.31174089068826,0.0,25.0
1799,Wyoming,05-17-2020,754,8,498.0,248.0,130.27875160472666,17085.0,70.0,1.0610079575596818,2952.0059299293835,9.283819628647217,1.0,13.0
1849,Wyoming,05-18-2020,766,10,498.0,258.0,132.35215348703002,17085.0,73.0,1.3054830287206267,2952.0059299293835,9.530026109660577,2.0,12.0
1899,Wyoming,05-19-2020,776,10,504.0,262.0,134.07998838894946,17850.0,73.0,1.2886597938144329,3084.1852999262205,9.40721649484536,0.0,10.0
1949,Wyoming,05-20-2020,787,11,528.0,248.0,135.98060678106086,18840.0,74.0,1.397712833545108,3255.240955216247,9.40279542566709,1.0,11.0
1999,Wyoming,05-21-2020,801,12,534.0,255.0,138.39957564374808,18840.0,75.0,1.49812734082397,3255.240955216247,9.363295880149813,1.0,14.0
2049,Wyoming,05-22-2020,803,12,551.0,240.0,138.74514262413194,19424.0,76.0,1.49439601494396,3356.1465134883433,9.46450809464508,0.0,2.0
2099,Wyoming,05-23-2020,813,12,551.0,250.0,140.47297752605144,20034.0,77.0,1.4760147601476017,3461.5444425054297,9.47109471094711,0.0,10.0
2149,Wyoming,05-24-2020,838,12,556.0,270.0,144.79256478085006,20034.0,78.0,1.431980906921241,3461.5444425054297,9.307875894988069,0.0,25.0
2199,Wyoming,05-25-2020,843,12,575.0,256.0,145.65648223180978,20389.0,79.0,1.4234875444839858,3522.8825815235705,9.37129300118624,0.0,5.0
2249,Wyoming,05-26-2020,850,13,607.0,230.0,146.8659666631534,21502.0,82.0,1.5294117647058822,3715.190606107205,9.647058823529411,1.0,7.0
2299,Wyoming,05-27-2020,860,14,607.0,239.0,148.59380156507285,21502.0,82.0,1.627906976744186,3715.190606107205,9.534883720930234,1.0,10.0
2349,Wyoming,05-28-2020,876,15,624.0,237.0,151.35833740814397,23160.0,82.0,1.7123287671232876,4001.6656328454505,9.360730593607306,1.0,16.0
2399,Wyoming,05-29-2020,891,15,634.0,242.0,153.95008976102315,23269.0,84.0,1.6835016835016836,4020.499033276372,9.427609427609427,0.0,15.0
2449,Wyoming,05-30-2020,898,16,658.0,224.0,155.15957419236676,24083.0,85.0,1.78173719376392,4161.144794292616,9.465478841870825,1.0,7.0
2499,Wyoming,05-31-2020,903,16,658.0,229.0,156.02349164332648,24393.0,85.0,1.7718715393133997,4214.707676252119,9.413067552602435,0.0,5.0
2549,Wyoming,06-01-2020,910,17,667.0,226.0,157.23297607467012,25147.0,86.0,1.8681318681318682,4344.986427856846,9.450549450549447,1.0,7.0
2599,Wyoming,06-02-2020,912,17,667.0,228.0,157.57854305505398,25742.0,86.0,1.8640350877192984,4447.792604521052,9.429824561403509,0.0,2.0
2649,Wyoming,06-03-2020,915,17,714.0,184.0,158.09689352562984,26628.0,87.0,1.85792349726776,4600.878776831116,9.508196721311476,0.0,3.0
2699,Wyoming,06-04-2020,921,17,714.0,190.0,159.13359446678155,26989.0,87.0,1.8458197611292075,4663.253616790408,9.446254071661238,0.0,6.0
2749,Wyoming,06-05-2020,933,17,755.0,161.0,161.20699634908485,27612.0,90.0,1.8220793140407288,4770.89773117999,9.646302250803856,0.0,12.0
2799,Wyoming,06-06-2020,939,17,757.0,165.0,162.24369729023653,28508.0,90.0,1.810436634717785,4925.711738391973,9.584664536741213,0.0,6.0
2849,Wyoming,06-07-2020,947,17,757.0,173.0,163.6259652117721,28751.0,90.0,1.7951425554382259,4967.698126508616,9.503695881731783,0.0,8.0
2899,Wyoming,06-08-2020,960,17,773.0,170.0,165.87215058426736,29974.0,91.0,1.7708333333333333,5179.0123350133645,9.479166666666666,0.0,13.0
2949,Wyoming,06-09-2020,970,17,789.0,164.0,167.5999854861868,30336.0,91.0,1.7525773195876289,5241.559958462849,9.381443298969073,0.0,10.0
2999,Wyoming,06-10-2020,980,18,804.0,158.0,169.32782038810632,30852.0,92.0,1.836734693877551,5330.716239401892,9.387755102040817,1.0,10.0
3049,Wyoming,06-11-2020,1009,18,814.0,177.0,174.33854160367267,31618.0,92.0,1.7839444995044598,5463.068392888923,9.117938553022794,0.0,29.0
3099,Wyoming,06-12-2020,1027,18,814.0,195.0,177.44864442712768,31900.0,92.0,1.7526777020447906,5511.79333712305,8.95813047711782,0.0,18.0
3149,Wyoming,06-13-2020,1050,18,833.0,199.0,181.42266470154243,33055.0,93.0,1.7142857142857142,5711.358268294748,8.857142857142858,0.0,23.0
3199,Wyoming,06-14-2020,1060,18,834.0,208.0,183.15049960346192,33065.0,93.0,1.6981132075471699,5713.086103196668,8.773584905660378,0.0,10.0
3249,Wyoming,06-15-2020,1079,18,834.0,227.0,186.43338591710884,32606.0,93.0,1.6682113067655235,5633.778481198565,8.619091751621871,0.0,19.0
3299,Wyoming,06-16-2020,1089,18,852.0,219.0,188.16122081902836,34413.0,96.0,1.6528925619834711,5945.99824797541,8.81542699724518,0.0,10.0
3349,Wyoming,06-17-2020,1114,18,862.0,234.0,192.48080807382686,35069.0,97.0,1.615798922800718,6059.344217541326,8.707360861759426,0.0,25.0
3399,Wyoming,06-18-2020,1144,18,870.0,256.0,197.66431277958526,36154.0,97.0,1.5734265734265733,6246.814304399586,8.479020979020977,0.0,30.0
