ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
5,Colorado,04-12-2020,7307,289,,7018.0,128.943729,34873.0,1376.0,3.955111537,615.3899908,18.8312577,,
55,Colorado,04-13-2020,7691,306,,7385.0,135.7200246417166,37534.0,1472.0,3.9786763749837473,662.3476017295789,19.139253673124433,17.0,384.0
105,Colorado,04-14-2020,7950,327,,7623.0,140.290495,38742.0,1493.0,4.11320755,683.6646982999998,18.7798742,21.0,259.0
155,Colorado,04-15-2020,7956,328,,7628.0,140.39637447009457,39580.0,1556.0,4.122674710910005,698.4525517252819,19.55756661639015,1.0,6.0
205,Colorado,04-16-2020,8286,355,,7931.0,146.21975350165957,40533.0,1636.0,4.284335022930244,715.2697645043165,19.744146753560226,27.0,330.0
255,Colorado,04-17-2020,8691,372,,8319.0,153.3666277676712,41830.0,1693.0,4.280289955125991,738.1574087586798,19.479921758140605,17.0,405.0
305,Colorado,04-18-2020,9047,389,,8658.0,159.648818480511,43307.0,1755.0,4.299767878854868,764.2214415757146,19.39869570023212,17.0,356.0
355,Colorado,04-19-2020,9730,420,,9310.0,171.70144841553798,44606.0,1797.0,4.316546762589929,787.1443790363296,18.468653648509765,31.0,683.0
405,Colorado,04-20-2020,9730,420,,9310.0,171.70144841553798,46195.0,1813.0,4.316546762589929,815.1848314034712,18.633093525179856,0.0,0.0
455,Colorado,04-21-2020,10473,483,,9990.0,184.81287453812226,47466.0,1880.0,4.611859066170154,837.6136639765598,17.95092141697699,63.0,743.0
505,Colorado,04-22-2020,10891,506,,10385.0,192.18915464477124,48704.0,2003.0,4.646038013038289,859.4601586464914,18.39133229271876,23.0,418.0
555,Colorado,04-23-2020,11278,552,,10726.0,199.0183900545157,50645.0,2123.0,4.894484837737188,893.7122153139693,18.82425962050009,46.0,387.0
605,Colorado,04-24-2020,12256,674,,11582.0,216.27676791169918,56789.0,2366.0,5.499347258485639,1002.132944919834,19.304830287206265,122.0,978.0
655,Colorado,04-25-2020,12968,684,2086.0,12284.0,228.84114933737888,56789.0,2366.0,5.27452190006169,1002.132944919834,18.2449105490438,10.0,712.0
705,Colorado,04-26-2020,13441,688,2150.0,12753.0,237.18799261595538,59791.0,2410.0,5.118666765865635,1055.1080475039498,17.930213525779333,4.0,473.0
755,Colorado,04-27-2020,13879,706,2150.0,13173.0,244.9172047851235,63274.0,2438.0,5.086821817133798,1116.5711661916496,17.566107068232586,18.0,438.0
805,Colorado,04-28-2020,14316,736,2275.0,13580.0,252.62877035116563,66341.0,2485.0,5.1411008661637325,1170.6932979789522,17.358200614696838,30.0,437.0
855,Colorado,04-29-2020,14758,766,2275.0,13992.0,260.42856893283755,69449.0,2610.0,5.190405203957176,1225.538940494419,17.685323214527713,30.0,442.0
905,Colorado,04-30-2020,15284,777,2415.0,12092.0,269.71068217708967,71059.0,2621.0,5.083747710023554,1253.949971527206,17.14865218529181,11.0,526.0
955,Colorado,05-01-2020,15793,821,2486.0,12486.0,278.69280316820056,72390.0,2697.0,5.198505667067689,1277.4376002878516,17.077186095105425,44.0,509.0
1005,Colorado,05-02-2020,16225,832,2553.0,12840.0,286.31613571861294,76949.0,2747.0,5.127889060092451,1357.8884639390785,16.9306625577812,11.0,432.0
1055,Colorado,05-03-2020,16635,842,2607.0,13186.0,293.55124300025426,79906.0,2793.0,5.061617072437632,1410.069469382526,16.78990081154193,10.0,410.0
1105,Colorado,05-04-2020,16918,851,2650.0,13417.0,298.54523168489936,83090.0,2799.0,5.030145407258541,1466.2562537355652,16.54450880718761,9.0,283.0
1155,Colorado,05-05-2020,17367,903,2743.0,13721.0,306.46855648845315,85004.0,2838.0,5.199516324062878,1500.0318521186425,16.34133701848333,52.0,449.0
1205,Colorado,05-06-2020,17832,919,2801.0,14112.0,314.67422694202185,85976.0,2919.0,5.1536563481381785,1517.1843503570701,16.369448183041722,16.0,465.0
1255,Colorado,05-07-2020,18370,944,2869.0,14557.0,324.16809942378546,91347.0,2986.0,5.138813282525859,1611.9642557465722,16.254763200870983,25.0,538.0
1305,Colorado,05-08-2020,18827,960,2869.0,14998.0,332.2325970523467,94536.0,3557.0,5.099059860838159,1668.2392731152413,18.89307908854305,16.0,457.0
1355,Colorado,05-09-2020,19375,967,2974.0,15434.0,341.9029355653698,96772.0,3600.0,4.990967741935483,1707.6970777048755,18.580645161290324,7.0,548.0
1405,Colorado,05-10-2020,19703,971,3023.0,15709.0,347.6910213906829,100610.0,3623.0,4.92818352535147,1775.424740502289,18.388062731563718,4.0,328.0
1455,Colorado,05-11-2020,19879,987,3076.0,15816.0,350.7968235408509,108790.0,3689.0,4.9650384828210665,1919.7739540725975,18.557271492529804,16.0,176.0
1505,Colorado,05-12-2020,20157,1010,3114.0,16033.0,355.7025792098663,108657.0,3663.0,5.0106662697822095,1917.4269558568453,18.172347075457658,23.0,278.0
1555,Colorado,05-13-2020,20475,1062,3171.0,16242.0,361.31419900391984,111250.0,3695.0,5.186813186813186,1963.184597762446,18.046398046398046,52.0,318.0
1605,Colorado,05-14-2020,20838,1086,3217.0,16535.0,361.85023935808135,114519.0,3735.0,5.2116325942988775,1988.613473512243,17.923985027353872,24.0,363.0
1655,Colorado,05-15-2020,21232,1150,3217.0,16865.0,368.6920185262877,118030.0,3789.0,5.416352675207233,2049.581713764965,17.84570459683497,64.0,394.0
1705,Colorado,05-16-2020,21633,1192,3312.0,17129.0,375.6553521467211,121840.0,3842.0,5.510100309712014,2115.742065619956,17.759903850598622,42.0,401.0
1755,Colorado,05-17-2020,21938,1215,3346.0,17377.0,380.95165327946967,125548.0,3866.0,5.538335308596955,2180.131195456781,17.622390372868995,23.0,305.0
1805,Colorado,05-18-2020,22202,1224,3346.0,17632.0,385.5359926206028,128495.0,3872.0,5.5130168453292505,2231.3056198443546,17.43987028195658,9.0,264.0
1855,Colorado,05-19-2020,22482,1257,3431.0,17794.0,390.39817070968354,131333.0,3899.0,5.591139578329329,2280.587267761537,17.342763099368383,33.0,280.0
1905,Colorado,05-20-2020,22797,1299,3478.0,18020.0,395.86812105989924,131837.0,3955.0,5.698118173443874,2289.339188321882,17.34877396148616,42.0,315.0
1955,Colorado,05-21-2020,23191,1310,3532.0,18349.0,402.7099002281056,135611.0,3990.0,5.648743046871632,2354.8744029939903,17.2049501961968,11.0,394.0
2005,Colorado,05-22-2020,23487,1324,3580.0,18583.0,407.84991706513375,142225.0,4037.0,5.637160982671263,2469.7259954267747,17.188231787797505,14.0,296.0
2055,Colorado,05-23-2020,23964,1327,3612.0,19025.0,416.1329847383177,144952.0,4082.0,5.5374728759806375,2517.0801370300705,17.033884159572693,3.0,477.0
2105,Colorado,05-24-2020,24174,1332,3640.0,19202.0,419.7796183051281,150051.0,4105.0,5.5100521221146685,2605.623873016579,16.981054024985518,5.0,210.0
2155,Colorado,05-25-2020,24256,1333,3666.0,19257.0,421.2035418883588,150308.0,4119.0,5.495547493403693,2610.086657905485,16.9813654353562,1.0,82.0
2205,Colorado,05-26-2020,24552,1352,3702.0,19498.0,426.34355872538697,156011.0,4128.0,5.506679700228085,2709.1188066270097,16.81329423264907,19.0,296.0
