ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
6,Connecticut,04-12-2020,12035,554,,11481.0,337.5604825000001,41220.0,1654.0,4.6032405480000005,1156.148159,13.74324886,,
56,Connecticut,04-13-2020,13381,602,,12779.0,375.31340394195473,44309.0,1760.0,4.498916373963082,1242.7891499337925,13.152978103280773,48.0,1346.0
106,Connecticut,04-14-2020,13989,671,,13318.0,392.3667295,45841.0,1779.0,4.79662592,1285.759043,12.71713489,69.0,608.0
156,Connecticut,04-15-2020,14755,868,,13887.0,413.85167589593766,50143.0,1908.0,5.882751609623856,1406.4225404574722,12.931209759403592,197.0,766.0
206,Connecticut,04-16-2020,15884,971,,14913.0,445.51813079844635,53122.0,1926.0,6.113069755729035,1489.9782261568287,12.12540921682196,103.0,1129.0
256,Connecticut,04-17-2020,16809,1036,,15773.0,471.46274619687006,55462.0,1946.0,6.163364864060919,1555.6110910566247,11.577131298709025,65.0,925.0
306,Connecticut,04-18-2020,17550,1086,,16464.0,492.2464867484722,55462.0,1946.0,6.188034188034187,1555.6110910566247,11.08831908831909,50.0,741.0
356,Connecticut,04-19-2020,17962,1127,,16835.0,503.8023586880944,58213.0,1938.0,6.274356975837881,1632.77177966318,10.789444382585456,41.0,412.0
406,Connecticut,04-20-2020,19815,1331,,18484.0,555.7757341835313,62806.0,1919.0,6.717133484733787,1761.5973132036775,9.684582387080496,204.0,1853.0
456,Connecticut,04-21-2020,20360,1423,,18937.0,571.0620210939543,64192.0,1949.0,6.989194499017682,1800.4721639520185,9.572691552062867,92.0,545.0
506,Connecticut,04-22-2020,22469,1544,,20925.0,630.2157442023603,69918.0,1972.0,6.871689883839957,1961.0763453264767,8.776536561484713,121.0,2109.0
556,Connecticut,04-23-2020,23100,1639,,21461.0,647.9141791390148,71497.0,1947.0,7.095238095238094,2005.3645050174082,8.428571428571429,95.0,631.0
606,Connecticut,04-24-2020,23936,1767,,22169.0,671.3625018126171,74038.0,1877.0,7.382185828877004,2076.6350647227,7.841744652406418,128.0,836.0
656,Connecticut,04-25-2020,24583,1865,,22718.0,689.5097084750821,77602.0,1810.0,7.58654354635317,2176.598966647005,7.362811699141682,98.0,647.0
706,Connecticut,04-26-2020,25269,1924,,23345.0,708.7507962192102,79811.0,1766.0,7.614072579049427,2238.557513041727,6.988800506549528,59.0,686.0
756,Connecticut,04-27-2020,25997,2012,,23985.0,729.1699097435915,79811.0,1758.0,7.7393545409085664,2238.557513041727,6.762318729084124,88.0,728.0
806,Connecticut,04-28-2020,26312,2087,,24225.0,738.005103095487,92745.0,,7.931742170872606,2601.3333568938488,,75.0,315.0
856,Connecticut,04-29-2020,26767,2169,,24598.0,750.7670490482252,94818.0,,8.103261478686441,2659.477343619181,,82.0,455.0
906,Connecticut,04-30-2020,27700,2257,0.0,25443.0,776.9360503095543,97133.0,,8.148014440433213,2724.4090026973986,,88.0,933.0
956,Connecticut,05-01-2020,28764,2339,4346.0,22079.0,806.7793700759572,100257.0,7758.0,8.131692393269365,2812.031682161913,26.971214017521906,82.0,1064.0
1006,Connecticut,05-02-2020,29287,2436,4346.0,22505.0,821.4485958633908,100257.0,7758.0,8.317683613890122,2812.031682161913,26.489568750640217,97.0,523.0
1056,Connecticut,05-03-2020,29287,2436,4346.0,22505.0,821.4485958633908,102493.0,7758.0,8.317683613890122,2874.747530843941,26.489568750640217,0.0,0.0
1106,Connecticut,05-04-2020,29973,2556,4346.0,23071.0,840.6896836075189,102493.0,7758.0,8.527674907416674,2874.747530843941,25.88329496546893,120.0,686.0
1156,Connecticut,05-05-2020,30621,2633,4346.0,23642.0,858.8649385028468,108643.0,7758.0,8.598674112537148,3047.2441629523796,25.33555403154697,77.0,648.0
1206,Connecticut,05-06-2020,30995,2718,4346.0,23931.0,869.3549775936693,111447.0,7758.0,8.769156315534762,3125.8914079006818,25.02984352314889,85.0,374.0
1256,Connecticut,05-07-2020,31784,2797,5413.0,23574.0,891.4850333227031,116174.0,9389.0,8.800025169896804,3258.475404644844,29.54002013591744,79.0,789.0
1306,Connecticut,05-08-2020,32411,2874,5413.0,24124.0,909.0712753279048,120541.0,9389.0,8.867359846965536,3380.962037558267,28.968560056770848,77.0,627.0
1356,Connecticut,05-09-2020,32984,2932,5413.0,24639.0,925.142912758496,123569.0,9389.0,8.889158379820516,3465.892086667917,28.4653165170992,58.0,573.0
1406,Connecticut,05-10-2020,33554,2967,5413.0,25174.0,941.1304054904975,130192.0,9389.0,8.842462895630922,3651.6555329206317,27.98176074387555,35.0,570.0
1456,Connecticut,05-11-2020,33765,3008,5413.0,25344.0,947.0485826246246,132508.0,9389.0,8.908633200059233,3716.615240231712,27.80690063675404,41.0,211.0
1506,Connecticut,05-12-2020,34333,3041,5413.0,25879.0,962.9799788908999,138424.0,9389.0,8.857367547257741,3882.548585850172,27.346867445315,33.0,568.0
1556,Connecticut,05-13-2020,34855,3125,5413.0,26317.0,977.62115644547,142943.0,9389.0,8.965715105436809,4009.298550158795,26.93731171998279,84.0,522.0
1606,Connecticut,05-14-2020,35464,3219,6264.0,25981.0,994.7025302591346,149562.0,10946.0,9.076810286487706,4194.949803480056,30.865102639296182,94.0,609.0
1656,Connecticut,05-15-2020,36085,3285,6264.0,26536.0,1012.1204828671576,155908.0,10946.0,9.103505611750032,4372.943889229676,30.33393376749342,66.0,621.0
1706,Connecticut,05-16-2020,36703,3339,6264.0,27100.0,1029.454290776591,164755.0,10946.0,9.097348990545733,4621.086605370058,29.823175217284692,54.0,618.0
1756,Connecticut,05-17-2020,37419,3408,6264.0,27747.0,1049.5368255066142,170607.0,10946.0,9.107672572757156,4785.224864085276,29.25251877388493,69.0,716.0
1806,Connecticut,05-18-2020,38116,3450,6264.0,28402.0,1069.0864438122373,177679.0,10946.0,9.051317032217442,4983.581966893549,28.71759890859482,42.0,697.0
1856,Connecticut,05-19-2020,38430,3472,6264.0,28694.0,1077.8935889312697,185520.0,10946.0,9.034608378870674,5203.508160773593,28.48295602393963,22.0,314.0
1906,Connecticut,05-20-2020,39017,3529,6264.0,29224.0,1094.357901621945,190718.0,10946.0,9.044775354332726,5349.302875196303,28.05443780916011,57.0,587.0
1956,Connecticut,05-21-2020,39208,3583,6264.0,29361.0,1099.715114098809,202747.0,10946.0,9.138441134462353,5686.695068307265,27.917771883289127,54.0,191.0
2006,Connecticut,05-22-2020,39640,3637,7127.0,28876.0,1111.8319506956943,202328.0,12538.0,9.175075681130172,5674.9428587376015,31.629667003027247,54.0,432.0
2056,Connecticut,05-23-2020,40022,3675,7127.0,29220.0,1122.546375649422,208367.0,12538.0,9.18244965269102,5844.326136998227,31.327769726650338,38.0,382.0
2106,Connecticut,05-24-2020,40468,3693,7127.0,29648.0,1135.0558875063914,214136.0,12538.0,9.125728971038846,6006.136392385802,30.98250469506771,18.0,446.0
2156,Connecticut,05-25-2020,40873,3742,7127.0,30004.0,1146.4154218159715,221726.0,12538.0,9.155188021432242,6219.022479817194,30.675507058449345,49.0,405.0
2206,Connecticut,05-26-2020,41303,3769,7127.0,30407.0,1158.4761619471308,225362.0,12538.0,9.125245139578238,6321.005854507645,30.356148463791968,27.0,430.0
2256,Connecticut,05-27-2020,41288,3803,7127.0,30358.0,1158.055438454183,225362.0,12538.0,9.210908738616546,6321.005854507645,30.367176903700837,34.0,-15.0
2306,Connecticut,05-28-2020,41559,3826,7127.0,30606.0,1165.6565095601,235525.0,12538.0,9.206188791838107,6606.060045095948,30.16915710195144,23.0,271.0
2356,Connecticut,05-29-2020,41762,3868,7127.0,30767.0,1171.3503008313216,241393.0,12538.0,9.262008524495954,6770.647075536976,30.02250850055074,42.0,203.0
2406,Connecticut,05-30-2020,42022,3912,7127.0,30983.0,1178.6428413757433,246935.0,12538.0,9.309409357003474,6926.090382064615,29.836752177430874,44.0,260.0
2456,Connecticut,05-31-2020,42201,3944,7127.0,31130.0,1183.663475058249,250046.0,12538.0,9.345750100708512,7013.348434501907,29.710196440842644,32.0,179.0
2506,Connecticut,06-01-2020,42740,3970,7511.0,31259.0,1198.7814725714932,261390.0,13793.0,9.288722508189052,7331.527588101603,32.27187646233037,26.0,539.0
2556,Connecticut,06-02-2020,42979,3972,7511.0,31496.0,1205.4850002257886,270610.0,13793.0,9.241722701784592,7590.1322950999465,32.09241722701785,2.0,239.0
2606,Connecticut,06-03-2020,43091,3989,7511.0,31591.0,1208.6264023064625,276436.0,13793.0,9.257153465920958,7753.541299760722,32.00900420041308,17.0,112.0
2656,Connecticut,06-04-2020,43239,4007,7284.0,31948.0,1212.7775407702102,281525.0,9669.0,9.267096833876824,7896.278756801346,22.361756747380838,18.0,148.0
2706,Connecticut,06-05-2020,43460,4038,7284.0,32138.0,1218.9762002329687,287387.0,9669.0,9.291302346985734,8060.697497845194,22.248044178554988,31.0,221.0
2756,Connecticut,06-06-2020,43818,4055,7284.0,32479.0,1229.0174675979802,295549.0,9669.0,9.254187776712769,8289.627174474314,22.066274133917567,17.0,358.0
2806,Connecticut,06-07-2020,43968,4071,7284.0,32613.0,1233.2247025274546,302354.0,9669.0,9.25900655021834,8480.495399108122,21.990993449781666,16.0,150.0
2856,Connecticut,06-08-2020,44092,4084,7284.0,32724.0,1236.7026834024862,308071.0,9669.0,9.262451238319878,8640.847146386812,21.92914814478817,13.0,124.0
2906,Connecticut,06-09-2020,44179,4097,7284.0,32798.0,1239.1428796615812,312651.0,9669.0,9.273636795762695,8769.308052900089,21.88596391950927,13.0,87.0
2956,Connecticut,06-10-2020,44347,4120,7284.0,32943.0,1243.8549827825925,316913.0,9669.0,9.290369134327012,8888.84962136288,21.803053194128125,23.0,168.0
3006,Connecticut,06-11-2020,44461,4146,7611.0,32704.0,1247.0524813289924,321948.0,9912.0,9.325026427655699,9030.072473828897,22.2936955983896,26.0,114.0
3056,Connecticut,06-12-2020,44689,4159,7611.0,32919.0,1253.4474784217932,330254.0,9912.0,9.30654075947101,9263.04109599031,22.179954798720043,13.0,228.0
3106,Connecticut,06-13-2020,44994,4186,7611.0,33197.0,1262.0021894450576,344254.0,9912.0,9.303462683913413,9655.71635607456,22.02960394719296,27.0,305.0
3156,Connecticut,06-14-2020,45088,4201,7611.0,33276.0,1264.6387233341945,349106.0,9912.0,9.317334989354153,9791.806381926615,21.98367636621717,15.0,94.0
3206,Connecticut,06-15-2020,45235,4204,7611.0,33420.0,1268.7618135650791,356377.0,9912.0,9.29368851553001,9995.745083074658,21.912236100364762,3.0,147.0
3256,Connecticut,06-16-2020,45349,4210,7611.0,33528.0,1271.9593121114794,361420.0,9912.0,9.283556418002602,10137.192321403578,21.857152307658378,6.0,114.0
3306,Connecticut,06-17-2020,45429,4219,7611.0,33599.0,1274.2031707405322,367858.0,9912.0,9.287019304849323,10317.766844576608,21.81866208809351,9.0,80.0
3356,Connecticut,06-18-2020,45440,4226,7842.0,33372.0,1274.511701302027,372585.0,10099.0,9.300176056338028,10450.350841320771,22.224911971830984,7.0,11.0
3406,Connecticut,06-19-2020,45557,4238,7842.0,33477.0,1277.7933445470167,379878.0,10099.0,9.302631867770048,10654.9066035918,22.167833702833814,12.0,117.0
