ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
7,Delaware,04-12-2020,1625,35,191.0,1590.0,166.8782169,11103.0,190.0,2.153846154,1140.214672,11.69230769,,
57,Delaware,04-13-2020,1758,41,213.0,1717.0,180.53655711240086,11820.0,201.0,2.3321956769055747,1213.8464761482248,11.433447098976107,6.0,133.0
107,Delaware,04-14-2020,1926,43,277.0,1883.0,197.7891974,12304.0,204.0,2.232606438,1263.550511,10.59190031,2.0,168.0
157,Delaware,04-15-2020,2014,46,354.0,1968.0,206.82629466688027,13102.0,208.0,2.284011916583913,1345.5005524952658,10.327706057596822,3.0,88.0
207,Delaware,04-16-2020,2070,55,378.0,2015.0,212.5771747569226,13350.0,209.0,2.6570048309178738,1370.9687357511675,10.096618357487925,9.0,56.0
257,Delaware,04-17-2020,2317,61,378.0,2256.0,237.94266372550229,13350.0,209.0,2.6327147173068624,1370.9687357511675,9.02028485110056,6.0,247.0
307,Delaware,04-18-2020,2538,67,423.0,2471.0,260.6381012237051,14017.0,224.0,2.639873916469661,1439.465825395065,8.825847123719463,6.0,221.0
357,Delaware,04-19-2020,2538,67,466.0,2471.0,260.6381012237051,14794.0,249.0,2.639873916469661,1519.2592866444024,9.810874704491725,0.0,0.0
407,Delaware,04-20-2020,2745,72,495.0,2673.0,281.8958186993974,16470.0,256.0,2.622950819672131,1691.3749121963842,9.326047358834243,5.0,207.0
457,Delaware,04-21-2020,2931,82,565.0,2849.0,300.99695614132384,16656.0,263.0,2.797679972705561,1710.4760496383108,8.973046741726373,10.0,186.0
507,Delaware,04-22-2020,3200,89,599.0,3111.0,328.6217194309915,16553.0,269.0,2.78125,1699.8985380441254,8.40625,7.0,269.0
557,Delaware,04-23-2020,3308,92,643.0,3216.0,339.71270246178744,16912.0,290.0,2.7811366384522365,1736.76578719279,8.766626360338575,3.0,108.0
607,Delaware,04-24-2020,3442,100,703.0,3342.0,353.4737369629603,17379.0,277.0,2.905287623474724,1784.7240193722503,8.047646717024985,8.0,134.0
657,Delaware,04-25-2020,3576,112,809.0,3464.0,367.234771464133,17698.0,300.0,3.131991051454139,1817.4834970280278,8.389261744966444,12.0,134.0
