ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
8,Florida,04-12-2020,19895,461,,19434.0,93.70022691,182753.0,2772.0,2.317165117,860.7186513,13.93314903,,
58,Florida,04-13-2020,21019,499,,122520.0,579.3871934514303,196207.0,2833.0,0.405628398865216,924.083459185368,2.302896300571456,38.0,1124.0
108,Florida,04-14-2020,21628,571,,21057.0,101.8622019,203180.0,3060.0,2.640096172,956.9244585,14.14832624,72.0,609.0
158,Florida,04-15-2020,22511,596,,21915.0,106.020900119373,213509.0,3344.0,2.647594509350984,1005.5713368391993,14.854959797432365,25.0,883.0
208,Florida,04-16-2020,23343,668,,22675.0,109.93940169190724,219248.0,3460.0,2.861671593197104,1032.6005201622447,14.822430707278409,72.0,832.0
258,Florida,04-17-2020,24759,725,,24034.0,116.60838994516264,234837.0,3665.0,2.9282281190678137,1106.020617535125,14.802698008804883,57.0,1416.0
308,Florida,04-18-2020,25492,748,,24744.0,120.06062750846505,246527.0,3842.0,2.9342538835713166,1161.077448524218,15.07139494743449,23.0,733.0
358,Florida,04-19-2020,26314,774,,25540.0,123.9320317063294,256079.0,3930.0,2.9414000152010336,1206.0648608088898,14.935015581059512,26.0,822.0
408,Florida,04-20-2020,27059,822,,26237.0,127.44078611923568,266225.0,4010.0,3.0378062751764663,1253.8498571489529,14.819468568683247,48.0,745.0
458,Florida,04-21-2020,27869,867,,27002.0,131.25567346749614,277059.0,4235.0,3.1109835300871937,1304.8751528663038,15.196096020668126,45.0,810.0
508,Florida,04-22-2020,28309,893,,27416.0,133.32795795297102,288627.0,4469.0,3.1544738422409835,1359.3573958844242,15.786498993253028,26.0,440.0
558,Florida,04-23-2020,29648,987,,28661.0,139.63429642126832,296708.0,4693.0,3.329060982191041,1397.4167843551566,15.829060982191045,94.0,1339.0
608,Florida,04-24-2020,30533,1046,,29487.0,143.8024140795529,319038.0,5009.0,3.4258015917204334,1502.5852219930046,16.40520093014116,59.0,885.0
658,Florida,04-25-2020,30839,1055,,29784.0,145.24359374445137,333099.0,5045.0,3.4209928986024187,1568.8088405163267,16.359155614643797,9.0,306.0
708,Florida,04-26-2020,31532,1075,,30457.0,148.50744180907418,344613.0,5155.0,3.4092350627933534,1623.0367577112295,16.34847139413929,20.0,693.0
758,Florida,04-27-2020,32138,1088,,31050.0,151.36154271406912,356463.0,5211.0,3.3854004605140333,1678.847146695041,16.214450183583295,13.0,606.0
