ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
14,Iowa,04-12-2020,1587,41,674.0,1546.0,60.55603952,17592.0,129.0,2.583490863,671.2677046,8.128544423,,
64,Iowa,04-13-2020,1710,41,741.0,1669.0,65.249418765046,18696.0,142.0,2.3976608187134505,713.3936451645029,8.304093567251464,0.0,123.0
114,Iowa,04-14-2020,1899,49,741.0,1850.0,72.46119663,18885.0,163.0,2.580305424,720.6054230000002,8.583464982,8.0,189.0
164,Iowa,04-15-2020,1995,53,908.0,1942.0,76.12432189255367,19869.0,171.0,2.656641604010025,758.1524569840344,8.571428571428571,4.0,96.0
214,Iowa,04-16-2020,2141,60,987.0,2081.0,81.69532489822427,20675.0,175.0,2.8024287716020555,788.9074461797228,8.173750583839327,7.0,146.0
264,Iowa,04-17-2020,2332,64,1007.0,2268.0,88.98341787139607,21792.0,183.0,2.7444253859348198,831.5294349285863,7.847341337907376,4.0,191.0
314,Iowa,04-18-2020,2513,74,1095.0,2439.0,95.88993529623428,22947.0,193.0,2.9446876243533624,875.6014107611172,7.6800636689216075,10.0,181.0
364,Iowa,04-19-2020,2902,75,1171.0,2827.0,110.7332241264114,24550.0,198.0,2.584424534803584,936.7679711589936,6.8228807718814615,1.0,389.0
414,Iowa,04-20-2020,3159,79,1235.0,3080.0,120.539715718585,25820.0,214.0,2.5007913896802787,985.2280657973613,6.774295663184552,4.0,257.0
464,Iowa,04-21-2020,3641,83,1293.0,3558.0,138.9316571482646,27615.0,214.0,2.279593518264213,1053.7208767232428,5.877506179620982,4.0,482.0
514,Iowa,04-22-2020,3748,90,1428.0,3658.0,143.01451551543414,28244.0,272.0,2.4012806830309503,1077.7219787134268,7.257203842049093,7.0,107.0
564,Iowa,04-23-2020,3924,96,1492.0,3828.0,149.73024516610556,29262.0,282.0,2.4464831804281344,1116.5663695337869,7.186544342507645,6.0,176.0
614,Iowa,04-24-2020,4445,107,1604.0,4338.0,169.61033123428626,31973.0,278.0,2.4071991001124857,1220.011500687027,6.25421822272216,11.0,521.0
664,Iowa,04-25-2020,5092,112,1723.0,4980.0,194.2982692114703,34350.0,293.0,2.199528672427337,1310.7120085259241,5.7541241162608,5.0,647.0
714,Iowa,04-26-2020,5476,118,1900.0,5358.0,208.95077026748064,36090.0,286.0,2.1548575602629656,1377.1061539359714,5.2227903579254935,6.0,384.0
764,Iowa,04-27-2020,5868,127,2021.0,5741.0,223.90853176215785,38150.0,300.0,2.16428084526244,1455.710716892693,5.112474437627811,9.0,392.0
814,Iowa,04-28-2020,6376,136,2164.0,6240.0,243.29256961750485,39823.0,,2.132998745294856,1519.5483061289044,,9.0,508.0
864,Iowa,04-29-2020,6843,148,2428.0,6695.0,261.1121477246841,41337.0,,2.1627940961566563,1577.318844146612,,12.0,467.0
914,Iowa,04-30-2020,7145,162,2697.0,4286.0,272.6357292843589,42667.0,,2.2673198040587823,1628.0683920749814,,14.0,302.0
964,Iowa,05-01-2020,7884,170,2899.0,4815.0,300.83416230621214,45592.0,,2.156265854895992,1739.67923996256,,8.0,739.0
1014,Iowa,05-02-2020,8643,175,3156.0,5312.0,329.7957464247325,46349.0,,2.0247599213236143,1768.5645089714135,,5.0,759.0
1064,Iowa,05-03-2020,9175,184,3325.0,5666.0,350.0955655960802,53186.0,,2.0054495912806543,2029.4477113670969,,9.0,532.0
1114,Iowa,05-04-2020,9703,188,3486.0,6029.0,370.2427545480944,57161.0,,1.9375450891476864,2181.1239918297038,,4.0,528.0
1164,Iowa,05-05-2020,10111,207,3572.0,6332.0,385.81103692010527,60569.0,,2.04727524478291,2311.164938701796,,19.0,408.0
1214,Iowa,05-06-2020,10404,219,3803.0,6382.0,396.9912004862799,63171.0,,2.104959630911188,2410.4508963782,,12.0,293.0
1264,Iowa,05-07-2020,11059,231,4266.0,6562.0,421.9843989021308,66427.0,,2.088796455375712,2534.69189491562,,12.0,655.0
1314,Iowa,05-08-2020,11457,243,4685.0,6529.0,437.17110572580816,70261.0,,2.1209740769835035,2680.987960146724,,12.0,398.0
1364,Iowa,05-09-2020,11671,252,5011.0,6408.0,445.3368224601474,71476.0,,2.1591980121669097,2727.349389269257,,9.0,214.0
1414,Iowa,05-10-2020,11959,265,5154.0,6540.0,456.32619825215517,74174.0,,2.2159043398277447,2830.298472209661,,13.0,288.0
1464,Iowa,05-11-2020,12373,271,5249.0,6853.0,472.1234259531662,77792.0,,2.1902529701769984,2968.3525055967602,,6.0,414.0
1514,Iowa,05-12-2020,12912,289,5618.0,7005.0,492.69034800834737,81288.0,,2.2382280049566297,3101.751317294187,,18.0,539.0
1564,Iowa,05-13-2020,13289,306,5954.0,7029.0,507.0757461805242,85719.0,,2.3026563323049136,3270.8274427608058,,17.0,377.0
1614,Iowa,05-14-2020,13675,318,6231.0,7126.0,433.42936923744963,89294.0,,2.3254113345521024,2830.1749248035712,,12.0,386.0
1664,Iowa,05-15-2020,14049,336,6561.0,7152.0,445.28330591714285,93566.0,,2.391629297458894,2965.576041102099,,18.0,374.0
1714,Iowa,05-16-2020,14328,346,6927.0,7055.0,454.1262159001226,96300.0,,2.414852037967616,3052.230219931729,,10.0,279.0
1764,Iowa,05-17-2020,14651,351,7154.0,7146.0,464.3637066689487,100241.0,,2.3957409050576755,3177.140285318551,,5.0,323.0
1814,Iowa,05-18-2020,14955,355,7324.0,7276.0,473.998992098432,103148.0,,2.373788030758944,3269.277702237985,,4.0,304.0
