ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
17,Louisiana,04-12-2020,20595,840,,19755.0,447.9836494,104045.0,2084.0,4.078659869,2263.19295,10.11896091,,
67,Louisiana,04-13-2020,21016,884,,20132.0,457.1412661351334,108091.0,2134.0,4.206318995051388,2351.20177949242,10.154168252759805,44.0,421.0
117,Louisiana,04-14-2020,21518,1013,,20505.0,468.06079960000005,118422.0,1977.0,4.7076865880000005,2575.922298,9.187656845,129.0,502.0
167,Louisiana,04-15-2020,21951,1103,,20848.0,477.4794410416974,121928.0,1943.0,5.024828026058039,2652.1850160508443,8.851532959774044,90.0,433.0
217,Louisiana,04-16-2020,22532,1156,,21376.0,490.1173871601078,126586.0,1914.0,5.130481093555832,2753.506105585363,8.494585478430677,53.0,581.0
267,Louisiana,04-17-2020,23118,1213,,21905.0,502.86409357213614,131987.0,1868.0,5.24699368457479,2870.9889747515153,8.08028376157107,57.0,586.0
317,Louisiana,04-18-2020,23580,1267,,22313.0,512.9135447024382,137999.0,1761.0,5.373197625106021,3001.7623517977863,7.468193384223919,54.0,462.0
367,Louisiana,04-19-2020,23928,1296,,22632.0,520.4832611382503,141504.0,1748.0,5.4162487462387165,3078.003317623997,7.305249080575058,29.0,348.0
417,Louisiana,04-20-2020,24523,1328,,23195.0,533.4257360787911,142099.0,1794.0,5.415324389348776,3090.9457925645365,7.315581291032907,32.0,595.0
467,Louisiana,04-21-2020,24854,1405,,23449.0,540.6256675163021,142430.0,1798.0,5.653013599420617,3098.1457240020477,7.234248008368874,77.0,331.0
517,Louisiana,04-22-2020,25258,1473,,23785.0,549.4134992406356,142834.0,1747.0,5.8318156623644,3106.933555726381,6.916620476680657,68.0,404.0
567,Louisiana,04-23-2020,25739,1599,,24140.0,559.8762394866861,143315.0,1727.0,6.2123625626481225,3117.396295972432,6.709662380045844,126.0,481.0
617,Louisiana,04-24-2020,26140,1660,14927.0,24480.0,568.5988150348488,143716.0,1697.0,6.350420811017598,3126.118871520595,6.491966335118593,61.0,401.0
667,Louisiana,04-25-2020,26512,1707,14927.0,24805.0,576.6905808800274,139002.0,1700.0,6.438593844296923,3023.579666697555,6.412190706095352,47.0,372.0
717,Louisiana,04-26-2020,26773,1729,14927.0,25044.0,582.3678682068862,143036.0,1701.0,6.457998730063872,3111.327471588549,6.35341575467822,22.0,261.0
767,Louisiana,04-27-2020,27068,1740,17303.0,25328.0,588.7847255303477,146989.0,1683.0,6.428254765775084,3197.3133597229307,6.217674006206591,11.0,295.0
817,Louisiana,04-28-2020,27286,1801,17303.0,25485.0,593.5266743320923,151108.0,,6.600454445503187,3286.91008960543,,61.0,218.0
867,Louisiana,04-29-2020,27660,1845,17303.0,25815.0,601.6619442947177,156568.0,,6.670281995661607,3405.676330236275,,44.0,374.0
917,Louisiana,04-30-2020,28001,1905,17303.0,8793.0,609.0793963194646,161309.0,,6.8033284525552675,3508.802840644853,,60.0,341.0
967,Louisiana,05-01-2020,28711,1970,17303.0,9438.0,624.5233580132192,168251.0,,6.861481662080736,3659.805632304069,,65.0,710.0
1017,Louisiana,05-02-2020,29140,1993,17303.0,9844.0,633.8549912056428,172858.0,,6.8393960192175705,3760.0173668436855,,23.0,429.0
1067,Louisiana,05-03-2020,29340,2012,17303.0,10025.0,638.2054029503622,176160.0,,6.857532379004773,3831.842664749005,,19.0,200.0
1117,Louisiana,05-04-2020,29673,2064,20316.0,7293.0,645.4488385053203,180931.0,,6.9558184207865725,3935.621736919291,,52.0,333.0
1167,Louisiana,05-05-2020,29996,2115,20316.0,7565.0,652.4747534730425,188231.0,,7.050940125350047,4094.411765601556,,51.0,323.0
1217,Louisiana,05-06-2020,30399,2167,20316.0,7916.0,661.2408331386523,194672.0,,7.128523964604099,4234.5167758402495,,52.0,403.0
1267,Louisiana,05-07-2020,30652,2208,20316.0,8128.0,666.7441039957226,200767.0,,7.203445125929793,4367.095573760578,,41.0,253.0
1317,Louisiana,05-08-2020,30855,2227,20316.0,8312.0,671.1597719166132,202416.0,,7.21763085399449,4402.964718595791,,19.0,203.0
1367,Louisiana,05-09-2020,31417,2267,20316.0,8834.0,683.384428919275,212157.0,,7.215838558742082,4614.851522622359,,40.0,562.0
1417,Louisiana,05-10-2020,31600,2286,20316.0,8998.0,687.3650556656935,215872.0,,7.234177215189874,4695.660420780525,,19.0,183.0
1467,Louisiana,05-11-2020,31815,2308,22608.0,6899.0,692.0417482912669,220830.0,,7.254439729687254,4803.507127932123,,22.0,215.0
1517,Louisiana,05-12-2020,32050,2347,22608.0,7095.0,697.1534820913125,228012.0,,7.322932917316692,4959.730413685003,,39.0,235.0
1567,Louisiana,05-13-2020,32662,2381,22608.0,7673.0,710.4657420301544,237904.0,,7.2898169126201715,5174.901778578835,,34.0,612.0
1617,Louisiana,05-14-2020,33489,2417,22608.0,8464.0,720.3803825250162,247588.0,,7.217295231269968,5325.854404389612,,36.0,827.0
1667,Louisiana,05-15-2020,33837,2448,22608.0,8781.0,727.8661949744385,253189.0,,7.234683925879954,5446.337265105746,,31.0,348.0
1717,Louisiana,05-16-2020,34117,2479,22608.0,9030.0,733.8892624624796,259742.0,,7.266172289474455,5587.298555281221,,31.0,280.0
1767,Louisiana,05-17-2020,34432,2491,22608.0,9333.0,740.6652133865256,265170.0,,7.234549256505576,5704.060020727957,,12.0,315.0
1817,Louisiana,05-18-2020,34709,2563,26249.0,5897.0,746.6237480086234,269748.0,,7.384251923132329,5802.537174157425,,72.0,277.0
1867,Louisiana,05-19-2020,35038,2581,26249.0,6208.0,753.7008523070715,278073.0,,7.3662880301387075,5981.615877150074,,18.0,329.0
1917,Louisiana,05-20-2020,35316,2608,26249.0,6459.0,759.6808978844838,285970.0,,7.3847547853664075,6151.487891268144,,27.0,278.0
1967,Louisiana,05-21-2020,36504,2629,26249.0,7626.0,785.2359127980292,305381.0,,7.2019504711812425,6569.037044876584,,21.0,1188.0
2017,Louisiana,05-22-2020,36925,2668,26249.0,8008.0,794.2920249854049,311808.0,,7.225457007447527,6707.2879546824415,,39.0,421.0
2067,Louisiana,05-23-2020,36925,2668,26249.0,8008.0,794.2920249854049,314447.0,,7.225457007447527,6764.055365757226,,0.0,0.0
2117,Louisiana,05-24-2020,37169,2691,26249.0,8229.0,799.5406980821264,316036.0,,7.239904221259652,6798.236273751859,,23.0,244.0
2167,Louisiana,05-25-2020,37809,2691,28700.0,6418.0,813.3077094833627,330898.0,,7.117353011187812,7117.932091634949,,0.0,640.0
2217,Louisiana,05-26-2020,38054,2702,28700.0,6652.0,818.5778935353985,341026.0,,7.100436222210544,7335.795047059517,,11.0,245.0
2267,Louisiana,05-27-2020,38497,2723,28700.0,7074.0,828.1072467396921,347647.0,,7.073278437280827,7478.21908219637,,21.0,443.0
2317,Louisiana,05-28-2020,38802,2741,28700.0,7361.0,834.6680881105939,393829.0,,7.064068862429773,8471.638020527476,,18.0,305.0
2367,Louisiana,05-29-2020,38802,2767,28700.0,7335.0,834.6680881105939,355027.0,,7.1310757177465085,7636.96993241688,,26.0,0.0
2417,Louisiana,05-30-2020,39577,2786,28700.0,8091.0,851.3390784792787,368819.0,,7.039442100209718,7933.649028113526,,19.0,775.0
2467,Louisiana,05-31-2020,39916,2791,28700.0,8425.0,858.6312923308711,375109.0,,6.992183585529612,8068.9529370413065,,5.0,339.0
2517,Louisiana,06-01-2020,40341,2801,31728.0,5812.0,867.7734483395049,387370.0,,6.943308296770035,8332.698760151558,,10.0,425.0
2567,Louisiana,06-02-2020,40746,2835,31728.0,6183.0,876.4853852418498,393133.0,,6.957738182889117,8456.666395628628,,34.0,405.0
2617,Louisiana,06-03-2020,41133,2870,31728.0,6535.0,884.8101249485353,402087.0,,6.977366105073784,8649.275489514055,,35.0,387.0
2667,Louisiana,06-04-2020,41562,2883,31728.0,6951.0,894.0383247784264,411186.0,,6.93662480150137,8845.003671920073,,13.0,429.0
2717,Louisiana,06-05-2020,41989,2912,31728.0,7349.0,903.2235026976888,420786.0,,6.935149682059588,9051.508842938621,,29.0,427.0
2767,Louisiana,06-06-2020,42486,2925,31728.0,7833.0,913.9144474889616,428069.0,,6.884620816268889,9208.17313049363,,13.0,497.0
2817,Louisiana,06-07-2020,42816,2936,31728.0,8152.0,921.0130627427243,434065.0,,6.857249626307922,9337.152818558963,,11.0,330.0
2867,Louisiana,06-08-2020,43050,2944,33904.0,6202.0,926.0466262863014,442602.0,,6.83855981416957,9520.79184407827,,8.0,234.0
2917,Louisiana,06-09-2020,43612,2957,33904.0,6751.0,938.1357831730122,453668.0,,6.780243969549665,9758.832075587776,,13.0,562.0
2967,Louisiana,06-10-2020,44030,2968,33904.0,7158.0,947.1273624944447,460120.0,,6.740858505564388,9897.620759276491,,11.0,418.0
3017,Louisiana,06-11-2020,44472,2987,33904.0,7581.0,956.6352047434236,469673.0,,6.7165857168555485,10103.11491539526,,19.0,442.0
3067,Louisiana,06-12-2020,44995,2996,33904.0,8095.0,967.8854343728716,479534.0,,6.6585176130681205,10315.234445750877,,9.0,523.0
3117,Louisiana,06-13-2020,46283,3004,33904.0,9375.0,995.5915448178604,504383.0,,6.490504072769699,10849.7601743592,,8.0,1288.0
3167,Louisiana,06-14-2020,46619,3014,33904.0,9701.0,1002.8192258035094,509332.0,,6.465175143181964,10956.217892210323,,10.0,336.0
3217,Louisiana,06-15-2020,47172,3018,37017.0,7137.0,1014.7147840923905,518725.0,,6.397863139150344,11158.270295478784,,4.0,553.0
3267,Louisiana,06-16-2020,47706,3042,37017.0,7647.0,1026.2016342302973,532717.0,,6.3765564079989945,11459.251582238316,,24.0,534.0
3317,Louisiana,06-17-2020,48634,3062,37017.0,8555.0,1046.1638007620902,545221.0,,6.296006908746968,11728.224567489975,,20.0,928.0
3367,Louisiana,06-18-2020,48634,3062,37017.0,8555.0,1046.1638007620902,545221.0,,6.296006908746968,11728.224567489975,,0.0,0.0
3417,Louisiana,06-19-2020,48515,3084,37017.0,8414.0,1043.6039970796728,590909.0,,6.356796866948367,12711.017093895747,,22.0,-119.0
3467,Louisiana,06-20-2020,49385,3104,37017.0,9264.0,1062.3185282032287,604816.0,,6.285309304444669,13010.169949453557,,20.0,870.0
3517,Louisiana,06-21-2020,49778,3105,37017.0,9656.0,1070.7723336418003,610812.0,,6.237695367431395,13139.14963751889,,1.0,393.0
3567,Louisiana,06-22-2020,50239,3117,39792.0,7330.0,1080.6888840417537,618064.0,,6.204343239316069,13295.147085459153,,12.0,461.0
3617,Louisiana,06-23-2020,51595,3134,39792.0,8669.0,1109.8577394481235,635939.0,,6.074231999224732,13679.655411704629,,17.0,1356.0
3667,Louisiana,06-24-2020,52477,3152,39792.0,9533.0,1128.8304020354526,648505.0,,6.006440916973151,13949.962076185779,,18.0,882.0
3717,Louisiana,06-25-2020,53415,3164,39792.0,10459.0,1149.00767812039,660665.0,,5.923429748198072,14211.535292809274,,12.0,938.0
3767,Louisiana,06-26-2020,54769,3190,39792.0,11787.0,1178.133511616131,678006.0,,5.824462743522796,14584.55676891684,,26.0,1354.0
3817,Louisiana,06-27-2020,54769,3190,39792.0,11787.0,1178.133511616131,678006.0,,5.824462743522796,14584.55676891684,,0.0,0.0
3867,Louisiana,06-28-2020,56236,3199,39792.0,13245.0,1209.690083062403,696111.0,,5.688526922256206,14974.012614884634,,9.0,1467.0
3917,Louisiana,06-29-2020,57081,3199,42225.0,11657.0,1227.866840303098,704637.0,,5.604316672798302,15157.415019895483,,0.0,845.0
3967,Louisiana,06-30-2020,58095,3221,42225.0,12649.0,1249.6789489919322,728511.0,,5.544366985110595,15670.967567072234,,22.0,1014.0
4017,Louisiana,07-01-2020,60178,3238,43026.0,13914.0,1294.486268911894,752088.0,,5.3807039117285385,16178.131360520601,,17.0,2083.0
4067,Louisiana,07-02-2020,61561,3255,43026.0,15280.0,1324.2359201117538,767374.0,,5.2874384756582895,16506.94782345701,,17.0,1383.0
4117,Louisiana,07-03-2020,63289,3278,43026.0,16985.0,1361.4068508950925,784142.0,,5.179415064229171,16867.643522169405,,23.0,1728.0
4167,Louisiana,07-04-2020,63289,3278,43026.0,16985.0,1361.4068508950925,784142.0,,5.179415064229171,16867.643522169405,,0.0,0.0
4217,Louisiana,07-05-2020,65226,3288,43026.0,18912.0,1403.0735713391473,802454.0,,5.040934596633244,17261.552135887287,,10.0,1937.0
4267,Louisiana,07-06-2020,66327,3296,43026.0,20005.0,1426.7571331403371,813645.0,,4.969318678667812,17502.281236811097,,8.0,1101.0
4317,Louisiana,07-07-2020,68263,3319,43026.0,21918.0,1468.4023426290776,847598.0,,4.8620775529935685,18232.642702602006,,23.0,1936.0
4367,Louisiana,07-08-2020,70151,3339,46334.0,20478.0,1509.0150262627253,865737.0,,4.759732576869895,18622.829921050492,,20.0,1888.0
4417,Louisiana,07-09-2020,71994,3355,46334.0,22305.0,1548.6597169072236,880140.0,,4.660110564769286,18932.652210444256,,16.0,1843.0
4467,Louisiana,07-10-2020,74636,3380,46334.0,24922.0,1605.4916608479532,905248.0,,4.528645693767083,19472.74927647902,,25.0,2642.0
4517,Louisiana,07-11-2020,76803,3403,46334.0,27066.0,1652.1059010143274,924447.0,,4.430816504563624,19885.7381075608,,23.0,2167.0
4567,Louisiana,07-12-2020,78122,3416,46334.0,28372.0,1680.4788510740634,934995.0,,4.372647909679732,20112.635664217432,,13.0,1319.0
4617,Louisiana,07-13-2020,79827,3423,46334.0,30070.0,1717.1550298851705,953426.0,,4.2880228494118535,20509.104081617726,,7.0,1705.0
4667,Louisiana,07-14-2020,82042,3445,46334.0,32263.0,1764.8017959066376,976455.0,,4.199068769654566,21004.479871553784,,22.0,2215.0
4717,Louisiana,07-15-2020,84131,3461,53288.0,27382.0,1809.7381815584852,1001200.0,,4.113822491115047,21536.76846080941,,16.0,2089.0
4767,Louisiana,07-16-2020,86411,3485,53288.0,29638.0,1858.7831596753906,1024137.0,,4.033051347629352,22030.165242856543,,24.0,2280.0
4817,Louisiana,07-17-2020,88590,3509,53288.0,31793.0,1905.6555313055387,1043940.0,,3.9609436731008016,22456.14669094824,,24.0,2179.0
4867,Louisiana,07-18-2020,88590,3509,53288.0,31793.0,1905.6555313055387,1043940.0,,3.9609436731008016,22456.14669094824,,0.0,0.0
4917,Louisiana,07-19-2020,91706,3543,53288.0,34875.0,1972.683668065309,1069304.0,,3.8634331450504873,23001.750561543493,,34.0,3116.0
4967,Louisiana,07-20-2020,94892,3462,53288.0,38142.0,2041.2175716970896,1102924.0,,3.648358133456983,23724.94887921469,,-81.0,3186.0
5017,Louisiana,07-21-2020,96583,3498,53288.0,39797.0,2077.5925971337947,1122962.0,,3.6217553813818166,24155.985401805287,,36.0,1691.0
5067,Louisiana,07-22-2020,99354,3558,61456.0,34340.0,2137.199454310085,1152901.0,,3.581134126456912,24800.00189296407,,60.0,2771.0
5117,Louisiana,07-23-2020,101650,3574,61456.0,36620.0,2186.5886077120213,1174868.0,,3.5159862272503686,25272.533048356207,,16.0,2296.0
5167,Louisiana,07-24-2020,103734,3715,61456.0,38563.0,2231.417438587298,1199726.0,,3.5812751846067825,25807.252375562348,,141.0,2084.0
5217,Louisiana,07-25-2020,103734,3715,61456.0,38563.0,2231.417438587298,1199726.0,,3.5812751846067825,25807.252375562348,,0.0,0.0
5267,Louisiana,07-26-2020,107574,3763,61456.0,42355.0,2314.019506994717,1233264.0,,3.498057151356276,26528.686794897774,,48.0,3840.0
5317,Louisiana,07-27-2020,109917,3786,61456.0,44675.0,2364.4196752964317,1260022.0,,3.4444171511231203,27104.276937201343,,23.0,2343.0
5367,Louisiana,07-28-2020,111038,3812,61456.0,45770.0,2388.53345620391,1276304.0,,3.4330589527909363,27454.51831163093,,26.0,1121.0
5417,Louisiana,07-29-2020,112773,3883,74246.0,34644.0,2425.8549636744497,1295131.0,,3.4432000567511727,27859.505067335744,,71.0,1735.0
5467,Louisiana,07-30-2020,114481,3925,74246.0,36310.0,2462.5956753514997,1317390.0,,3.428516522392362,28338.317421679687,,42.0,1708.0
5517,Louisiana,07-31-2020,116280,3949,74246.0,38085.0,2501.293883962163,1342243.0,,3.3961128310973514,28872.929194109267,,24.0,1799.0
5567,Louisiana,08-01-2020,116280,3949,74246.0,38085.0,2501.293883962163,1342243.0,,3.3961128310973514,28872.929194109267,,0.0,0.0
