ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
20,Massachusetts,04-12-2020,25475,756,,24719.0,371.1516059,116730.0,2235.0,2.967615309,1700.668379,8.773307164,,
70,Massachusetts,04-13-2020,26867,844,,26023.0,391.4319997808785,122049.0,2340.0,3.1414002307663678,1778.1622116818567,8.709569360181638,88.0,1392.0
120,Massachusetts,04-14-2020,28164,844,,27320.0,410.3283151,126551.0,2340.0,2.996733419,1843.752968,8.308478909,0.0,1297.0
170,Massachusetts,04-15-2020,29918,1108,,28810.0,435.88277699200967,132023.0,3454.0,3.7034561133765616,1923.475896343876,11.544889364262321,264.0,1754.0
220,Massachusetts,04-16-2020,32181,1108,,31073.0,468.8529863754216,140773.0,3454.0,3.4430253876510983,2050.9568208267992,10.733041235511637,0.0,2263.0
270,Massachusetts,04-17-2020,34402,1245,,33157.0,501.21128732131547,148744.0,3729.0,3.6189756409511076,2167.0883007186135,10.839486076390907,137.0,2221.0
320,Massachusetts,04-18-2020,36372,1404,,34968.0,529.9127068906134,156806.0,3729.0,3.8601121741999336,2284.5455822250506,10.252391949851534,159.0,1970.0
370,Massachusetts,04-19-2020,38077,1706,,36371.0,554.753275604143,162241.0,3729.0,4.480394989101032,2363.729447889586,9.793313548861518,302.0,1705.0
420,Massachusetts,04-20-2020,38077,1706,,36371.0,554.753275604143,162241.0,3729.0,4.480394989101032,2363.729447889586,9.793313548861518,0.0,0.0
470,Massachusetts,04-21-2020,41199,1961,,39238.0,600.2384694596499,175372.0,3872.0,4.759824267579309,2555.0382501050444,9.398286366173936,255.0,3122.0
520,Massachusetts,04-22-2020,42944,2182,,40762.0,625.6618081136727,180462.0,3977.0,5.0810357675111755,2629.195725032825,9.260897913561847,221.0,1745.0
570,Massachusetts,04-23-2020,46023,2360,,43663.0,670.5205242831493,195076.0,4493.0,5.127870847185103,2842.110722792075,9.762510049323165,178.0,3079.0
620,Massachusetts,04-24-2020,50969,2556,,48413.0,742.5800274251534,215213.0,4752.0,5.014812925503739,3135.491680084945,9.323314171359062,196.0,4946.0
670,Massachusetts,04-25-2020,53348,2730,,50618.0,777.2402696359959,226845.0,4965.0,5.117342730749044,3304.9611787804142,9.306815625702932,174.0,2379.0
720,Massachusetts,04-26-2020,54938,2899,,52039.0,800.4053747706073,236100.0,5104.0,5.276857548509228,3439.799573762065,9.29047289671994,169.0,1590.0
770,Massachusetts,04-27-2020,56462,3003,,53459.0,822.6089095034042,244887.0,5237.0,5.318621373667245,3567.8195604399452,9.275264779851936,104.0,1524.0
820,Massachusetts,04-28-2020,58302,3153,,55149.0,849.4163267660989,254500.0,5515.0,5.40804775136359,3707.873746389012,9.45936674556619,150.0,1840.0
870,Massachusetts,04-29-2020,60265,3405,,56860.0,878.0157615958105,265618.0,5758.0,5.6500456317929135,3869.854651349141,9.554467767360824,252.0,1963.0
920,Massachusetts,04-30-2020,62205,3562,0.0,58643.0,906.2801037097386,275647.0,5942.0,5.726227795193312,4015.9696446793396,9.552286793666104,157.0,1940.0
970,Massachusetts,05-01-2020,64311,3716,0.0,60595.0,936.9629410767141,289636.0,6169.0,5.778171696910326,4219.77886211838,9.592449192206619,154.0,2106.0
1020,Massachusetts,05-02-2020,66263,3846,0.0,62417.0,965.4021141727901,298994.0,6378.0,5.804144092479966,4356.117889696802,9.625281076920755,130.0,1952.0
1070,Massachusetts,05-03-2020,68087,4004,0.0,64083.0,991.9764234592874,314646.0,6507.0,5.880711442712999,4584.155767411855,9.556890448984387,158.0,1824.0
1120,Massachusetts,05-04-2020,69087,4090,0.0,64997.0,1006.5456719716216,324268.0,6622.0,5.920071793535688,4724.341076597531,9.585015994325994,86.0,1000.0
1170,Massachusetts,05-05-2020,70271,4212,,66059.0,1023.7956622102248,333349.0,6831.0,5.993937755261773,4856.644422338038,9.720937513341207,122.0,1184.0
1220,Massachusetts,05-06-2020,72025,4420,,67605.0,1049.3501241008591,339639.0,7080.0,6.136758070114543,4948.284995480619,9.829920166608817,208.0,1754.0
1270,Massachusetts,05-07-2020,73721,4552,,69169.0,1074.0595695777774,351632.0,7237.0,6.174631380475034,5123.013992889041,9.816741498351892,132.0,1696.0
1320,Massachusetts,05-08-2020,75333,4702,,70631.0,1097.5451981796598,366023.0,7434.0,6.241620538143972,5332.6800482300405,9.868185257456895,150.0,1612.0
1370,Massachusetts,05-09-2020,76743,4840,,71903.0,1118.0878385820508,376537.0,7551.0,6.30676413483966,5485.86112708872,9.839333880614518,138.0,1410.0
1420,Massachusetts,05-10-2020,77793,4979,,72814.0,1133.3855495200016,388389.0,7617.0,6.400318794750169,5658.5358604569055,9.791369403416759,139.0,1050.0
1470,Massachusetts,05-11-2020,78462,5108,,73354.0,1143.1323767747529,394728.0,7732.0,6.510157783385588,5750.890326776589,9.854451836557825,129.0,669.0
1520,Massachusetts,05-12-2020,79332,5141,,74191.0,1155.8076229804835,401496.0,7842.0,6.480361014470831,5849.495000708065,9.885040084707306,33.0,870.0
1570,Massachusetts,05-13-2020,80497,5315,,75182.0,1172.7807974973528,410032.0,8032.0,6.602730536541735,5973.858106009348,9.978011602916881,174.0,1165.0
1620,Massachusetts,05-14-2020,82182,5482,,76700.0,1192.3389804835776,410032.0,8032.0,6.670560463361808,5948.956424103117,9.773429704801536,167.0,1685.0
1670,Massachusetts,05-15-2020,83421,5592,,77829.0,1210.3150335951975,435679.0,8314.0,6.703348077822131,6321.056370958417,9.96631543616116,110.0,1239.0
1720,Massachusetts,05-16-2020,84933,5705,,79228.0,1232.2519119687,448089.0,8456.0,6.7170593291182445,6501.1070724234705,9.956083030153179,113.0,1512.0
1770,Massachusetts,05-17-2020,86010,5797,,80213.0,1247.8775852545875,460826.0,8539.0,6.739913963492618,6685.902059092321,9.927915358679224,92.0,1077.0
1820,Massachusetts,05-18-2020,87052,5862,,81190.0,1262.9954604299776,460826.0,8539.0,6.733906171024215,6685.902059092321,9.809079630565641,65.0,1042.0
