ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
22,Minnesota,04-12-2020,1621,70,842.0,1551.0,32.77100367,37421.0,361.0,4.318322023,756.5229662,22.27020358,,
72,Minnesota,04-13-2020,1621,70,842.0,1551.0,32.771003666066505,38427.0,361.0,4.318322023442319,776.8608006637493,22.27020357803825,0.0,0.0
122,Minnesota,04-14-2020,1695,79,909.0,1616.0,34.26702728,39241.0,405.0,4.660766962,793.3170604,23.89380531,9.0,74.0
172,Minnesota,04-15-2020,1809,87,940.0,1722.0,36.571712296060646,40242.0,445.0,4.8092868988391375,813.5538121714055,24.59922609176341,8.0,114.0
222,Minnesota,04-16-2020,1809,87,1020.0,1722.0,36.571712296060646,41675.0,475.0,4.8092868988391375,842.5241072074779,26.25760088446655,0.0,0.0
272,Minnesota,04-17-2020,2070,111,1066.0,1959.0,41.84822800046741,43053.0,518.0,5.36231884057971,870.3824928039243,25.02415458937198,24.0,261.0
322,Minnesota,04-18-2020,2209,121,1118.0,2088.0,44.65832640243116,44268.0,561.0,5.4775916704391125,894.9455831520247,25.39610683567225,10.0,139.0
372,Minnesota,04-19-2020,2356,134,1160.0,2222.0,47.630157086522324,45716.0,574.0,5.687606112054329,924.219126217086,24.363327674023772,13.0,147.0
422,Minnesota,04-20-2020,2470,143,1202.0,2327.0,49.93484210683792,46850.0,602.0,5.7894736842105265,947.1446772086464,24.37246963562753,9.0,114.0
472,Minnesota,04-21-2020,2567,160,1254.0,2407.0,51.89584602763277,47697.0,629.0,6.2329567588624855,964.2680825788859,24.503311258278146,17.0,97.0
522,Minnesota,04-22-2020,2722,179,1317.0,2543.0,55.02940899385135,49344.0,660.0,6.576047024246877,997.5647161618663,24.246877296105804,19.0,155.0
572,Minnesota,04-23-2020,2942,200,1536.0,2742.0,59.477046752355115,51548.0,712.0,6.798096532970767,1042.1219598879684,24.20122365737593,21.0,220.0
622,Minnesota,04-24-2020,3185,221,1594.0,2964.0,64.38966482197522,53787.0,756.0,6.938775510204081,1087.386782348377,23.736263736263727,21.0,243.0
672,Minnesota,04-25-2020,3446,244,1654.0,3202.0,69.66618052638198,59699.0,797.0,7.0806732443412645,1206.9069388405333,23.128264654672083,23.0,261.0
722,Minnesota,04-26-2020,3602,272,1774.0,3330.0,72.81996002786647,58987.0,829.0,7.551360355358135,1192.5127657311934,23.014991671293725,28.0,156.0
772,Minnesota,04-27-2020,3811,286,1842.0,3525.0,77.04521589844506,61268.0,861.0,7.504591970611387,1238.6266826727715,22.59249540802939,14.0,209.0
822,Minnesota,04-28-2020,4181,301,1912.0,3880.0,84.52533394683779,63829.0,912.0,7.199234632862952,1290.4012294888087,21.81296340588376,15.0,370.0
872,Minnesota,04-29-2020,4644,319,2043.0,4325.0,93.88558977496166,66744.0,950.0,6.869078380706288,1349.3324297889835,20.45650301464255,18.0,463.0
922,Minnesota,04-30-2020,5136,343,2172.0,2621.0,103.8321251257974,70276.0,1044.0,6.678348909657321,1420.7372323482355,20.32710280373832,24.0,492.0
972,Minnesota,05-01-2020,5730,370,2282.0,3078.0,115.8407470737576,74829.0,1096.0,6.457242582897033,1512.7831174139978,19.12739965095986,27.0,594.0
1022,Minnesota,05-02-2020,6232,394,2397.0,3441.0,125.9894477772526,79007.0,1159.0,6.322207958921695,1597.2478017550382,18.597560975609763,24.0,502.0
1072,Minnesota,05-03-2020,6663,418,3015.0,3230.0,134.70277447686684,82632.0,1199.0,6.2734503977187455,1670.5327420940207,17.9948971934564,24.0,431.0
1122,Minnesota,05-04-2020,7234,427,4212.0,2595.0,146.24641611371072,85941.0,1271.0,5.902681780481062,1737.4292572889706,17.569809234171966,9.0,571.0
1172,Minnesota,05-05-2020,7851,455,4614.0,2782.0,158.72001837278725,88009.0,1350.0,5.7954400713284935,1779.2370522189062,17.19526175009553,28.0,617.0
1222,Minnesota,05-06-2020,8579,485,5005.0,3089.0,173.43765604638162,93232.0,1405.0,5.653339550064111,1884.8280159128394,16.377200139876443,30.0,728.0
1272,Minnesota,05-07-2020,9365,508,5308.0,3549.0,189.32785276539963,97421.0,1459.0,5.424452749599575,1969.5150821418044,15.57928457020822,23.0,786.0
1322,Minnesota,05-08-2020,10088,534,5697.0,3857.0,203.9444077626644,101270.0,1549.0,5.2934179222839015,2047.3285263803546,15.354877081681206,26.0,723.0
1372,Minnesota,05-09-2020,10790,558,6322.0,3910.0,218.1364155193446,106263.0,1612.0,5.171455050973123,2148.2696869631245,14.939759036144581,24.0,702.0
1422,Minnesota,05-10-2020,11271,578,6882.0,3811.0,227.86056898225516,111088.0,1657.0,5.128205128205129,2245.814469621219,14.701446189335465,20.0,481.0
1472,Minnesota,05-11-2020,11799,591,7536.0,3672.0,238.53489960266415,115781.0,1716.0,5.008899059242308,2340.6906696242113,14.543605390287313,13.0,528.0
