ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
38,Rhode Island,04-12-2020,2665,63,35.0,2602.0,251.56674640000003,20350.0,201.0,2.363977486,1920.969339,7.542213884,,
88,Rhode Island,04-13-2020,2665,63,135.0,2602.0,251.56674636880157,20661.0,331.0,2.363977485928705,1950.3266591841686,12.420262664165106,0.0,0.0
138,Rhode Island,04-14-2020,3251,80,135.0,3171.0,306.88311160000006,22900.0,331.0,2.460781298,2161.6804850000008,10.18148262,17.0,586.0
188,Rhode Island,04-15-2020,3251,80,168.0,3171.0,306.8831116116225,25897.0,331.0,2.460781298062135,2444.586878316268,10.181482620732082,0.0,0.0
238,Rhode Island,04-16-2020,3529,87,182.0,3442.0,333.12534631726106,28064.0,331.0,2.4652876168886366,2649.1441538814443,9.379427599886654,7.0,278.0
288,Rhode Island,04-17-2020,4177,118,196.0,4059.0,394.29429627860566,30761.0,331.0,2.8249940148431887,2903.7315891372245,7.924347617907588,31.0,648.0
338,Rhode Island,04-18-2020,4491,137,217.0,4354.0,423.9348059820968,32826.0,331.0,3.050545535515476,3098.660418875152,7.370296147851257,19.0,314.0
388,Rhode Island,04-19-2020,4706,150,244.0,4556.0,444.2300594414936,34699.0,331.0,3.1874203144921376,3275.4651152911993,7.033574160645982,13.0,215.0
438,Rhode Island,04-20-2020,5090,155,267.0,4935.0,480.4783260852533,37080.0,331.0,3.0451866404715133,3500.223247788053,6.50294695481336,5.0,384.0
488,Rhode Island,04-21-2020,5500,171,315.0,5329.0,519.1809024496843,39333.0,576.0,3.109090909090909,3712.898624736988,10.472727272727274,16.0,410.0
538,Rhode Island,04-22-2020,5841,181,315.0,5660.0,551.3701184015647,41722.0,576.0,3.0987844547166583,3938.4119294555867,9.861325115562405,10.0,341.0
588,Rhode Island,04-23-2020,6256,189,342.0,6067.0,590.5446774045863,44419.0,576.0,3.0210997442455243,4192.999364711369,9.207161125319693,8.0,415.0
638,Rhode Island,04-24-2020,6699,202,377.0,6497.0,632.3623391837153,47257.0,576.0,3.0153754291685324,4460.896710375406,8.598298253470666,13.0,443.0
688,Rhode Island,04-25-2020,7129,215,410.0,6914.0,672.9528461025088,50891.0,576.0,3.0158507504558845,4803.93369210307,8.079674568663206,13.0,430.0
738,Rhode Island,04-26-2020,7439,226,433.0,7213.0,702.2157696951276,53403.0,691.0,3.0380427476811405,5041.057769730998,9.28888291437021,11.0,310.0
788,Rhode Island,04-27-2020,7708,233,452.0,7475.0,727.6084356513029,55885.0,718.0,3.02283341982356,5275.3499515273825,9.314997405293203,7.0,269.0
838,Rhode Island,04-28-2020,7927,239,466.0,7688.0,748.2812752215723,57693.0,732.0,3.01501198435726,5446.018873641751,9.234262646650688,6.0,219.0
888,Rhode Island,04-29-2020,8247,251,391.0,7996.0,778.488164091372,60165.0,750.0,3.043530980962774,5679.367090160956,9.094216078574027,12.0,320.0
938,Rhode Island,04-30-2020,8621,266,461.0,7894.0,813.7924654579506,63710.0,896.0,3.0854889223987936,6014.002780921706,10.393225843869619,15.0,374.0
988,Rhode Island,05-01-2020,8962,279,485.0,8198.0,845.9816814098309,66648.0,937.0,3.1131443874135236,6291.339779357556,10.455255523320687,13.0,341.0
