ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
48,Wisconsin,04-12-2020,3341,144,,3197.0,64.56573888,39257.0,974.0,4.3100868,758.6522632,29.15294822,,
98,Wisconsin,04-13-2020,3428,154,,3274.0,66.24703767713304,40197.0,993.0,4.492415402567095,776.8180202764635,28.96732788798133,10.0,87.0
148,Wisconsin,04-14-2020,3555,170,,3385.0,68.70134742,41552.0,1049.0,4.781997187,803.0037659,29.50773558,16.0,127.0
198,Wisconsin,04-15-2020,3721,183,,3538.0,71.90934282281566,43047.0,1091.0,4.918032786885246,831.8950498505094,29.32007524858909,13.0,166.0
248,Wisconsin,04-16-2020,3875,197,,3678.0,74.8854349471676,44849.0,1121.0,5.0838709677419365,866.7191927601341,28.929032258064517,14.0,154.0
298,Wisconsin,04-17-2020,4053,206,,3847.0,78.32533363635362,46410.0,1153.0,5.0826548235874665,896.8859447478833,28.44806316308907,9.0,178.0
348,Wisconsin,04-18-2020,4199,212,,3987.0,81.14682357242755,48161.0,1176.0,5.048821147892356,930.724498707236,28.00666825434628,6.0,146.0
398,Wisconsin,04-19-2020,4346,220,,4126.0,83.98763878203624,49669.0,1190.0,5.062126092959042,959.8670111976433,27.38150023009664,8.0,147.0
448,Wisconsin,04-20-2020,4499,230,,4269.0,86.94440563285343,51102.0,1211.0,5.112247166036897,987.560128172944,26.917092687263835,10.0,153.0
498,Wisconsin,04-21-2020,4625,244,,4381.0,89.37939009823229,52461.0,1252.0,5.275675675675676,1013.8231749066734,27.07027027027027,14.0,126.0
548,Wisconsin,04-22-2020,4845,248,,4597.0,93.63095027587794,54347.0,1302.0,5.1186790505675965,1050.2706407932174,26.87306501547988,4.0,220.0
598,Wisconsin,04-23-2020,5052,258,,4794.0,97.6312818975718,56508.0,1318.0,5.10688836104513,1092.0325569018185,26.08867775138559,10.0,207.0
648,Wisconsin,04-24-2020,5356,263,,5093.0,103.50616505213672,59929.0,1353.0,4.910380881254667,1158.1443176642085,25.26138909634055,5.0,304.0
698,Wisconsin,04-25-2020,5687,266,,5421.0,109.9028305921399,62825.0,1376.0,4.677334271144716,1214.1103098208528,24.19553367328996,3.0,331.0
748,Wisconsin,04-26-2020,5912,272,,5640.0,114.25101713745931,65146.0,1397.0,4.600811907983761,1258.9642696950145,23.629905277401896,6.0,225.0
798,Wisconsin,04-27-2020,6081,281,,5800.0,117.51698836483256,67392.0,1415.0,4.620950501562243,1302.368834054069,23.269199144877486,9.0,169.0
848,Wisconsin,04-28-2020,6289,300,,5989.0,121.5366452600612,69824.0,1456.0,4.770233741453331,1349.3678992905886,23.151534425186835,19.0,208.0
898,Wisconsin,04-29-2020,6520,308,,6212.0,126.00078344658907,73150.0,1489.0,4.7239263803680975,1413.6437590671771,22.837423312883434,8.0,231.0
948,Wisconsin,04-30-2020,6854,316,3352.0,3186.0,132.45542480719658,76248.0,1512.0,4.610446454625038,1473.5134564778416,22.06011088415524,8.0,334.0
998,Wisconsin,05-01-2020,7314,327,3352.0,3635.0,141.3450506331829,79880.0,1544.0,4.470877768662838,1543.7028499560645,21.110199617172547,11.0,460.0
1048,Wisconsin,05-02-2020,7660,334,3698.0,3628.0,148.03159527620744,83230.0,1591.0,4.360313315926893,1608.4425162974862,20.770234986945173,7.0,346.0
1098,Wisconsin,05-03-2020,7964,339,3723.0,3902.0,153.9064784307723,85961.0,1608.0,4.256654947262682,1661.2198383208965,20.19085886489201,5.0,304.0
1148,Wisconsin,05-04-2020,8236,340,3973.0,3923.0,159.16295283222513,88703.0,1621.0,4.12821758135017,1714.209738353189,19.681884409907727,1.0,272.0
1198,Wisconsin,05-05-2020,8566,353,4131.0,4082.0,165.5402930986936,92533.0,1663.0,4.1209432640672405,1788.2255359912924,19.41396217604483,13.0,330.0
1248,Wisconsin,05-06-2020,8901,362,4348.0,4191.0,172.0142597328358,96727.0,1694.0,4.066958768677677,1869.2757331960465,19.031569486574547,9.0,335.0
1298,Wisconsin,05-07-2020,9215,374,4520.0,4321.0,178.0823956227483,102250.0,1732.0,4.05860010851872,1976.009218928487,18.79544221378188,12.0,314.0
1348,Wisconsin,05-08-2020,9590,384,4694.0,4512.0,185.3293731982806,106855.0,1767.0,4.004171011470281,2065.0021035560244,18.42544316996872,10.0,375.0
1398,Wisconsin,05-09-2020,9939,398,4875.0,4666.0,192.0738936619093,111874.0,1806.0,4.004427004728846,2161.9956514269493,18.170842137035926,14.0,349.0
1448,Wisconsin,05-10-2020,10219,400,5014.0,4805.0,197.4849702516402,115382.0,1820.0,3.9142773265485866,2229.7887109868625,17.809961835796067,2.0,280.0
1498,Wisconsin,05-11-2020,10418,409,5176.0,4833.0,201.330699685056,118451.0,1846.0,3.925897485121904,2289.0979754650193,17.719331925513533,9.0,199.0
1548,Wisconsin,05-12-2020,10611,418,5371.0,4822.0,205.0604774772633,123359.0,1877.0,3.93930826500801,2383.9464179735864,17.689190462727357,9.0,193.0
1598,Wisconsin,05-13-2020,10902,421,5673.0,4808.0,210.6841320758764,128013.0,1908.0,3.8616767565584302,2473.8862410043266,17.501375894331314,3.0,291.0
1648,Wisconsin,05-14-2020,11275,434,5994.0,4847.0,193.6475364083131,133873.0,1939.0,3.8492239467849214,2299.2617863938003,17.197339246119736,13.0,373.0
1698,Wisconsin,05-15-2020,11685,445,6250.0,4990.0,200.68926500497898,140342.0,1977.0,3.8083012409071455,2410.3665236909515,16.919127086007702,11.0,410.0
1748,Wisconsin,05-16-2020,12187,453,6542.0,5192.0,209.31108879894558,146393.0,2018.0,3.7170755723311726,2514.2921328090624,16.558628046278823,8.0,502.0
1798,Wisconsin,05-17-2020,12543,453,6542.0,5548.0,215.42537021458725,152217.0,2038.0,3.61157617794786,2614.319028777312,16.24810651359324,0.0,356.0
1848,Wisconsin,05-18-2020,12687,459,6786.0,5442.0,217.89856269731868,157189.0,2068.0,3.6178765665642,2699.712869222734,16.300149759596437,6.0,144.0
1898,Wisconsin,05-19-2020,12885,467,7371.0,5047.0,221.29920236107444,161122.0,2110.0,3.624369421808304,2767.261938907337,16.375630578191696,8.0,198.0
1948,Wisconsin,05-20-2020,13413,481,7728.0,5204.0,230.36757479775642,167713.0,2161.0,3.586073212554984,2880.4620198356897,16.111235368672183,14.0,528.0
1998,Wisconsin,05-21-2020,13885,487,8012.0,5386.0,238.4741501578206,177123.0,2218.0,3.507382066978754,3042.078278603072,15.974072740367305,6.0,472.0
2048,Wisconsin,05-22-2020,14396,496,8362.0,5538.0,247.2505484819579,187099.0,2259.0,3.4454015004167826,3213.4155578234117,15.691858849680465,9.0,511.0
2098,Wisconsin,05-23-2020,14877,507,8688.0,5682.0,255.5116983721928,194206.0,2292.0,3.407945150231902,3335.477911814887,15.40633192175842,11.0,481.0
2148,Wisconsin,05-24-2020,15277,510,8999.0,5768.0,262.38167749089126,201483.0,2315.0,3.338351770635596,3460.460006931809,15.153498723571381,3.0,400.0
2198,Wisconsin,05-25-2020,15584,514,9207.0,5863.0,267.6543864644924,208963.0,2339.0,3.2982546201232035,3588.92861645147,15.008983572895277,4.0,307.0
2248,Wisconsin,05-26-2020,15863,517,9405.0,5941.0,272.4461968997845,216737.0,2362.0,3.259156527769022,3722.446660623376,14.889995587215536,3.0,279.0
2298,Wisconsin,05-27-2020,16462,539,9846.0,6077.0,282.73399063003546,227067.0,2411.0,3.2742072652168632,3899.863871363763,14.645851050905115,22.0,599.0
2348,Wisconsin,05-28-2020,16974,550,10384.0,6040.0,291.52756390196964,237693.0,2452.0,3.2402497938022865,4082.364866651988,14.445622717096734,11.0,512.0
2398,Wisconsin,05-29-2020,17707,568,10880.0,6259.0,304.11680063698446,251295.0,2499.0,3.2077709380471005,4315.978506583328,14.113062630598069,18.0,733.0
2448,Wisconsin,05-30-2020,18230,588,11338.0,6304.0,313.0992983346827,261138.0,2563.0,3.2254525507405374,4485.031517746702,14.05924300603401,20.0,523.0
2498,Wisconsin,05-31-2020,18403,592,11646.0,6165.0,316.0705643035198,268506.0,2583.0,3.216866815193175,4611.576533113128,14.035755039939144,4.0,173.0
2548,Wisconsin,06-01-2020,18543,595,11838.0,6110.0,318.4750569950644,272138.0,2603.0,3.2087580218950547,4673.95594351091,14.037642236962734,3.0,140.0
2598,Wisconsin,06-02-2020,18917,607,12172.0,6138.0,324.8984874710473,282660.0,2643.0,3.2087540307659776,4854.670744228272,13.971559972511498,12.0,374.0
2648,Wisconsin,06-03-2020,19400,616,12172.0,6612.0,333.19398725687574,299111.0,2700.0,3.1752577319587627,5137.215810432545,13.917525773195875,9.0,483.0
2698,Wisconsin,06-04-2020,19892,626,12980.0,6286.0,341.6440615728749,311259.0,2739.0,3.1469937663382264,5345.857076267415,13.76935451437764,10.0,492.0
